"","opponent","opp_n_runs","opp_avg_run_length","opp_total_run_points","point_diff","run_diff","unc_n_runs","unc_avg_run_length","unc_total_run_points"
"1","UCLA",5,7.6,38,-6,-1,4,8,32
"2","Florida",5,7.4,37,-15,-3,2,11,22
"3","Duke",3,11.3333333333333,34,-9,0,3,8.33333333333333,25
"4","Kansas",4,8,32,-16,-2,2,8,16
"5","Pittsburgh",4,7.75,31,-6,0,4,6.25,25
"6","Wake Forest",4,7.75,31,-6,0,4,6.25,25
"7","Auburn",4,7.5,30,1,0,4,7.75,31
"8","Michigan St.",4,7.5,30,-17,-2,2,6.5,13
"9","Elon",3,9,27,21,3,6,8,48
"10","SMU",4,6.25,25,11,1,5,7.2,36
"11","Hawaii",4,6,24,9,0,4,8.25,33
"12","Notre Dame",3,8,24,-4,0,3,6.66666666666667,20
"13","NC State",3,7,21,-5,-1,2,8,16
"14","Louisville",2,9.5,19,-11,-1,1,8,8
"15","Alabama",2,7.5,15,18,3,5,6.6,33
"16","Campbell",2,6,12,29,4,6,6.83333333333333,41
"17","Dayton",1,11,11,3,1,2,7,14
"18","Boston College",1,6,6,27,4,5,6.6,33
"19","Georgia Tech",1,6,6,7,0,1,13,13
"20","La Salle",1,6,6,39,4,5,9,45
"21","Stanford",1,6,6,6,1,2,6,12
"22","American",0,0,0,70,9,9,7.77777777777778,70
"23","California",0,0,0,22,2,2,11,22
