"","tram_rank","team","conf","tram","raw_em","adj_em","off_svi","def_svi","off_e_fg_pct","off_to_pct","off_or_pct","off_ft_rate","def_e_fg_pct","def_to_pct","def_or_pct","def_ft_rate"
"1",1,"Houston","B12",14.1883945,30.3,34.8,104.2099145,90.02152,52.5,0.143,0.385,26.8,44.1,0.225,0.288,34.9
"2",2,"Marquette","BE",11.9755755,15.2,23.7,101.75893,89.7833545,52.2,0.129,0.3,27.8,50.4,0.237,0.315,30.9
"3",3,"St. John's","BE",11.2597379,19.4,24.4,101.6715,90.4117621,49.7,0.16,0.375,31,45.9,0.219,0.281,29.7
"4",4,"Iowa St.","B12",10.4735928,19.4,26.3,100.522721,90.0491282,53.7,0.155,0.338,38.8,48.3,0.221,0.278,26.6
"5",5,"UCLA","B10",10.3700234,16.7,21.4,98.8197354,88.449712,53,0.163,0.322,34.6,49.7,0.24,0.292,37.4
"6",6,"Texas A&M","SEC",10.3674745,13.8,24.7,101.9368776,91.5694031,48.4,0.178,0.428,41.6,47.5,0.209,0.281,33.7
"7",7,"UC San Diego","BW",10.3640189,18.7,14.5,98.3067885,87.9427696,53.9,0.145,0.267,35.9,50.5,0.237,0.272,31.2
"8",8,"Saint Mary's","WCC",10.3595872,20.4,22.4,104.503165,94.1435778,51.2,0.15,0.409,32,46,0.178,0.259,26.1
"9",9,"Vanderbilt","SEC",9.89536129999999,13.2,15.1,100.7748256,90.8794643,52.9,0.144,0.316,32.5,52.1,0.221,0.297,36
"10",10,"Maryland","B10",9.6675936,22.8,24,100.6862928,91.0186992,54.7,0.148,0.324,31.6,47.5,0.208,0.266,26.9
"11",11,"VCU","A10",9.1310392,21.7,18.8,100.009527,90.8784878,52.7,0.166,0.355,31.7,45.2,0.218,0.289,36.7
"12",12,"Gonzaga","WCC",8.8684772,24.1,25.9,102.7829952,93.914518,55.9,0.136,0.338,31.4,47.8,0.18,0.259,29
"13",13,"CSUN","BW",8.72825880000001,9.8,4.09999999999999,97.2002284,88.4719696,51.8,0.186,0.346,35.7,48.9,0.216,0.229,48.8
"14",14,"Mississippi","SEC",8.5352448,14.9,23.7,99.8376768,91.302432,52.4,0.127,0.256,34.6,48.3,0.22,0.304,36.9
"15",15,"Mississippi St.","SEC",8.35402439999999,12.4,19.3,101.88049,93.5264656,52.3,0.15,0.354,31.2,50.6,0.201,0.304,34
"16",16,"Auburn","SEC",8.28604000000001,26.2,37.1,104.091696,95.805656,56.5,0.136,0.365,31.6,44.5,0.176,0.29,37.9
"17",17,"Drake","MVC",8.17020580000002,15.4,13.2,97.1788368,89.008631,54.6,0.196,0.372,42.9,51.4,0.227,0.27,36.4
"18",18,"Florida","SEC",8.06292860000001,24.8,30.2,103.3115046,95.248576,53.6,0.157,0.402,32,43.7,0.18,0.288,29.1
"19",19,"Tennessee","SEC",7.86954310000002,23.3,30.5,101.6840331,93.81449,52,0.163,0.383,32.6,42.5,0.197,0.3,27.7
"20",20,"Duke","ACC",7.7616558,31.6,36.6,101.3553344,93.5936786,56.7,0.152,0.348,32.8,43.6,0.182,0.257,24.6
"21",21,"Northwestern","B10",7.7523063,6.2,14.4,101.0367863,93.28448,49.7,0.143,0.319,32.2,50.4,0.2,0.296,36.4
"22",22,"Missouri","SEC",7.4828878,20.2,23.3,100.1196162,92.6367284,56.3,0.154,0.327,49.4,48.8,0.212,0.313,31.7
"23",23,"Louisville","ACC",7.389548,13.7,21.4,99.975036,92.585488,52.1,0.16,0.339,35,50.2,0.192,0.26,27.2
"24",24,"New Mexico","MWC",7.3781772,13.3,17.3,99.3862437,92.0080665,51.2,0.157,0.319,37.3,48.4,0.199,0.265,35.1
"25",25,"Baylor","B12",7.370488,11.7,21.5,101.058888,93.6884,52.5,0.16,0.362,29.7,52.1,0.2,0.305,33.9
"26",26,"Kent St.","MAC",7.24280089999999,6.09999999999999,2.69999999999999,99.0437322,91.8009313,45.7,0.169,0.342,27.3,46.6,0.207,0.281,41.5
"27",27,"McNeese","Slnd",7.15260959999999,13.3,11.7,99.5829952,92.4303856,52.4,0.168,0.351,36.5,48,0.216,0.319,36
"28",28,"Utah St.","MWC",7.09656219999999,15.1,15.2,99.1706672,92.074105,55.3,0.164,0.332,37.6,51,0.21,0.295,31.3
"29",29,"Texas Tech","B12",7.00130619999999,23.7,27,101.1791962,94.17789,56.2,0.159,0.362,29.9,46.7,0.19,0.29,33.3
"30",30,"East Tennessee St.","SC",6.9862416,7.40000000000001,2.7,101.4563267,94.4700851,50.2,0.161,0.373,31.4,50.4,0.191,0.299,36.8
"31",31,"Iona","MAAC",6.60609399999998,-3.40000000000001,-9.2,95.4503836,88.8442896,45.7,0.219,0.396,29.5,53.1,0.241,0.304,38.5
"32",32,"Clemson","ACC",6.5971337,15.8,20.1,100.0960805,93.4989468,53.9,0.155,0.329,28.3,49.4,0.202,0.306,27.5
"33",33,"Cincinnati","B12",6.56445020000001,9.8,13.8,100.5222792,93.957829,50.9,0.151,0.328,25,46.4,0.195,0.298,25.6
"34",34,"Albany","AE",6.55157700000001,-2.60000000000001,-8.3,98.985432,92.433855,48.7,0.16,0.318,29.6,55.1,0.205,0.29,37.6
"35",35,"North Texas","Amer",6.4411144,12.8,12.6,97.548676,91.1075616,51.6,0.18,0.338,37.5,47.5,0.208,0.268,37.8
"36",36,"Arizona","B12",6.38003729999998,18.4,25.8,100.959307,94.5792697,53.2,0.162,0.365,35.5,47.1,0.183,0.281,28.3
"37",37,"North Alabama","ASun",6.32433520000001,8.5,3.2,102.9666736,96.6423384,51,0.132,0.332,28.7,51,0.172,0.298,28.3
"38",38,"Towson","CAA",6.235152,-0.199999999999989,-0.5,101.80827,95.573118,46.1,0.145,0.34,28.9,49.8,0.178,0.29,30.5
"39",39,"Longwood","BSth",6.04925410000001,3.09999999999999,-1.10000000000001,97.9217287,91.8724746,50.9,0.171,0.323,45.7,55.1,0.214,0.301,40.9
"40",40,"UAB","Amer",5.8087798,9.40000000000001,5.2,103.845119,98.0363392,51.4,0.146,0.385,31.9,51.1,0.156,0.288,29.8
"41",41,"Idaho St.","BSky",5.73207360000001,-1.2,-5,100.6132016,94.881128,48,0.176,0.394,36.1,52.9,0.176,0.27,35.5
"42",42,"Grand Canyon","WAC",5.536281,13,8.59999999999999,96.9104298,91.3741488,50.1,0.178,0.319,44.7,46.4,0.208,0.274,30.5
