"","team","conf","tram","raw_em","adj_em","old_svi_diff","off_svi","def_svi","old_svi_off","old_svi_def","to_pct","or_pct","d_to_pct","d_or_pct","raw_o","raw_d","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"1","Auburn","SEC",8.28604000000001,26.2,37.1,0.114999999999995,104.091696,95.805656,100.229,100.114,0.136,0.365,0.176,0.29,123.4,97.2,130.8,93.7,56.5,31.6,44.5,37.9
"2","Kentucky","SEC",0.509957800000009,12.6,22.1,0.0260000000000105,100.081512,99.5715542,100.159,100.133,0.145,0.304,0.134,0.267,119.2,106.6,125.6,103.5,56.6,34.3,49.5,30.2
"3","Alabama","SEC",-0.952192199999985,15.4,27.6,0.034000000000006,99.7268549,100.6790471,100.194,100.16,0.173,0.367,0.137,0.297,118.3,102.9,125.2,97.6,55.6,42.5,45.9,31
"4","Duke","ACC",7.7616558,31.6,36.6,0.120999999999995,101.3553344,93.5936786,100.196,100.075,0.152,0.348,0.182,0.257,121.9,90.3,124.9,88.3,56.7,32.8,43.6,24.6
"5","Gonzaga","WCC",8.8684772,24.1,25.9,0.123000000000005,102.7829952,93.914518,100.202,100.079,0.136,0.338,0.18,0.259,122,97.9,124.2,98.3,55.9,31.4,47.8,29
"6","Florida","SEC",8.06292860000001,24.8,30.2,0.137000000000015,103.3115046,95.248576,100.245,100.108,0.157,0.402,0.18,0.288,118.5,93.7,124.2,94,53.6,32,43.7,29.1
"7","Purdue","B10",4.3268614,14.7,27.1,0.0369999999999919,98.1145058,93.7876444,100.141,100.104,0.161,0.302,0.198,0.302,116.8,102.1,123.6,96.5,56.8,37.7,50.6,27.4
"8","Wisconsin","B10",1.3604916,15.8,25.1,0.019999999999996,98.8424839,97.4819923,100.136,100.116,0.147,0.283,0.153,0.269,117.5,101.7,123.3,98.2,55.1,35.4,47.8,28.9
"9","Houston","B12",14.1883945,30.3,34.8,0.179000000000002,104.2099145,90.02152,100.242,100.063,0.143,0.385,0.225,0.288,118.5,88.2,123.2,88.4,52.5,26.8,44.1,34.9
"10","Connecticut","BE",3.30466340000001,16.5,19,0.0629999999999882,99.5959648,96.2913014,100.174,100.111,0.162,0.336,0.167,0.278,120.4,103.9,123.1,104.1,57.4,30.6,48.6,42
"11","Texas Tech","B12",7.00130619999999,23.7,27,0.10299999999998,101.1791962,94.17789,100.203,100.1,0.159,0.362,0.19,0.29,120.2,96.5,122.8,95.8,56.2,29.9,46.7,33.3
"12","Missouri","SEC",7.4828878,20.2,23.3,0.0720000000000027,100.1196162,92.6367284,100.173,100.101,0.154,0.327,0.212,0.313,120.1,99.9,122.4,99.1,56.3,49.4,48.8,31.7
"13","Baylor","B12",7.370488,11.7,21.5,0.0969999999999942,101.058888,93.6884,100.202,100.105,0.16,0.362,0.2,0.305,115,103.3,121.5,100,52.5,29.7,52.1,33.9
"14","Arizona","B12",6.38003729999998,18.4,25.8,0.10499999999999,100.959307,94.5792697,100.203,100.098,0.162,0.365,0.183,0.281,115.9,97.5,120.9,95.1,53.2,35.5,47.1,28.3
