"","team","conf","rank_diff","trk_wab","net_wab","total_wab_diff","league_diff","non_con_diff","total","wab","league","conf_wab","non_con","non_conf_wab"
"1","Auburn","SEC",0,1,1,-0.0500000000000007,-0.0599999999999996,0.00999999999999979,9.8,9.85,5.51,5.57,4.29,4.28
"2","Alabama","SEC",0,2,2,0.289999999999999,-0.0500000000000007,0.340000000000001,8.35,8.06,4.92,4.97,3.43,3.09
"3","Florida","SEC",0,3,3,0.239999999999999,-0.200000000000001,0.44,6.3,6.06,3.88,4.08,2.42,1.98
"4","Tennessee","SEC",0,4,4,0.0299999999999994,-0.380000000000001,0.41,5.82,5.79,2.61,2.99,3.21,2.8
"5","Texas A&M","SEC",0,5,5,0.129999999999999,-0.0500000000000003,0.18,5.68,5.55,3.18,3.23,2.5,2.32
"6","Duke","ACC",0,6,6,0.659999999999999,0.64,0.0200000000000005,5.54,4.88,3.83,3.19,1.71,1.69
"7","Houston","Big 12",-2,7,9,0.999999999999999,0.77,0.23,5.24,4.24,5.16,4.39,0.08,-0.15
"8","Purdue","Big Ten",1,8,7,0.380000000000002,0.370000000000001,0.0100000000000002,5.17,4.79,3.7,3.33,1.47,1.46
"9","Iowa St.","Big 12",-3,9,12,0.719999999999998,0.569999999999999,0.15,4.65,3.93,2.94,2.37,1.71,1.56
"10","Wisconsin","Big Ten",-1,10,11,0.47,0.33,0.14,4.64,4.17,2.84,2.51,1.8,1.66
"11","Mississippi","SEC",1,11,10,0.289999999999999,-0.100000000000001,0.39,4.52,4.23,2.94,3.04,1.58,1.19
"12","Memphis","American",-4,12,16,1.2,0.9,0.3,4.41,3.21,1.33,0.43,3.08,2.78
"13","Michigan","Big Ten",0,13,13,0.759999999999999,0.44,0.32,4.27,3.51,4.61,4.17,-0.34,-0.66
"14","St. John's","Big East",-1,14,15,0.78,0.440000000000001,0.34,4.06,3.28,3.56,3.12,0.5,0.16
"15","Marquette","Big East",1,15,14,0.69,0.63,0.06,4,3.31,1.66,1.03,2.34,2.28
"16","Kentucky","SEC",8,16,8,-0.42,-0.44,0.0200000000000002,3.91,4.33,1.93,2.37,1.98,1.96
"17","Kansas","Big 12",0,17,17,0.85,0.66,0.19,3.89,3.04,1.91,1.25,1.98,1.79
"18","Arizona","Big 12",1,18,17,0.71,0.54,0.17,3.75,3.04,4.94,4.4,-1.19,-1.36
"19","Texas Tech","Big 12",0,19,19,0.69,0.39,0.3,3.67,2.98,3.96,3.57,-0.29,-0.59
"20","Michigan St.","Big Ten",-1,20,21,0.719999999999999,0.49,0.23,3.36,2.64,2.91,2.42,0.45,0.22
"21","Utah St.","Mountain West",-5,21,26,1.07,0.86,0.21,3.28,2.21,1.81,0.95,1.47,1.26
"22","Saint Mary's","WCC",-6,22,28,1.18,0.69,0.49,3.24,2.06,2.84,2.15,0.4,-0.09
"23","Louisville","ACC",-1,23,24,0.66,0.68,-0.0200000000000001,3.12,2.46,3.38,2.7,-0.26,-0.24
"24","Mississippi St.","SEC",4,24,20,0.18,-0.21,0.39,3.09,2.91,0.86,1.07,2.23,1.84
"25","Oregon","Big Ten",2,25,23,0.459999999999999,0.31,0.149999999999999,3.02,2.56,-0.14,-0.45,3.16,3.01
"26","Maryland","Big Ten",4,26,22,0.339999999999999,0.22,0.12,2.97,2.63,2.65,2.43,0.32,0.2
"27","UCLA","Big Ten",4,27,23,0.33,0.29,0.0400000000000001,2.89,2.56,2.25,1.96,0.64,0.6
"28","New Mexico","Mountain West",-4,28,32,1.22,0.87,0.35,2.86,1.64,2.76,1.89,0.1,-0.25
"29","Missouri","SEC",11,29,18,-0.200000000000001,-0.3,0.1,2.83,3.03,2.44,2.74,0.39,0.29
"30","Creighton","Big East",5,30,25,0.489999999999999,0.339999999999999,0.15,2.73,2.24,3.11,2.77,-0.38,-0.53
"31","Clemson","ACC",1,31,30,0.909999999999999,0.699999999999999,0.21,2.73,1.82,2.77,2.07,-0.0400000000000001,-0.25
"32","Illinois","Big Ten",5,32,27,0.37,0.45,-0.08,2.54,2.17,1.6,1.15,0.94,1.02
"33","Drake","Missouri Valley",-2,33,35,1.32,0.85,0.47,2.41,1.09,0.65,-0.2,1.76,1.29
"34","Baylor","Big 12",3,34,31,0.42,0.41,0.01,2.07,1.65,1.29,0.88,0.78,0.77
"35","Oklahoma","SEC",6,35,29,-0.0399999999999998,-0.28,0.239999999999999,1.96,2,-1,-0.72,2.96,2.72
"36","Connecticut","Big East",2,36,34,0.58,0.56,0.0199999999999999,1.86,1.28,1.86,1.3,-6.2450045135165e-17,-0.02
"37","Vanderbilt","SEC",4,37,33,0.24,-0.26,0.5,1.65,1.41,0.78,1.04,0.87,0.37
"38","Wake Forest","ACC",1,38,37,0.76,0.61,0.15,1.58,0.82,1.14,0.53,0.44,0.29
"39","SMU","ACC",-4,39,43,1.18,0.75,0.43,1.35,0.17,1.34,0.59,0.00999999999999988,-0.42
"40","Nebraska","Big Ten",4,40,36,0.42,0.12,0.3,1.31,0.89,-0.0499999999999999,-0.17,1.36,1.06
"41","West Virginia","Big 12",2,41,39,0.51,0.48,0.0300000000000002,1.27,0.76,0.16,-0.32,1.11,1.08
"42","San Diego St.","Mountain West",1,42,41,0.68,0.75,-0.0700000000000001,1.08,0.4,-0.0899999999999999,-0.84,1.17,1.24
"43","Georgia","SEC",5,43,38,0.13,-0.32,0.45,0.91,0.78,-0.59,-0.27,1.5,1.05
"44","UC Irvine","Big West",-4,44,48,1.35,0.37,0.98,0.9,-0.45,0.17,-0.2,0.73,-0.25
"45","Ohio St.","Big Ten",5,45,40,0.15,0.26,-0.11,0.88,0.73,0.39,0.13,0.49,0.6
"46","Gonzaga","WCC",1,46,45,0.88,0.67,0.21,0.8,-0.08,0.12,-0.55,0.68,0.47
"47","George Mason","Atlantic 10",-4,47,51,1.24,0.9,0.34,0.49,-0.75,1.91,1.01,-1.42,-1.76
"48","BYU","Big 12",1,48,47,0.77,0.42,0.35,0.47,-0.3,0.72,0.3,-0.25,-0.6
"49","Arkansas","SEC",7,49,42,0.0199999999999999,-0.24,0.26,0.38,0.36,-0.48,-0.24,0.86,0.6
"50","Indiana","Big Ten",4,50,46,0.49,0.29,0.2,0.36,-0.13,0.0099999999999999,-0.28,0.35,0.15
"51","San Francisco","WCC",1,51,50,0.95,0.67,0.28,0.22,-0.73,0.69,0.02,-0.47,-0.75
"52","VCU","Atlantic 10",-3,52,55,1.34,0.93,0.41,0.11,-1.23,1.18,0.25,-1.07,-1.48
"53","Texas","SEC",9,53,44,0.0200000000000002,-0.38,0.4,0.11,0.09,-0.06,0.32,0.17,-0.23
"54","UC San Diego","Big West",2,54,52,0.91,0.46,0.45,0.11,-0.8,0.0400000000000001,-0.42,0.0700000000000001,-0.38
"55","North Carolina","ACC",6,55,49,0.39,0.38,0.0100000000000002,-0.0899999999999997,-0.48,-0.47,-0.85,0.38,0.37
"56","Cincinnati","Big 12",0,56,56,1.04,0.63,0.41,-0.22,-1.26,-1.2,-1.83,0.98,0.57
"57","Boise St.","Mountain West",-4,57,61,1.15,0.78,0.37,-0.56,-1.71,-0.17,-0.95,-0.39,-0.76
"58","Xavier","Big East",4,58,54,0.56,0.25,0.31,-0.58,-1.14,-0.17,-0.42,-0.41,-0.72
"59","North Texas","American",-4,59,63,1.42,0.89,0.53,-0.69,-2.11,-0.33,-1.22,-0.36,-0.89
"60","Liberty","CUSA",-5,60,65,1.71,1.02,0.69,-0.73,-2.44,-1.66,-2.68,0.93,0.24
"61","UCF","Big 12",8,61,53,0.24,2.22044604925031e-16,0.24,-0.8,-1.04,-1.09,-1.09,0.29,0.05
"62","Arizona St.","Big 12",4,62,58,0.789999999999999,0.479999999999999,0.31,-0.820000000000001,-1.61,-2.94,-3.42,2.12,1.81
"63","TCU","Big 12",3,63,60,0.72,0.39,0.33,-0.97,-1.69,0.17,-0.22,-1.14,-1.47
"64","Kansas St.","Big 12",5,64,59,0.619999999999999,0.149999999999999,0.47,-1.02,-1.64,1.51,1.36,-2.53,-3
"65","Pittsburgh","ACC",3,65,62,0.710000000000001,0.470000000000001,0.24,-1.05,-1.76,-2.38,-2.85,1.33,1.09
"66","USC","Big Ten",9,66,57,0.39,0.1,0.29,-1.06,-1.45,-0.0599999999999999,-0.16,-1,-1.29
"67","Iowa","Big Ten",9,67,58,0.44,0.28,0.16,-1.17,-1.61,-1.11,-1.39,-0.06,-0.22
"68","Miami OH","Mid-American",4,68,64,1.07,0.58,0.49,-1.25,-2.32,0.39,-0.19,-1.64,-2.13
"69","McNeese St.","Southland",2,69,67,1.16,0.78,0.38,-1.38,-2.54,0.41,-0.37,-1.79,-2.17
"70","Akron","Mid-American",4,70,66,0.95,0.45,0.5,-1.51,-2.46,0.97,0.52,-2.48,-2.98
"71","Dayton","Atlantic 10",3,71,68,1.01,0.99,0.02,-1.54,-2.55,-1.92,-2.91,0.38,0.36
"72","Bradley","Missouri Valley",-1,72,73,1.23,0.78,0.45,-1.63,-2.86,-1.41,-2.19,-0.22,-0.67
"73","UNC Wilmington","CAA",-1,73,74,1.11,0.67,0.44,-1.81,-2.92,-0.58,-1.25,-1.23,-1.67
"74","Villanova","Big East",4,74,70,0.69,0.4,0.29,-1.9,-2.59,1.2490009027033e-16,-0.4,-1.9,-2.19
"75","Colorado St.","Mountain West",0,75,75,1.02,0.59,0.429999999999999,-1.95,-2.97,0.44,-0.15,-2.39,-2.82
"76","High Point","Big South",-4,76,80,1.2,0.59,0.61,-2.08,-3.28,-0.69,-1.28,-1.39,-2
"77","Arkansas St.","Sun Belt",-8,77,85,1.4,0.82,0.58,-2.1,-3.5,-1.09,-1.91,-1.01,-1.59
"78","Georgetown","Big East",6,78,72,0.669999999999999,0.31,0.36,-2.12,-2.79,-1.49,-1.8,-0.63,-0.99
"79","Yale","Ivy",-2,79,81,1.15,0.36,0.79,-2.14,-3.29,0.92,0.56,-3.06,-3.85
"80","Utah","Big 12",9,80,71,0.4,0.3,0.1,-2.2,-2.6,-1.01,-1.31,-1.19,-1.29
"81","Stanford","ACC",3,81,78,0.910000000000001,0.57,0.34,-2.21,-3.12,-1.14,-1.71,-1.07,-1.41
"82","Santa Clara","WCC",-1,82,83,1.16,0.5,0.66,-2.29,-3.45,-0.52,-1.02,-1.77,-2.43
"83","Northwestern","Big Ten",6,83,77,0.770000000000001,0.210000000000001,0.56,-2.31,-3.08,-2.19,-2.4,-0.12,-0.68
"84","UTEP","CUSA",-5,84,89,1.43,0.9,0.53,-2.41,-3.84,-1.67,-2.57,-0.74,-1.27
"85","LSU","SEC",16,85,69,0.0599999999999992,-0.3,0.36,-2.5,-2.56,-2.93,-2.63,0.43,0.07
"86","Grand Canyon","WAC",0,86,86,1.03,0.61,0.42,-2.55,-3.58,-0.74,-1.35,-1.81,-2.23
"87","Samford","Southern",0,87,87,1.11,0.499999999999999,0.61,-2.58,-3.69,-2.5,-3,-0.0800000000000001,-0.69
"88","Utah Valley","WAC",-14,88,102,1.79,0.8,0.99,-2.65,-4.44,0.73,-0.0700000000000003,-3.38,-4.37
"89","St. Thomas","Summit",-14,89,103,1.79,0.99,0.8,-2.67,-4.46,-0.0799999999999997,-1.07,-2.59,-3.39
"90","Montana","Big Sky",2,90,88,1.01,0.7,0.31,-2.7,-3.71,-0.57,-1.27,-2.13,-2.44
"91","Northern Colorado","Big Sky",-6,90,96,1.55,0.67,0.88,-2.7,-4.25,-0.65,-1.32,-2.05,-2.93
"92","Washington","Big Ten",12,91,79,0.48,0.14,0.34,-2.7,-3.18,-2.44,-2.58,-0.26,-0.6
"93","Oregon St.","WCC",10,92,82,0.609999999999999,0.43,0.18,-2.72,-3.33,-1.8,-2.23,-0.92,-1.1
"94","Rutgers","Big Ten",17,93,76,0.26,0.0300000000000005,0.23,-2.73,-2.99,-1.23,-1.26,-1.5,-1.73
"95","Middle Tennessee","CUSA",-3,94,97,1.56,0.94,0.62,-2.74,-4.3,-1.47,-2.41,-1.27,-1.89
"96","Florida St.","ACC",3,95,92,1.2,0.82,0.38,-2.74,-3.94,-2.79,-3.61,0.05,-0.33
