"","team","conf","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"1","Auburn","SEC",9.8,4.29,5.51,2.15,3.72,3.93,8.12,1.25,0.26,0.17
"2","Alabama","SEC",8.35,3.43,4.92,2.03,4.78,1.54,4.84,2.59,0.7,0.22
"3","Florida","SEC",6.3,2.42,3.88,1.81,2.97,1.52,2.74,2.87,0.44,0.25
"4","Tennessee","SEC",5.82,3.21,2.61,2.52,2.28,1.02,4.17,0.71,0.51,0.43
"5","Texas A&M","SEC",5.68,2.5,3.18,1.9,1.78,2,3.06,2.15,0.21,0.26
"6","Duke","ACC",5.54,1.71,3.83,2.64,3.49,-0.59,2.83,1.23,1.17,0.31
"7","Houston","Big 12",5.24,0.08,5.16,2.2,3.62,-0.58,2.57,1.4,0.99,0.28
"8","Purdue","Big Ten",5.17,1.47,3.7,3.01,1.67,0.49,2.27,2.39,0.25,0.26
"9","Iowa St.","Big 12",4.65,1.71,2.94,1.79,2.38,0.48,3.37,0.36,0.7,0.22
"10","Wisconsin","Big Ten",4.64,1.8,2.84,1.95,1.53,1.16,2.1,2.06,0.32,0.16
"11","Mississippi","SEC",4.52,1.58,2.94,1.21,2.5,0.81,1.82,2.09,0.32,0.29
"12","Memphis","American",4.41,3.08,1.33,0.66,2.18,1.57,2.44,1.93,-0.3,0.34
"13","Michigan","Big Ten",4.27,-0.34,4.61,2.53,2.74,-1,2.85,0.38,0.92,0.12
"14","St. John's","Big East",4.06,0.5,3.56,2.88,1.76,-0.58,0.35,2.27,1.21,0.23
"15","Marquette","Big East",4,2.34,1.66,1.7,1.77,0.53,2.09,1.1,0.69,0.12
"16","Kentucky","SEC",3.91,1.98,1.93,2.27,0.51,1.13,3.81,-0.66,0.46,0.3
"17","Kansas","Big 12",3.89,1.98,1.91,1.77,0.57,1.55,2.05,1.14,0.54,0.16
"18","Arizona","Big 12",3.75,-1.19,4.94,2.39,2.44,-1.08,2.17,0.7,0.75,0.13
"19","Texas Tech","Big 12",3.67,-0.29,3.96,1.16,3.32,-0.81,3.21,-0.63,0.8,0.29
"20","Michigan St.","Big Ten",3.36,0.45,2.91,1.58,1.74,0.04,1.55,0.66,0.9,0.25
"21","Utah St.","Mountain West",3.28,1.47,1.81,0.08,2.09,1.11,1.83,-0.17,1,0.62
"22","Saint Mary's","WCC",3.24,0.4,2.84,1.25,2.01,-0.02,1.25,0.78,0.71,0.5
"23","Louisville","ACC",3.12,-0.26,3.38,0.49,2.18,0.45,0.45,1.64,0.8,0.23
"24","Mississippi St.","SEC",3.09,2.23,0.86,-0.37,2.95,0.51,1.52,0.81,0.48,0.28
"25","Oregon","Big Ten",3.02,3.16,-0.14,-0.45,1.21,2.26,2.6,-0.17,0.4,0.19
"26","Maryland","Big Ten",2.97,0.32,2.65,1.98,0.33,0.66,1.9,0.5,0.36,0.21
"27","UCLA","Big Ten",2.89,0.64,2.25,1.83,0.61,0.45,1.31,1.23,0.16,0.19
"28","New Mexico","Mountain West",2.86,0.1,2.76,1.03,1.24,0.59,1.13,2.09,-0.18,-0.18
"29","Missouri","SEC",2.83,0.39,2.44,2.27,0.81,-0.25,1.2,1,0.44,0.19
"30","Creighton","Big East",2.73,-0.38,3.11,1.59,1.72,-0.58,2.28,-0.12,0.34,0.23
