Rk,Season,Team,win_pct,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2024-25,Miami (FL),0.24,25,6,19,0.24,5050,687,1474,501,896,186,578,321,417,233,562,795,318,155,80,263,365,1881,0.466,0.559,0.322,0.77,0.562,0.529
2,2024-25,NC State,0.4,25,10,15,0.4,5025,623,1453,469,964,154,489,337,472,263,546,809,311,169,99,230,406,1737,0.429,0.487,0.315,0.714,0.518,0.482
3,2024-25,Syracuse,0.407,27,11,16,0.407,5525,735,1637,556,1089,179,548,368,522,306,715,1021,364,132,69,336,437,2017,0.449,0.511,0.327,0.705,0.535,0.504
4,2024-25,Boston College,0.423,26,11,15,0.423,5375,663,1520,488,1024,175,496,345,477,271,638,909,300,132,101,318,484,1846,0.436,0.477,0.353,0.723,0.528,0.494
5,2024-25,Virginia Tech,0.423,26,11,15,0.423,5200,626,1436,423,862,203,574,331,463,279,600,879,337,133,48,340,442,1786,0.436,0.491,0.354,0.715,0.539,0.507
6,2024-25,Notre Dame,0.44,25,11,14,0.44,5075,658,1446,460,903,198,543,316,425,264,624,888,296,144,42,273,385,1830,0.455,0.509,0.365,0.744,0.555,0.524
7,2024-25,California,0.462,26,12,14,0.462,5250,654,1548,460,949,194,599,439,581,343,614,957,278,152,97,298,411,1941,0.422,0.485,0.324,0.756,0.532,0.485
8,2024-25,Georgia Tech,0.5,26,13,13,0.5,5300,704,1576,507,1006,197,570,334,502,276,680,956,386,164,96,314,423,1939,0.447,0.504,0.346,0.665,0.534,0.509
9,2024-25,Virginia,0.5,26,13,13,0.5,5200,595,1336,376,754,219,582,267,356,184,604,788,398,134,94,262,383,1676,0.445,0.499,0.376,0.75,0.557,0.527
10,2023-24,Louisville,0.25,32,8,24,0.25,6425,799,1833,624,1262,175,571,531,712,318,782,1100,356,174,83,410,544,2304,0.436,0.494,0.306,0.746,0.531,0.484
11,2023-24,Notre Dame,0.394,33,13,20,0.394,6675,742,1824,491,1034,251,790,378,508,324,861,1185,335,189,80,413,497,2113,0.407,0.475,0.318,0.744,0.512,0.476
12,2023-24,Georgia Tech,0.438,32,14,18,0.438,6500,810,1924,556,1144,254,780,398,561,367,852,1219,425,140,128,393,527,2272,0.421,0.486,0.326,0.709,0.519,0.487
13,2023-24,Miami (FL),0.469,32,15,17,0.469,6425,889,1960,603,1168,286,792,360,483,324,850,1174,454,229,100,386,419,2424,0.454,0.516,0.361,0.745,0.554,0.527
14,2022-23,Louisville,0.125,32,4,28,0.125,6400,716,1700,516,1092,200,608,414,559,294,737,1031,299,145,90,478,527,2046,0.421,0.473,0.329,0.741,0.52,0.48
15,2022-23,Florida State,0.281,32,9,23,0.281,6400,802,1840,593,1207,209,633,406,559,278,728,1006,430,197,125,388,519,2219,0.436,0.491,0.33,0.726,0.527,0.493
16,2022-23,Notre Dame,0.344,32,11,21,0.344,6425,810,1830,528,1043,282,787,325,426,210,784,994,379,150,87,281,456,2227,0.443,0.506,0.358,0.763,0.548,0.52
17,2022-23,Georgia Tech,0.455,33,15,18,0.455,6625,855,2019,596,1246,259,773,332,477,349,806,1155,463,197,134,349,524,2301,0.423,0.478,0.335,0.696,0.512,0.488
18,2022-23,Boston College,0.485,33,16,17,0.485,6650,819,1873,631,1283,188,590,371,512,308,785,1093,413,210,118,405,521,2197,0.437,0.492,0.319,0.725,0.519,0.487
19,2021-22,NC State,0.344,32,11,21,0.344,6525,824,1997,557,1214,267,783,421,581,377,738,1115,362,225,118,321,527,2336,0.413,0.459,0.341,0.725,0.514,0.479
20,2021-22,Pittsburgh,0.344,32,11,21,0.344,6400,675,1630,503,1082,172,548,447,642,317,766,1083,352,172,123,435,489,1969,0.414,0.465,0.314,0.696,0.509,0.467
21,2021-22,Georgia Tech,0.375,32,12,20,0.375,6500,823,1866,595,1220,228,646,321,460,284,804,1088,438,249,82,419,576,2195,0.441,0.488,0.353,0.698,0.527,0.502
22,2021-22,Boston College,0.394,33,13,20,0.394,6700,812,1897,622,1283,190,614,395,561,352,778,1130,408,237,97,393,514,2209,0.428,0.485,0.309,0.704,0.511,0.478
23,2021-22,Louisville,0.406,32,13,19,0.406,6450,795,1882,549,1087,246,795,318,472,319,848,1167,382,196,77,391,549,2154,0.422,0.505,0.309,0.674,0.511,0.488
24,2021-22,Syracuse,0.485,33,16,17,0.485,6725,915,2029,615,1234,300,795,423,574,350,848,1198,482,231,124,354,470,2553,0.451,0.498,0.377,0.737,0.555,0.525
25,2020-21,Boston College,0.2,20,4,16,0.2,4025,500,1185,320,639,180,546,247,352,183,482,665,230,144,77,274,324,1427,0.422,0.501,0.33,0.702,0.528,0.498
26,2020-21,Wake Forest,0.273,22,6,16,0.273,4425,501,1222,306,660,195,562,261,359,198,520,718,252,136,48,300,365,1458,0.41,0.464,0.347,0.727,0.524,0.49
27,2020-21,Miami (FL),0.37,27,10,17,0.37,5425,647,1524,497,1016,150,508,350,500,257,687,944,305,179,104,340,333,1794,0.425,0.489,0.295,0.7,0.509,0.474
28,2020-21,Notre Dame,0.423,26,11,15,0.423,5200,679,1479,443,837,236,642,296,383,187,681,868,387,111,102,275,334,1890,0.459,0.529,0.368,0.773,0.569,0.539
29,2020-21,Pittsburgh,0.455,22,10,12,0.455,4400,554,1283,410,857,144,426,314,473,279,564,843,321,133,83,277,381,1566,0.432,0.478,0.338,0.664,0.519,0.488
30,2019-20,Boston College,0.406,32,13,19,0.406,6425,742,1844,512,1097,230,747,353,536,301,757,1058,403,245,82,439,506,2067,0.402,0.467,0.308,0.659,0.492,0.465
31,2019-20,Wake Forest,0.419,31,13,18,0.419,6300,765,1769,561,1187,204,582,542,726,315,855,1170,395,151,87,440,592,2276,0.432,0.473,0.351,0.747,0.538,0.49
32,2019-20,North Carolina,0.424,33,14,19,0.424,6700,865,2058,684,1463,181,595,470,689,455,927,1382,472,183,116,426,550,2383,0.42,0.468,0.304,0.682,0.5,0.464
33,2019-20,Miami (FL),0.484,31,15,16,0.484,6350,796,1855,577,1165,219,690,396,522,292,777,1069,310,183,119,374,447,2207,0.429,0.495,0.317,0.759,0.525,0.488
34,2019-20,Pittsburgh,0.485,33,16,17,0.485,6625,755,1867,580,1275,175,592,467,655,396,733,1129,404,258,113,403,510,2152,0.404,0.455,0.296,0.713,0.494,0.451
35,2019-20,Virginia Tech,0.5,32,16,16,0.5,6550,787,1877,472,981,315,896,305,429,240,846,1086,468,193,95,317,472,2194,0.419,0.481,0.352,0.711,0.527,0.503
36,2018-19,Wake Forest,0.355,31,11,20,0.355,6250,714,1812,517,1172,197,640,494,681,399,775,1174,329,150,77,417,555,2119,0.394,0.441,0.308,0.725,0.496,0.448
37,2018-19,Notre Dame,0.424,33,14,19,0.424,6600,776,1973,504,1110,272,863,442,594,370,838,1208,423,179,148,306,455,2266,0.393,0.454,0.315,0.744,0.502,0.462
38,2018-19,Pittsburgh,0.424,33,14,19,0.424,6650,769,1841,544,1161,225,680,543,779,383,828,1211,387,227,126,448,611,2306,0.418,0.469,0.331,0.697,0.521,0.479
39,2018-19,Georgia Tech,0.438,32,14,18,0.438,6425,755,1714,579,1141,176,573,405,588,262,812,1074,433,221,166,459,560,2091,0.44,0.507,0.307,0.689,0.525,0.492
