"","game_id","date","team","opp","type","location","opp_location","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wabW","wabL","conf","opp_conf","net","quad","wab","wab_opp","result","score","game_score","wab_result","score_sentence"
"1","Middle TennesseeNew Mexico St.2-27",2025-02-27,"New Mexico St.","Middle Tennessee","conf","H","A",0.703760915706365,0.528403849228055,0.887005065273063,0.875093999463174,0.124906000536826,-0.875093999463174,"CUSA","CUSA",105,"Q3",-0.875093999463174,0.124906000536826,"L","66-71",47.8,-0.88,"L, 66-71"
"2","North TexasFlorida Atlantic2-27",2025-02-27,"Florida Atlantic","North Texas","conf","H","A",0.685185137903726,0.76569808086203,0.887005065273063,0.706061191363247,0.293938808636753,-0.706061191363247,"American","American",58,"Q2",-0.706061191363247,0.293938808636753,"L","61-71",35,-0.71,"L, 61-71"
"3","UT ArlingtonGrand Canyon2-27",2025-02-27,"Grand Canyon","UT Arlington","conf","H","A",0.786541257642776,0.301484565116324,0.887005065273063,0.947883309703144,0.0521166902968564,-0.947883309703144,"WAC","WAC",220,"Q4",0.0521166902968564,0.0521166902968564,"W","85-71",74.5,0.05,"W, 85-71"
"4","Cal BaptistSeattle2-27",2025-02-27,"Seattle","Cal Baptist","conf","H","A",0.635864251848632,0.422524957810252,0.887005065273063,0.914739216010964,0.0852607839890357,-0.914739216010964,"WAC","WAC",163,"Q4",0.0852607839890357,0.0852607839890357,"W","72-48",97,0.09,"W, 72-48"
"5","Western KentuckyUTEP2-27",2025-02-27,"UTEP","Western Kentucky","conf","H","A",0.651427128866712,0.480025788944838,0.887005065273063,0.894772713197991,0.105227286802009,-0.894772713197991,"CUSA","CUSA",144,"Q3",-0.894772713197991,0.105227286802009,"L","73-80",12.4,-0.89,"L, 73-80"
"6","William & MaryTowson2-27",2025-02-27,"Towson","William & Mary","conf","H","A",0.57159015829617,0.330698683525593,0.887005065273063,0.940784703270373,0.059215296729627,-0.940784703270373,"CAA","CAA",196,"Q4",0.059215296729627,0.059215296729627,"W","88-73",52.3,0.06,"W, 88-73"
"7","Cal St. BakersfieldLong Beach St.2-27",2025-02-27,"Long Beach St.","Cal St. Bakersfield","conf","H","A",0.245008573786796,0.253755670523254,0.887005065273063,0.958480614132688,0.0415193858673123,-0.958480614132688,"Big West","Big West",237,"Q4",-0.958480614132688,0.0415193858673123,"L","87-88",25.7,-0.96,"L, 87-88"
"8","RutgersMichigan2-27",2025-02-27,"Michigan","Rutgers","conf","H","A",0.933073835958687,0.720521336781795,0.887005065273063,0.752773343120191,0.247226656879809,-0.752773343120191,"Big Ten","Big Ten",75,"Q2",0.247226656879809,0.247226656879809,"W","84-82",70.6,0.25,"W, 84-82"
"9","MontanaSacramento St.2-27",2025-02-27,"Sacramento St.","Montana","conf","H","A",0.160760921075186,0.458572355621067,0.887005065273063,0.902612814532719,0.0973871854672812,-0.902612814532719,"Big Sky","Big Sky",153,"Q3",-0.902612814532719,0.0973871854672812,"L","54-60",5.8,-0.9,"L, 54-60"
"10","Northern KentuckyPurdue Fort Wayne2-27",2025-02-27,"Fort Wayne","Northern Kentucky","conf","H","A",0.574267277899209,0.231804929672416,0.887005065273063,0.962982882715072,0.037017117284928,-0.962982882715072,"Horizon","Horizon",243,"Q4",-0.962982882715072,0.037017117284928,"L","74-79",18,-0.96,"L, 74-79"
