"","date","opp","category","mins"
"1",20031,"Elon","GG",0
"2",20031,"Elon","GF",25.783
"3",20031,"Elon","FF",13.85
"4",20035,"Kansas","GG",0
"5",20035,"Kansas","GF",36.918
"6",20035,"Kansas","FF",2.217
"7",20042,"American","GG",0
"8",20042,"American","GF",14.133
"9",20042,"American","FF",24.685
"10",20049,"Hawaii","GG",0
"11",20049,"Hawaii","GF",31.617
"12",20049,"Hawaii","FF",8.102
"13",20052,"Dayton","GG",0
"14",20052,"Dayton","GF",39.451
"15",20052,"Dayton","FF",0.033
"16",20053,"Auburn","GG",0
"17",20053,"Auburn","GF",37.567
"18",20053,"Auburn","FF",1.483
"19",20054,"Michigan St.","GG",3.2
"20",20054,"Michigan St.","GF",35.551
"21",20054,"Michigan St.","FF",5.5
"22",20061,"Alabama","GG",0
"23",20061,"Alabama","GF",37.233
"24",20061,"Alabama","FF",2.217
"25",20064,"Georgia Tech","GG",6.766
"26",20064,"Georgia Tech","GF",32.65
"27",20064,"Georgia Tech","FF",0
"28",20071,"La Salle","GG",0
"29",20071,"La Salle","GF",27.684
"30",20071,"La Salle","FF",11.817
"31",20074,"Florida","GG",1.983
"32",20074,"Florida","GF",37.566
"33",20074,"Florida","FF",0
"34",20078,"UCLA","GG",10.733
"35",20078,"UCLA","GF",25.317
"36",20078,"UCLA","FF",3.716
"37",20086,"Campbell","GG",0
"38",20086,"Campbell","GF",29.397
"39",20086,"Campbell","FF",10.466
"40",20089,"Louisville","GG",0
"41",20089,"Louisville","GF",16.532
"42",20089,"Louisville","FF",22.751
"43",20092,"Notre Dame","GG",0
"44",20092,"Notre Dame","GF",25.768
"45",20092,"Notre Dame","FF",13.931
"46",20095,"SMU","GG",1.767
"47",20095,"SMU","GF",26.5
"48",20095,"SMU","FF",11.549
"49",20099,"NC State","GG",5.467
"50",20099,"NC State","GF",30.217
"51",20099,"NC State","FF",4.184
"52",20103,"California","GG",3.783
"53",20103,"California","GF",32.8
"54",20103,"California","FF",2.65
"55",20106,"Stanford","GG",10.95
"56",20106,"Stanford","GF",23.866
"57",20106,"Stanford","FF",5.083
"58",20109,"Wake Forest","GG",14.049
"59",20109,"Wake Forest","GF",22.534
"60",20109,"Wake Forest","FF",3
"61",20113,"Boston College","GG",12.217
"62",20113,"Boston College","GF",32.067
"63",20113,"Boston College","FF",0
"64",20116,"Pittsburgh","GG",16.016
"65",20116,"Pittsburgh","GF",23.566
"66",20116,"Pittsburgh","FF",0
"67",20120,"Duke","GG",10.683
"68",20120,"Duke","GF",15.4
"69",20120,"Duke","FF",13.65
"70",20127,"Pittsburgh","GG",11.117
"71",20127,"Pittsburgh","GF",19.6
"72",20127,"Pittsburgh","FF",9.266
"73",20129,"Clemson","GG",0
"74",20129,"Clemson","GF",31.632
"75",20129,"Clemson","FF",7.217
"76",20134,"Syracuse","GG",0.033
"77",20134,"Syracuse","GF",29.434
"78",20134,"Syracuse","FF",10.316
"79",20138,"NC State","GG",0
"80",20138,"NC State","GF",21.634
"81",20138,"NC State","FF",18.035
"82",20141,"Virginia","GG",0
"83",20141,"Virginia","GF",14.9
"84",20141,"Virginia","FF",24.667
"85",20143,"Florida St.","GG",0
"86",20143,"Florida St.","GF",24.683
"87",20143,"Florida St.","FF",14.433
