"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"1","Le Moyne","Northeast",350,349,314,227,-20.23,-7.84,7,23,3,10,2,16,0,1,0,3,1,4,6,15,2025-03-14,0.0385674931129476,"Northeast",-19.06,-7.08,-11.17,-6.66,-12.45,0.05,-0.29,-1.81,-3.02,-13.94
"2","Queens","Atlantic Sun",200,199,185,120,-9.54,-3.49,17,14,5,6,9,9,0,3,1,2,2,5,14,4,2025-03-14,0.451790633608815,"Atlantic Sun",-8.51,-3.11,-5.02,-4.38,-4.16,0.03,-0.89,-0.86,-3.59,-3.17
"3","Lindenwood","Ohio Valley",313,313,268,38,-13.63,-3.43,13,17,2,6,3,12,0,3,0,0,1,4,12,10,2025-03-14,0.140495867768595,"Ohio Valley",-12.8,-3.3,-8.63,-2.65,-8.33,-1.82,-0.79,0,-3.11,-8.9
"4","Indiana St.","Missouri Valley",206,206,156,288,-13.33,-3.77,12,18,4,5,4,9,0,2,0,6,3,7,9,3,2025-03-14,0.435261707988981,"Missouri Valley",-12.42,-3.48,-8.07,-4.86,-5.32,-2.24,-0.73,-4.07,-5.47,-2.15
"5","Indiana","Big Ten",54,54,30,158,0.19,0.23,19,13,9,2,4,6,4,13,5,0,6,0,4,0,2025-03-14,0.853994490358127,"Big Ten",0.27,0.35,0.38,0.6,0.47,-0.8,-2.32,1.24,1.13,0.22
"6","Fort Wayne","Horizon",156,156,258,124,-9.46,-2,17,13,5,4,6,10,0,3,1,0,4,7,12,3,2025-03-14,0.573002754820937,"Horizon",-8.49,-1.7,-5.96,-1.47,-6.29,-0.73,-1.18,0.24,-5.25,-2.3
"7","Iona","Metro Atlantic",249,252,357,324,-13.86,-6.76,17,16,3,8,7,7,0,1,0,0,2,4,15,11,2025-03-14,0.316804407713499,"Metro Atlantic",-12.89,-6.33,-6.73,-6.43,-4.9,-1.56,-0.29,0,-3.29,-9.31
"8","Iowa","Big Ten",63,64,35,235,-2.56,-0.2,17,16,9,2,2,8,2,15,6,0,2,1,7,0,2025-03-14,0.829201101928375,"Big Ten",-2.44,-0.1,-2.52,-1.7,-1.03,0.29,-4.2,2.03,-0.45,0.18
"9","Jackson St.","SWAC",263,272,112,4,-10.58,-6.97,16,17,0,13,6,15,0,5,0,5,0,4,16,3,2025-03-14,0.278236914600551,"SWAC",-9.55,-6.38,-3.25,-0.85,-8.04,-0.66,-1.03,-3.12,-3.06,-2.34
"10","Jacksonville St.","CUSA",119,123,163,241,-6.45,-3.41,19,11,5,5,7,7,0,2,2,2,11,5,6,2,2025-03-14,0.674931129476584,"CUSA",-4.83,-3.01,-2.1,-0.74,-2.7,-1.39,-0.58,-0.77,-2.02,-1.46
"11","Jacksonville","Atlantic Sun",182,182,177,56,-8.59,-3.05,17,13,4,6,7,9,0,3,0,4,5,2,12,4,2025-03-14,0.50137741046832,"Atlantic Sun",-7.39,-2.63,-4.19,-2.26,-4.25,-0.88,-0.82,-2.64,-0.72,-3.21
"12","Kansas St.","Big 12",76,75,31,173,-3.4,-2.87,16,17,6,5,3,9,5,10,3,6,3,1,5,0,2025-03-14,0.793388429752066,"Big 12",-2.51,-2.57,0.0600000000000002,-0.82,-1.44,-0.25,0.17,-1.94,-0.92,0.18
"13","Kansas","Big 12",20,20,11,19,3.37,2.05,21,12,9,2,4,8,6,10,6,2,6,0,3,0,2025-03-14,0.947658402203857,"Big 12",4.1,2.04,1.94,2.14,0.22,1.74,1.31,1.91,0.74,0.14
"14","Kent St.","Mid-American",128,121,196,77,-6.68,-0.14,20,11,8,3,8,5,0,2,0,2,5,5,15,2,2025-03-14,0.650137741046832,"Mid-American",-5.84,0.02,-5.07,-3.23,-1.48,-1.13,-0.18,-1.26,-3.28,-1.12
"15","Kentucky","SEC",14,13,3,46,6.18,2.01,22,11,11,2,4,6,11,10,1,1,4,0,6,0,2025-03-14,0.964187327823691,"SEC",5.5,1.97,3.22,2.51,1.54,1.45,4.9,-0.3,0.63,0.27
"16","La Salle","Atlantic 10",214,215,108,203,-12.57,-2.86,13,19,7,5,2,10,0,6,2,4,5,6,6,3,2025-03-14,0.413223140495868,"Atlantic 10",-11.53,-2.66,-8.31,-3.78,-5.16,-2.59,-2.08,-2.7,-4.19,-2.56
