"","seed","region","team","record","conf","tram","net","trk","kp","wab","net_percentile","trk_percentile","kp_percentile","wab_percentile","season_avg","last_five_avg","r64","r32","s16","e8","f4","f2","champ"
"1",1,"East","Duke","31-3","ACC",7.9684737,NA,2,1,6,NA,0.997245179063361,1,0.986225895316804,95.55,94.04,1,0.991,0.849,0.675,0.498,0.308,0.206
"2",1,"West","Florida","30-4","SEC",6.757841,NA,4,2,3,NA,0.991735537190083,0.997245179063361,0.994490358126722,92.3411764705882,98.86,1,0.979,0.817,0.6,0.41,0.244,0.119
"3",1,"Midwest","Houston","30-4","Big 12",11.5248875,NA,1,3,2,NA,1,0.994490358126722,0.997245179063361,96.4176470588235,96.86,1,0.989,0.789,0.65,0.504,0.323,0.218
"4",1,"South","Auburn","28-5","SEC",6.62323599999999,NA,3,4,1,NA,0.994490358126722,0.991735537190083,1,95.8121212121212,90.92,1,0.991,0.778,0.627,0.463,0.3,0.159
"5",2,"Midwest","Tennessee","27-7","SEC",4.60152179999999,NA,6,5,5,NA,0.986225895316804,0.988980716253444,0.988980716253444,91.2588235294118,93.46,1,0.949,0.67,0.44,0.178,0.076,0.036
"6",2,"East","Alabama","25-8","SEC",-1.1539769,NA,5,6,4,NA,0.988980716253444,0.986225895316804,0.991735537190083,92.3151515151515,94.7,1,0.958,0.695,0.443,0.192,0.089,0.045
"7",3,"West","Texas Tech","25-8","Big 12",5.7879386,NA,7,7,15,NA,0.983471074380165,0.983471074380165,0.961432506887052,90.1848484848485,95.02,1,0.921,0.602,0.374,0.179,0.086,0.032
"8",2,"South","Michigan St.","27-6","Big Ten",4.77865060000001,NA,13,8,7,NA,0.966942148760331,0.980716253443526,0.983471074380165,87.7515151515152,94.52,1,0.94,0.637,0.345,0.139,0.059,0.019
"9",8,"Midwest","Gonzaga","25-8","WCC",8.8082924,NA,11,9,35,NA,0.972451790633609,0.977961432506887,0.90633608815427,89.5242424242424,90.48,1,0.654,0.159,0.096,0.051,0.018,0.007
"10",3,"South","Iowa St.","24-9","Big 12",7.45221339999999,NA,8,10,18,NA,0.980716253443526,0.975206611570248,0.953168044077135,88.1333333333333,94.72,1,0.894,0.606,0.36,0.155,0.072,0.024
"11",3,"East","Wisconsin","26-9","Big Ten",1.134349,NA,12,11,10,NA,0.96969696969697,0.972451790633609,0.975206611570248,87.5571428571428,87.98,1,0.923,0.521,0.239,0.081,0.031,0.013
"12",2,"West","St. John's","30-4","Big East",11.2986783,NA,15,12,8,NA,0.961432506887052,0.96969696969697,0.980716253443526,88.3352941176471,88.38,1,0.906,0.536,0.253,0.1,0.04,0.012
"13",4,"West","Maryland","25-8","Big Ten",8.3924634,NA,10,13,19,NA,0.975206611570248,0.966942148760331,0.950413223140496,89.7030303030303,93.68,1,0.863,0.65,0.261,0.136,0.061,0.021
"14",4,"East","Arizona","22-12","Big 12",3.9428272,NA,9,14,16,NA,0.977961432506887,0.964187327823691,0.958677685950413,90.964705882353,93.88,1,0.894,0.666,0.21,0.103,0.039,0.017
"15",6,"West","Missouri","22-11","SEC",6.38067360000001,NA,16,15,24,NA,0.958677685950413,0.961432506887052,0.9366391184573,85.9,80.16,1,0.749,0.33,0.176,0.069,0.027,0.008
"16",3,"Midwest","Kentucky","22-11","SEC",-0.0423204000000084,NA,17,16,9,NA,0.955922865013774,0.958677685950413,0.977961432506887,87.2939393939394,84.46,1,0.872,0.511,0.23,0.07,0.022,0.007
"17",4,"South","Texas A&M","22-10","SEC",8.25028859999999,NA,22,17,11,NA,0.942148760330578,0.955922865013774,0.972451790633609,89.134375,86.5,1,0.803,0.483,0.141,0.066,0.023,0.007
"18",5,"Midwest","Clemson","27-6","ACC",6.93515899999998,NA,21,18,22,NA,0.944903581267218,0.953168044077135,0.942148760330578,87.7333333333333,90.18,1,0.762,0.421,0.105,0.048,0.015,0.005
"19",4,"Midwest","Purdue","22-11","Big Ten",3.08985820000001,NA,18,19,20,NA,0.953168044077135,0.950413223140496,0.947658402203857,86.5272727272727,84.54,1,0.83,0.47,0.118,0.054,0.016,0.005
"20",6,"Midwest","Illinois","21-12","Big Ten",1.0245281,NA,23,20,25,NA,0.93939393939394,0.947658402203857,0.933884297520661,85.0545454545455,81.2,1,0.643,0.329,0.139,0.039,0.011,0.004
"21",7,"West","Kansas","21-12","Big 12",0.0855052000000001,NA,20,21,26,NA,0.947658402203857,0.944903581267218,0.931129476584022,85.4727272727273,89.6,1,0.67,0.337,0.147,0.055,0.021,0.006
"22",7,"East","Saint Mary's","27-5","WCC",9.1396419,NA,24,22,27,NA,0.9366391184573,0.942148760330578,0.928374655647383,85.89375,84.78,1,0.653,0.222,0.101,0.028,0.009,0.003
"23",8,"South","Louisville","27-7","ACC",4.76261819999999,NA,19,23,17,NA,0.950413223140496,0.93939393939394,0.955922865013774,85.2294117647059,91.52,1,0.632,0.158,0.091,0.044,0.018,0.005
"24",6,"East","BYU","24-9","Big 12",2.8697324,NA,14,24,21,NA,0.964187327823691,0.9366391184573,0.944903581267218,85.9151515151515,87.38,1,0.632,0.329,0.146,0.047,0.017,0.006
"25",6,"South","Mississippi","22-11","SEC",6.38883079999999,NA,28,25,13,NA,0.925619834710744,0.933884297520661,0.966942148760331,83.9242424242424,90.34,1,0.514,0.196,0.083,0.025,0.007,0.002
"26",5,"South","Michigan","25-9","Big Ten",-2.90554159999999,NA,26,26,12,NA,0.931129476584022,0.931129476584022,0.96969696969697,85.214705882353,82.54,1,0.628,0.32,0.083,0.033,0.011,0.002
"27",7,"Midwest","UCLA","22-10","Big Ten",9.72878639999999,NA,25,27,28,NA,0.933884297520661,0.928374655647383,0.925619834710744,85.759375,84.52,1,0.672,0.249,0.125,0.036,0.01,0.003
"28",7,"South","Marquette","23-10","Big East",8.95454149999999,NA,31,28,29,NA,0.917355371900826,0.925619834710744,0.922865013774105,84.6,88.3,1,0.59,0.228,0.09,0.026,0.008,0.002
"29",9,"East","Baylor","18-14","Big 12",5.243574,NA,27,29,39,NA,0.928374655647383,0.922865013774105,0.895316804407714,83.775,90.46,1,0.536,0.084,0.037,0.013,0.004,0.001
"30",11,"East","VCU","27-6","Atlantic 10",7.56677839999999,NA,29,30,51,NA,0.922865013774105,0.920110192837466,0.862258953168044,83.1818181818182,83.32,1,0.368,0.142,0.047,0.011,0.003,0.001
"31",5,"East","Oregon","24-9","Big Ten",2.28750199999999,NA,39,31,14,NA,0.895316804407714,0.917355371900826,0.964187327823691,81.4909090909091,88.72,1,0.574,0.191,0.032,0.01,0.002,0
"32",8,"East","Mississippi St.","21-12","SEC",6.73635990000001,NA,32,32,30,NA,0.914600550964187,0.914600550964187,0.920110192837466,80.6575757575758,84.02,1,0.464,0.067,0.027,0.008,0.002,0.001
"33",11,"South","North Carolina","22-13","ACC",1.21061170000002,NA,36,33,43,NA,0.903581267217631,0.911845730027548,0.884297520661157,83.6805555555556,93.32,1,0.486,0.178,0.075,0.02,0.006,0.001
"34",9,"Midwest","Georgia","20-12","SEC",1.0160692,NA,30,34,33,NA,0.920110192837466,0.909090909090909,0.911845730027548,82.40625,93.34,1,0.346,0.052,0.023,0.008,0.002,0
"35",8,"West","Connecticut","23-10","Big East",1.96762340000001,NA,35,35,36,NA,0.90633608815427,0.90633608815427,0.903581267217631,83.5272727272727,87.7,1,0.565,0.112,0.045,0.015,0.004,0.001
"36",12,"South","UC San Diego","28-4","Big West",10.1169948,NA,44,36,45,NA,0.881542699724518,0.903581267217631,0.878787878787879,78.2625,83.96,1,0.372,0.143,0.025,0.007,0.002,0
"37",9,"South","Creighton","24-10","Big East",-7.5144265,NA,33,37,31,NA,0.911845730027548,0.900826446280992,0.917355371900826,81.0411764705882,84.9,1,0.368,0.064,0.028,0.01,0.003,0.001
"38",9,"West","Oklahoma","20-13","SEC",-1.47025480000001,NA,46,38,32,NA,0.87603305785124,0.898071625344353,0.914600550964187,76.7969696969697,91.74,1,0.435,0.069,0.024,0.007,0.002,0
"39",10,"West","Arkansas","20-13","SEC",0.830858500000005,NA,43,40,40,NA,0.884297520661157,0.892561983471074,0.892561983471074,80.2454545454545,73.38,1,0.33,0.115,0.032,0.007,0.002,0
"40",10,"South","New Mexico","25-7","Mountain West",8.39727400000001,NA,40,41,34,NA,0.892561983471074,0.889807162534435,0.909090909090909,79.31875,84.3,1,0.41,0.128,0.042,0.009,0.002,0
"41",12,"West","Colorado St.","25-9","Mountain West",-0.289628500000006,NA,38,42,47,NA,0.898071625344353,0.887052341597796,0.873278236914601,74.2058823529412,95.76,1,0.619,0.208,0.048,0.014,0.003,0
"42",11,"Midwest","Xavier","21-11","Big East",1.82619519999999,NA,37,43,49,NA,0.900826446280992,0.884297520661157,0.867768595041322,80.125,90.1,0.561,0.213,0.085,0.026,0.005,0.001,0
"43",11,"Midwest","Texas","19-15","SEC",2.7312968,NA,48,44,46,NA,0.870523415977961,0.881542699724518,0.87603305785124,78.5823529411765,88.6,0.439,0.144,0.052,0.013,0.002,0,0
"44",11,"South","San Diego St.","20-9","Mountain West",2.32940339999999,NA,54,46,44,NA,0.853994490358127,0.87603305785124,0.881542699724518,72.4066666666667,61.42,0,0,0,0,0,0,0
"45",10,"East","Vanderbilt","20-12","SEC",7.37940260000001,NA,42,49,37,NA,0.887052341597796,0.867768595041322,0.900826446280992,81.24375,74.1,1,0.347,0.079,0.024,0.004,0.001,0
"46",10,"Midwest","Utah St.","25-7","Mountain West",6.9402606,NA,49,51,38,NA,0.867768595041322,0.862258953168044,0.898071625344353,77.540625,57.16,1,0.328,0.074,0.024,0.004,0.001,0
"47",5,"West","Memphis","29-5","American",1.15108609999999,NA,61,52,23,NA,0.834710743801653,0.859504132231405,0.93939393939394,75.6529411764706,71.96,1,0.381,0.097,0.016,0.004,0.001,0
"48",11,"West","Drake","28-3","Missouri Valley",8.66445379999999,NA,58,58,41,NA,0.84297520661157,0.84297520661157,0.889807162534435,76.7354838709677,71.02,1,0.251,0.056,0.016,0.003,0,0
"49",12,"Midwest","McNeese St.","25-6","Southland",7.94660339999999,NA,63,59,59,NA,0.829201101928375,0.840220385674931,0.840220385674931,75.4064516129032,83.56,1,0.238,0.071,0.007,0.002,0,0
"50",12,"East","Liberty","25-6","CUSA",-2.47269169999998,NA,56,62,60,NA,0.848484848484849,0.831955922865014,0.837465564738292,76.7451612903226,84.1,1,0.426,0.116,0.015,0.004,0,0
"51",13,"South","Yale","21-7","Ivy",5.49965299999998,NA,79,74,77,NA,0.785123966942149,0.798898071625344,0.790633608815427,69.9928571428571,61.4,1,0.197,0.055,0.006,0.001,0,0
"52",14,"South","Lipscomb","23-9","Atlantic Sun",0.522457500000002,NA,102,83,92,NA,0.721763085399449,0.774104683195592,0.74931129476584,63.740625,68.56,1,0.106,0.021,0.004,0,0,0
"53",13,"Midwest","High Point","27-5","Big South",3.34947150000001,NA,85,84,66,NA,0.768595041322314,0.771349862258953,0.820936639118457,67.28125,77.08,1,0.17,0.038,0.002,0,0,0
"54",13,"West","Grand Canyon","25-7","WAC",4.33830759999998,NA,83,93,75,NA,0.774104683195592,0.746556473829201,0.796143250688705,66.934375,73.4,1,0.137,0.045,0.005,0.001,0,0
"55",14,"Midwest","Troy","21-10","Sun Belt",2.84783059999999,NA,103,98,97,NA,0.71900826446281,0.732782369146006,0.735537190082645,62.2870967741936,80.12,1,0.128,0.022,0.003,0,0,0
"56",13,"East","Akron","26-6","Mid-American",2.70947220000001,NA,101,99,65,NA,0.724517906336088,0.730027548209366,0.823691460055096,62.825,71.62,1,0.106,0.027,0.002,0,0,0
"57",14,"West","UNC Wilmington","25-7","CAA",5.06074939999999,NA,109,105,83,NA,0.702479338842975,0.713498622589532,0.774104683195592,61.296875,79.48,1,0.079,0.012,0.002,0,0,0
"58",15,"Midwest","Wofford","17-15","Southern",2.0416123,NA,145,120,187,NA,0.603305785123967,0.672176308539945,0.487603305785124,52.134375,65.16,1,0.051,0.007,0.001,0,0,0
"59",15,"East","Robert Morris","25-8","Horizon",3.5481339,NA,150,139,95,NA,0.589531680440771,0.619834710743802,0.741046831955923,48.0727272727273,69.88,1,0.042,0.005,0,0,0,0
