Seed,Region,Team,Conf,R64,R32,S16,E8,F4,F2,Champ,Alpha,Team (Seed),r32pick,s16pick,e8pick,f4pick,% Picked,champpick
13,East,Akron,MAC,✓,10.6,2.7,0.2,0,0,0,1,Akron(13),0.11,0.04,0.01,0.00,0.00,0.00
2,East,Alabama,SEC,✓,95.8,69.3,44.5,19.2,10.2,4.7,2,Alabama(2),0.96,0.84,0.61,0.18,0.08,0.03
16,South,Alabama St.,SWAC,✓,0.9,0,0,0,0,0,3,ALST/SFPA(16),0.01,0.01,0.00,0.00,0.00,0.00
16,East,American,Pat,54.8,0.6,0,0,0,0,0,6,AMER/MSM(16),0.01,0.01,0.00,0.00,0.00,0.00
4,East,Arizona,B12,✓,89.4,66.6,21.6,10.8,4.9,1.9,7,Arizona(4),0.88,0.57,0.09,0.04,0.02,0.01
10,West,Arkansas,SEC,✓,32.9,11.4,3.2,0.7,0.1,0,8,Arkansas(10),0.35,0.06,0.02,0.00,0.00,0.00
1,South,Auburn,SEC,✓,99.2,77.6,62.4,46.1,26,14.7,9,Auburn(1),0.98,0.88,0.74,0.52,0.24,0.11
9,East,Baylor,B12,✓,53.8,8.3,3.6,1.3,0.4,0.1,10,Baylor(9),0.61,0.03,0.01,0.01,0.00,0.00
15,South,Bryant,AE,✓,6.1,0.7,0.1,0,0,0,11,Bryant(15),0.03,0.01,0.01,0.00,0.00,0.00
6,East,BYU,B12,✓,62.7,32.4,14.2,4.7,1.9,0.7,12,BYU(6),0.65,0.25,0.08,0.01,0.00,0.00
5,Midwest,Clemson,ACC,✓,76.3,42,10.2,4.6,1.8,0.5,13,Clemson(5),0.84,0.51,0.10,0.04,0.01,0.00
12,West,Colorado St.,MWC,✓,63.4,22.1,5.3,1.6,0.4,0.1,14,Colorado St.(12),0.32,0.08,0.01,0.00,0.00,0.00
8,West,Connecticut,BE,✓,56.1,11.2,4.5,1.4,0.3,0.1,15,Connecticut(8),0.70,0.10,0.06,0.03,0.01,0.01
9,South,Creighton,BE,✓,36.9,6.3,2.9,1.1,0.3,0.1,16,Creighton(9),0.44,0.04,0.02,0.01,0.00,0.00
11,West,Drake,MVC,✓,24.6,5.5,1.5,0.3,0,0,17,Drake(11),0.41,0.12,0.02,0.00,0.00,0.00
1,East,Duke,ACC,✓,99.1,84.9,67.3,49.3,33.6,20.8,18,Duke(1),0.98,0.93,0.82,0.66,0.51,0.31
1,West,Florida,SEC,✓,97.8,81.4,59.3,40.3,21.4,11,19,Florida(1),0.97,0.87,0.77,0.58,0.39,0.21
9,Midwest,Georgia,SEC,✓,34.8,5.1,2.3,0.9,0.2,0.1,20,Georgia(9),0.27,0.05,0.02,0.01,0.01,0.00
8,Midwest,Gonzaga,WCC,✓,65.2,15.9,9.5,5,2.3,0.9,21,Gonzaga(8),0.72,0.13,0.07,0.03,0.01,0.01
13,West,Grand Canyon,WAC,✓,14,4.5,0.5,0.1,0,0,22,Grand Canyon(13),0.12,0.04,0.01,0.00,0.00,0.00
13,Midwest,High Point,BSth,✓,16.7,3.7,0.3,0.1,0,0,23,High Point(13),0.15,0.03,0.00,0.00,0.00,0.00
1,Midwest,Houston,B12,✓,98.8,78.9,65.5,50.7,36,22.9,24,Houston(1),0.97,0.80,0.68,0.46,0.17,0.09
6,Midwest,Illinois,B10,✓,64.3,33.7,14.2,3.9,1.4,0.4,25,Illinois(6),0.75,0.24,0.07,0.02,0.00,0.00
3,South,Iowa St.,B12,✓,89.7,62.1,37.2,15.8,6.2,2.4,26,Iowa St.(3),0.93,0.66,0.22,0.06,0.02,0.01
7,West,Kansas,B12,✓,67.1,34,14.7,5.5,1.7,0.5,27,Kansas(7),0.64,0.19,0.10,0.03,0.02,0.01
3,Midwest,Kentucky,SEC,✓,87.7,50.4,22.6,6.9,2.7,0.9,28,Kentucky(3),0.94,0.67,0.24,0.11,0.04,0.02
12,East,Liberty,CUSA,✓,41.2,10.9,1.4,0.3,0.1,0,29,Liberty(12),0.17,0.04,0.01,0.00,0.00,0.00
14,South,Lipscomb,ASun,✓,10.3,2.1,0.4,0,0,0,30,Lipscomb(14),0.06,0.02,0.00,0.00,0.00,0.00
8,South,Louisville,ACC,✓,63.1,16,9.3,4.6,1.5,0.5,31,Louisville(8),0.56,0.07,0.04,0.02,0.00,0.00
7,South,Marquette,BE,✓,57.4,22.4,9.1,2.5,0.6,0.1,32,Marquette(7),0.64,0.11,0.05,0.01,0.00,0.00
4,West,Maryland,B10,✓,86,64.3,26.4,13.9,5.2,1.9,33,Maryland(4),0.86,0.58,0.09,0.04,0.02,0.01
12,Midwest,McNeese St.,Slnd,✓,23.7,6.9,0.7,0.2,0,0,34,McNeese(12),0.15,0.05,0.01,0.00,0.00,0.00
5,West,Memphis,Amer,✓,36.6,9.1,1.4,0.3,0,0,35,Memphis(5),0.67,0.29,0.04,0.01,0.01,0.00
5,South,Michigan,B10,✓,61.5,31.3,7.9,3.2,0.8,0.2,37,Michigan(5),0.77,0.50,0.11,0.05,0.02,0.01
2,South,Michigan St.,B10,✓,93.9,62.9,34,13.8,4.8,1.7,36,Michigan St.(2),0.97,0.84,0.63,0.27,0.10,0.04
6,South,Mississippi,SEC,✓,51.4,19.6,8.5,2.4,0.7,0.1,39,Mississippi(6),0.65,0.20,0.06,0.01,0.01,0.00
8,East,Mississippi St.,SEC,✓,46.2,6.7,2.6,0.8,0.2,0.1,38,Mississippi St.(8),0.38,0.02,0.01,0.00,0.00,0.00
6,West,Missouri,SEC,✓,75.4,33.9,18.2,7.2,2.4,0.8,40,Missouri(6),0.58,0.18,0.05,0.01,0.00,0.00
14,East,Montana,BSky,✓,7.9,0.8,0.1,0,0,0,41,Montana(14),0.05,0.02,0.00,0.00,0.00,0.00
16,East,Mount St. Mary's,MAAC,45.2,0.4,0,0,0,0,0,5,AMER/MSM(16),0.01,0.01,0.00,0.00,0.00,0.00
15,West,Nebraska Omaha,Sum,✓,9.1,1.1,0.1,0,0,0,43,Nebraska Omaha(15),0.04,0.01,0.01,0.00,0.00,0.00
10,South,New Mexico,MWC,✓,42.6,13.9,4.7,1.1,0.2,0,44,New Mexico(10),0.35,0.04,0.01,0.00,0.00,0.00
16,West,Norfolk St.,MEAC,✓,2.2,0.2,0,0,0,0,45,Norfolk St.(16),0.02,0.01,0.00,0.00,0.00,0.00
11,South,North Carolina,ACC,✓,48.6,17.9,7.3,2.1,0.6,0.1,51,SDSU/UNC(11),0.34,0.11,0.02,0.01,0.00,0.00
9,West,Oklahoma,SEC,✓,43.9,7.1,2.5,0.6,0.1,0,46,Oklahoma(9),0.28,0.02,0.01,0.00,0.00,0.00
5,East,Oregon,B10,✓,58.8,19.8,3.3,1,0.3,0.1,47,Oregon(5),0.81,0.34,0.05,0.02,0.01,0.00
4,Midwest,Purdue,B10,✓,83.3,47.4,11.6,5.3,2.1,0.6,48,Purdue(4),0.84,0.40,0.09,0.03,0.01,0.00
