"","season","Metric","Value"
"1",2010,"Experience (years)",1.49
"2",2010,"Continuity (minutes)",53.1
"3",2011,"Experience (years)",1.54
"4",2011,"Continuity (minutes)",51.7
"5",2012,"Experience (years)",1.48
"6",2012,"Continuity (minutes)",49.7
"7",2013,"Experience (years)",1.5
"8",2013,"Continuity (minutes)",50.2
"9",2014,"Experience (years)",1.51
"10",2014,"Continuity (minutes)",52.4
"11",2015,"Experience (years)",1.49
"12",2015,"Continuity (minutes)",49.6
"13",2016,"Experience (years)",1.47
"14",2016,"Continuity (minutes)",48.8
"15",2017,"Experience (years)",1.49
"16",2017,"Continuity (minutes)",50.3
"17",2018,"Experience (years)",1.53
"18",2018,"Continuity (minutes)",48.9
"19",2019,"Experience (years)",1.49
"20",2019,"Continuity (minutes)",48
"21",2020,"Experience (years)",1.52
"22",2020,"Continuity (minutes)",47.4
"23",2021,"Experience (years)",1.56
"24",2021,"Continuity (minutes)",45.5
"25",2022,"Experience (years)",1.89
"26",2022,"Continuity (minutes)",48.5
"27",2023,"Experience (years)",1.9
"28",2023,"Continuity (minutes)",42.5
"29",2024,"Experience (years)",1.835
"30",2024,"Continuity (minutes)",38.1
"31",2025,"Experience (years)",1.74
"32",2025,"Continuity (minutes)",34
