Rk,Season,Year,W,G,W,L,winpct,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
,2025-26,2026,24,32,24,8,0.75,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-25,2025,23,37,23,14,0.622,7450,1059,2230,764,1401,295,829,574,775,362,995,1357,547,221,135,397,625,2987,0.475,0.545,0.356,0.741,0.575,0.541
2,2023-24,2024,29,37,29,8,0.784,7425,1046,2323,745,1484,301,839,639,842,452,1068,1520,536,214,151,373,611,3032,0.45,0.502,0.359,0.759,0.557,0.515
3,2022-23,2023,20,33,20,13,0.606,6725,866,1997,632,1246,234,751,548,739,369,935,1304,397,177,128,355,555,2514,0.434,0.507,0.312,0.742,0.535,0.492
4,2021-22,2022,29,39,29,10,0.744,7875,1076,2409,748,1492,328,917,558,730,447,1162,1609,582,202,153,455,564,3038,0.447,0.501,0.358,0.764,0.551,0.515
5,2020-21,2021,18,29,18,11,0.621,5800,801,1826,639,1317,162,509,417,624,454,788,1242,443,204,137,423,486,2181,0.439,0.485,0.318,0.668,0.514,0.483
6,2019-20,2020,14,33,14,19,0.424,6700,865,2058,684,1463,181,595,470,689,455,927,1382,472,183,116,426,550,2383,0.42,0.468,0.304,0.682,0.5,0.464
7,2018-19,2019,29,36,29,7,0.806,7225,1118,2410,806,1548,312,862,541,728,477,1112,1589,678,252,120,473,611,3089,0.464,0.521,0.362,0.743,0.56,0.529
8,2017-18,2018,26,37,26,11,0.703,7425,1105,2417,800,1568,305,849,503,677,511,1059,1570,674,213,151,445,587,3018,0.457,0.51,0.359,0.743,0.551,0.52
9,2016-17,2017,33,40,33,7,0.825,8025,1226,2633,943,1835,283,798,642,916,630,1118,1748,722,283,139,473,711,3377,0.466,0.514,0.355,0.701,0.55,0.519
10,2015-16,2016,33,40,33,7,0.825,8000,1235,2560,1011,1875,224,685,617,826,568,1056,1624,708,269,177,431,718,3311,0.482,0.539,0.327,0.747,0.561,0.526
11,2014-15,2015,26,38,26,12,0.684,7650,1099,2309,915,1795,184,514,571,814,526,1015,1541,661,251,160,481,738,2953,0.476,0.51,0.358,0.701,0.548,0.516
12,2013-14,2014,24,34,24,10,0.706,6851,953,2057,807,1623,146,434,552,882,483,867,1350,523,249,161,406,690,2604,0.463,0.497,0.336,0.626,0.526,0.499
13,2012-13,2013,25,36,25,11,0.694,7225,1023,2321,751,1598,272,723,442,655,478,776,1254,616,303,117,433,539,2762,0.441,0.47,0.376,0.675,0.525,0.499
14,2011-12,2012,32,38,32,6,0.842,7626,1134,2473,940,1893,194,580,629,922,570,1022,1592,659,259,219,447,551,3091,0.459,0.497,0.334,0.682,0.531,0.498
15,2010-11,2011,29,37,29,8,0.784,7424,1044,2317,854,1738,190,579,590,878,525,1053,1578,573,232,204,493,597,2868,0.451,0.491,0.328,0.672,0.524,0.492
16,2009-10,2010,20,37,20,17,0.541,7455,1012,2292,836,1756,176,536,558,854,556,996,1552,577,250,210,562,564,2758,0.442,0.476,0.328,0.653,0.511,0.48
17,2008-09,2009,34,38,34,4,0.895,7625,1205,2509,941,1827,264,682,739,983,556,1038,1594,685,325,196,472,608,3413,0.48,0.515,0.387,0.752,0.573,0.533
18,2007-08,2008,36,39,36,3,0.923,7900,1250,2564,1034,1984,216,580,738,975,605,1090,1695,656,318,174,560,658,3454,0.488,0.521,0.372,0.757,0.571,0.53
19,2006-07,2007,31,38,31,7,0.816,7650,1187,2379,972,1779,215,600,669,940,522,1029,1551,696,309,173,524,647,3258,0.499,0.546,0.358,0.712,0.577,0.544
20,2005-06,2006,23,31,23,8,0.742,6200,863,1809,648,1236,215,573,519,733,432,805,1237,552,242,127,512,531,2460,0.477,0.524,0.375,0.708,0.57,0.536
21,2004-05,2005,33,37,33,4,0.892,7400,1128,2260,851,1573,277,687,724,998,502,997,1499,706,362,142,594,662,3257,0.499,0.541,0.403,0.725,0.596,0.56
22,2003-04,2004,19,30,19,11,0.633,6125,877,1912,682,1358,195,554,515,749,460,729,1189,538,287,120,462,556,2464,0.459,0.502,0.352,0.688,0.543,0.51
23,2002-03,2003,19,35,19,16,0.543,7050,900,2062,610,1240,290,822,434,655,400,796,1196,555,293,163,522,604,2524,0.436,0.492,0.353,0.663,0.532,0.507
24,2001-02,2002,8,28,8,20,0.286,5600,707,1612,495,1006,212,606,396,574,305,661,966,476,167,100,461,509,2022,0.439,0.492,0.35,0.69,0.536,0.504
25,2000-01,2001,26,33,26,7,0.788,6600,945,1972,756,1453,189,519,532,794,411,952,1363,576,244,184,518,576,2611,0.479,0.52,0.364,0.67,0.556,0.527
26,1999-00,2000,22,36,22,14,0.611,7250,1014,2066,845,1574,169,492,518,740,436,958,1394,609,210,178,536,580,2715,0.491,0.537,0.343,0.7,0.562,0.532
27,1998-99,1999,24,34,24,10,0.706,6850,868,1841,693,1381,175,460,517,720,435,923,1358,541,192,134,530,505,2428,0.471,0.502,0.38,0.718,0.556,0.519
28,1997-98,1998,34,38,34,4,0.895,7750,1131,2184,946,1673,185,511,666,937,490,1022,1512,699,259,188,493,533,3113,0.518,0.565,0.362,0.711,0.592,0.56
29,1996-97,1997,28,35,28,7,0.8,7000,1018,2124,830,1618,188,506,485,713,528,927,1455,632,261,142,495,547,2709,0.479,0.513,0.372,0.68,0.55,0.524
30,1995-96,1996,21,32,21,11,0.656,6450,919,1869,684,1276,235,593,411,613,,,1243,559,172,110,429,471,2484,0.492,0.536,0.396,0.67,0.575,0.555
31,1994-95,1995,28,34,28,6,0.824,6900,1044,2055,778,1407,266,648,517,763,,,1290,576,211,177,437,476,2871,0.508,0.553,0.41,0.678,0.594,0.573
32,1993-94,1994,28,35,28,7,0.8,7050,1091,2188,947,1751,144,437,670,1008,,,1531,649,285,219,532,579,2996,0.499,0.541,0.33,0.665,0.562,0.532
33,1992-93,1993,34,38,34,4,0.895,7625,1219,2407,1051,1955,168,452,666,943,,,1561,698,357,145,581,602,3272,0.506,0.538,0.372,0.706,0.573,0.541
34,1991-92,1992,23,33,23,10,0.697,6600,1039,2080,895,1673,144,407,534,746,,,1264,616,283,142,538,598,2756,0.5,0.535,0.354,0.716,0.566,0.534
35,1990-91,1991,29,35,29,6,0.829,,1134,2257,942,1774,192,483,607,866,,,1455,699,315,148,566,574,3067,0.502,0.531,0.398,0.701,0.575,0.545
36,1989-90,1990,21,34,21,13,0.618,6825,1044,2098,849,1579,195,519,525,765,,,1281,594,309,114,584,607,2808,0.498,0.538,0.376,0.686,0.57,0.544
37,1988-89,1989,29,37,29,8,0.784,,1228,2328,1042,1850,186,478,689,950,,,1418,788,285,122,634,645,3331,0.527,0.563,0.389,0.725,0.599,0.567
38,1987-88,1988,27,34,27,7,0.794,,1013,1892,844,1499,169,393,596,820,,,1175,618,252,105,581,574,2791,0.535,0.563,0.43,0.727,0.612,0.58
39,1986-87,1987,32,36,32,4,0.889,,1238,2304,1025,1816,213,488,596,826,,,1329,782,319,103,567,662,3285,0.537,0.564,0.436,0.722,0.609,0.584
40,1985-86,1986,28,34,28,6,0.824,6850,1197,2140,1197,2140,,,551,747,,,1272,800,271,152,522,642,2945,0.559,0.559,,0.738,0.59,0.559
41,1984-85,1985,27,36,27,9,0.75,,1039,1925,1039,1925,,,569,748,,,1215,702,220,,556,604,2647,0.54,0.54,,0.761,0.58,0.54
42,1983-84,1984,28,31,28,3,0.903,,966,1779,966,1779,,,551,704,,,1073,605,,,,499,2483,0.543,0.543,,0.783,0.587,0.543
43,1982-83,1983,28,36,28,8,0.778,,1072,2082,940,1780,132,302,629,849,,,1268,597,248,,,673,2905,0.515,0.528,0.437,0.741,0.584,0.547
44,1981-82,1982,32,34,32,2,0.941,,895,1668,895,1668,,,477,689,,,999,583,239,,,471,2269,0.537,0.537,,0.692,0.569,0.537
45,1980-81,1981,29,37,29,8,0.784,,1028,1969,1028,1969,,,604,826,,,1264,545,272,,,636,2660,0.522,0.522,,0.731,0.563,0.522
46,1979-80,1980,21,29,21,8,0.724,,838,1603,838,1603,,,448,669,,,944,,,,,,2124,0.523,0.523,,0.67,0.553,0.523
47,1978-79,1979,23,29,23,6,0.793,,861,1614,861,1614,,,496,688,,,936,428,225,,,559,2218,0.533,0.533,,0.721,0.571,0.533
48,1977-78,1978,23,31,23,8,0.742,,1008,1895,1008,1895,,,497,756,,,1111,595,294,,,633,2513,0.532,0.532,,0.657,0.557,0.532
49,1976-77,1977,28,33,28,5,0.848,,1054,1961,1054,1961,,,651,873,,,1124,656,356,,,684,2759,0.537,0.537,,0.746,0.581,0.537
50,1975-76,1976,25,29,25,4,0.862,,966,1838,966,1838,,,537,715,,,1086,598,279,,,,2469,0.526,0.526,,0.751,0.567,0.526
51,1974-75,1975,23,31,23,8,0.742,,1037,1933,1037,1933,,,549,755,,,1200,658,,,,601,2623,0.536,0.536,,0.727,0.572,0.536
52,1973-74,1974,22,28,22,6,0.786,,1015,1952,1015,1952,,,407,577,,,1144,677,,,,574,2437,0.52,0.52,,0.705,0.547,0.52
53,1972-73,1973,25,33,25,8,0.758,,1150,2181,1150,2181,,,496,703,,,1405,855,,,,675,2796,0.527,0.527,,0.706,0.556,0.527
54,1971-72,1972,26,31,26,5,0.839,,1031,1954,1031,1954,,,700,942,,,1378,683,,,,641,2762,0.528,0.528,,0.743,0.575,0.528
55,1970-71,1971,26,32,26,6,0.813,,1010,1935,1010,1935,,,686,923,,,1382,586,,,,654,2706,0.522,0.522,,0.743,0.57,0.522
56,1969-70,1970,18,27,18,9,0.667,,931,1936,931,1936,,,537,747,,,1236,,,,,530,2399,0.481,0.481,,0.719,0.524,0.481
57,1968-69,1969,27,32,27,5,0.844,,1094,2228,1094,2228,,,656,912,,,1468,485,,,,584,2844,0.491,0.491,,0.719,0.534,0.491
58,1967-68,1968,28,32,28,4,0.875,,1028,2261,1028,2261,,,624,916,,,1511,,,,,570,2680,0.455,0.455,,0.681,0.497,0.455
59,1966-67,1967,26,32,26,6,0.813,,1016,2154,1016,2154,,,598,894,,,1505,,,,,598,2630,0.472,0.472,,0.669,0.51,0.472
60,1965-66,1966,16,27,16,11,0.593,,838,1620,838,1620,,,508,693,,,1007,,,,,458,2184,0.517,0.517,,0.733,0.56,0.517
61,1964-65,1965,15,24,15,9,0.625,,757,1600,757,1600,,,400,605,,,1092,,,,,438,1914,0.473,0.473,,0.661,0.507,0.473
62,1963-64,1964,12,24,12,12,0.5,,731,1625,731,1625,,,399,607,,,1171,,,,,477,1861,0.45,0.45,,0.657,0.486,0.45
63,1962-63,1963,15,21,15,6,0.714,,628,1368,628,1368,,,352,520,,,918,,,,,391,1608,0.459,0.459,,0.677,0.498,0.459
64,1961-62,1962,8,17,8,9,0.471,,450,959,450,959,,,330,495,,,708,,,,,374,1230,0.469,0.469,,0.667,0.515,0.469
65,1960-61,1961,19,23,19,4,0.826,,664,1497,664,1497,,,437,651,,,922,,,,,429,1765,0.444,0.444,,0.671,0.489,0.444
66,1959-60,1960,18,24,18,6,0.75,,606,1467,606,1467,,,542,715,,,1101,,,,,463,1754,0.413,0.413,,0.758,0.485,0.413
