Rk,Season,Conf,Year,wins,losses,winpct,W,L,W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2024-25,ACC,2025,35,4,0.897,19,1,0.95,30.7,10.24,83.2,62.8,7,1,,Lost NCAA Tournament National Semifinal,1,Jon Scheyer (35-4)
2,2023-24,ACC,2024,27,9,0.75,15,5,0.75,20.67,8.36,78.6,66.3,2,2,9,Lost NCAA Tournament Regional Final,4,Jon Scheyer (27-9)
3,2022-23,ACC,2023,27,9,0.75,14,6,0.7,15.83,7.44,72,63.6,7,7,12,Lost NCAA Tournament Second Round,5,Jon Scheyer (27-9)
4,2021-22,ACC,2022,32,7,0.821,16,4,0.8,19.55,7.26,80.1,67.8,9,1,9,Lost NCAA Tournament National Semifinal,2,Mike Krzyzewski (32-7)
5,2020-21,ACC,2021,13,11,0.542,9,9,0.5,13.04,8.33,76,71.3,9,6,,,,Mike Krzyzewski (13-11)
6,2019-20,ACC,2020,25,6,0.806,15,5,0.75,22.55,8,82.5,68,4,1,11,,,Mike Krzyzewski (25-6)
7,2018-19,ACC,2019,32,6,0.842,14,4,0.778,26.9,11.98,82.7,67.8,4,1,1,Lost NCAA Tournament Regional Final,1,Mike Krzyzewski (32-6)
8,2017-18,ACC,2018,29,8,0.784,13,5,0.722,24.43,9.7,84.4,69.6,1,1,9,Lost NCAA Tournament Regional Final,2,Mike Krzyzewski (29-8)
9,2016-17,ACC,2017,28,9,0.757,11,7,0.611,21.56,10.91,80.8,70.2,1,1,7,Lost NCAA Tournament Second Round,2,Mike Krzyzewski (28-9)
10,2015-16,ACC,2016,25,11,0.694,11,7,0.611,19.23,10.59,81.1,72.5,5,5,19,Lost NCAA Tournament Regional Semifinal,4,Mike Krzyzewski (25-11)
11,2014-15,ACC,2015,35,4,0.897,15,3,0.833,24.97,9.87,79.3,64.2,4,2,4,Won NCAA Tournament National Final,1,Mike Krzyzewski (35-4)
12,2013-14,ACC,2014,26,9,0.743,13,5,0.722,19.51,8.48,78.4,67.4,4,4,8,Lost NCAA Tournament Second Round,3,Mike Krzyzewski (26-9)
13,2012-13,ACC,2013,30,6,0.833,14,4,0.778,21.46,9.57,77.2,65.3,8,1,6,Lost NCAA Tournament Regional Final,2,Mike Krzyzewski (30-6)
14,2011-12,ACC,2012,27,7,0.794,13,3,0.813,17.05,8.4,77.3,68.6,6,3,8,Lost NCAA Tournament Second Round,2,Mike Krzyzewski (27-7)
15,2010-11,ACC,2011,32,5,0.865,13,3,0.813,24.51,8.32,80.9,64.7,1,1,3,Lost NCAA Tournament Regional Semifinal,1,Mike Krzyzewski (32-5)
16,2009-10,ACC,2010,35,5,0.875,13,3,0.813,25.21,9.21,77,61,9,3,3,Won NCAA Tournament National Final,1,Mike Krzyzewski (35-5)
17,2008-09,ACC,2009,30,7,0.811,11,5,0.688,20.1,9.07,77.5,65.9,8,1,6,Lost NCAA Tournament Regional Semifinal,2,Mike Krzyzewski (30-7)
18,2007-08,ACC,2008,28,6,0.824,13,3,0.813,21.52,9.28,83.2,69.4,13,2,9,Lost NCAA Tournament Second Round,2,Mike Krzyzewski (28-6)
19,2006-07,ACC,2007,22,11,0.667,8,8,0.5,18.85,10.49,70.4,62,12,5,,Lost NCAA Tournament First Round,6,Mike Krzyzewski (22-11)
20,2005-06,ACC,2006,32,4,0.889,14,2,0.875,21.77,8.77,81.1,68.1,1,1,1,Lost NCAA Tournament Regional Semifinal,1,Mike Krzyzewski (32-4)
21,2004-05,ACC,2005,27,6,0.818,11,5,0.688,23.01,10.05,78.2,65.2,11,2,3,Lost NCAA Tournament Regional Semifinal,1,Mike Krzyzewski (27-6)
22,2003-04,ACC,2004,31,6,0.838,13,3,0.813,25.67,10.86,79.8,65,2,1,6,Lost NCAA Tournament National Semifinal,1,Mike Krzyzewski (31-6)
23,2002-03,ACC,2003,26,7,0.788,11,5,0.688,19.86,8.37,81.1,69.6,6,1,7,Lost NCAA Tournament Regional Semifinal,3,Mike Krzyzewski (26-7)
24,2001-02,ACC,2002,31,4,0.886,13,3,0.813,28.91,9.16,88.9,69.2,1,1,1,Lost NCAA Tournament Regional Semifinal,1,Mike Krzyzewski (31-4)
25,2000-01,ACC,2001,35,4,0.897,13,3,0.813,32.18,11.98,90.7,70.5,2,1,1,Won NCAA Tournament National Final,1,Mike Krzyzewski (35-4)
26,1999-00,ACC,2000,29,5,0.853,15,1,0.938,25.55,8.88,88,71.3,10,1,1,Lost NCAA Tournament Regional Semifinal,1,Mike Krzyzewski (29-5)
27,1998-99,ACC,1999,37,2,0.949,16,0,1,34.79,10.12,91.8,67.2,1,1,1,Lost NCAA Tournament National Final,1,Mike Krzyzewski (37-2)
28,1997-98,ACC,1998,32,4,0.889,15,1,0.938,29.55,9.32,85.6,64.1,3,1,3,Lost NCAA Tournament Regional Final,1,Mike Krzyzewski (32-4)
29,1996-97,ACC,1997,24,9,0.727,12,4,0.75,22.52,9.06,79.7,66.2,10,6,8,Lost NCAA Tournament Second Round,2,Mike Krzyzewski (24-9)
30,1995-96,ACC,1996,18,13,0.581,8,8,0.5,16.06,10.48,75.4,69.8,,12,,Lost NCAA Tournament First Round,8,Mike Krzyzewski (18-13)
31,1994-95,ACC,1995,13,18,0.419,2,14,0.125,16.35,11.82,77.7,73.7,8,6,,,,"Mike Krzyzewski (9-3), Pete Gaudet (4-15)"
32,1993-94,ACC,1994,28,6,0.824,12,4,0.75,19.29,9,77.6,67.3,4,1,6,Lost NCAA Tournament National Final,2,Mike Krzyzewski (28-6)
33,1992-93,ACC,1993,24,8,0.75,10,6,0.625,25.98,10.76,86.4,71.2,3,1,10,Lost NCAA Tournament Second Round,3,Mike Krzyzewski (24-8)
