"","ID","Date","Home","Away","Half_Status","Time","Game_Time","Game_Seconds","Home_Score","Away_Score","Event_Team","Event_Description","Player_1","Player_2","Event_Type","Event_Result","Shot_Value","Event_Length","Poss_Num","Poss_Team","Poss_Length","isTransition","Home.1","Home.2","Home.3","Home.4","Home.5","Away.1","Away.2","Away.3","Away.4","Away.5","Status","isGarbageTime","Sub_Deviate"
"1","6366843","04/07/2025","Houston","Florida",1,"19:58","00:02",2,0,0,"Houston","Joseph Tugler, jumpball won","JOSEPH.TUGLER",NA,"won Jumpball",NA,NA,2,1,"Houston",2,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"2","6366843","04/07/2025","Houston","Florida",1,"19:58","00:02",2,0,0,"Florida","Rueben Chinyelu, jumpball lost","RUEBEN.CHINYELU",NA,"lost Jumpball",NA,NA,0,1,"Houston",2,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"3","6366843","04/07/2025","Houston","Florida",1,"19:41","00:19",19,0,0,"Houston","J'Wan Roberts, 2pt turnaroundjumpshot   missed","JWAN.ROBERTS",NA,"Two Point Jumper","missed",2,17,1,"Houston",19,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"4","6366843","04/07/2025","Houston","Florida",1,"19:40","00:20",20,0,0,"Florida","Alex Condon, rebound defensive","ALEX.CONDON",NA,"Defensive Rebound",NA,NA,1,1,"Houston",20,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"5","6366843","04/07/2025","Houston","Florida",1,"19:28","00:32",32,0,0,"Florida","Walter Clayton Jr., 3pt jumpshot   missed","WALTER.CLAYTON",NA,"Three Point Jumper","missed",3,12,2,"Florida",12,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"6","6366843","04/07/2025","Houston","Florida",1,"19:25","00:35",35,0,0,"Houston","LJ Cryer, rebound defensive","LJ.CRYER",NA,"Defensive Rebound",NA,NA,3,2,"Florida",15,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"7","6366843","04/07/2025","Houston","Florida",1,"19:09","00:51",51,2,0,"Houston","Joseph Tugler, 2pt hookshot pointsinthepaint;  made","JOSEPH.TUGLER",NA,"Hook","made",2,16,3,"Houston",16,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"8","6366843","04/07/2025","Houston","Florida",1,"18:47","01:13",73,2,0,"Florida","Alijah Martin, 3pt jumpshot   missed","ALIJAH.MARTIN",NA,"Three Point Jumper","missed",3,22,4,"Florida",22,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"9","6366843","04/07/2025","Houston","Florida",1,"18:43","01:17",77,2,0,"Houston","Milos Uzan, rebound defensive","MILOS.UZAN",NA,"Defensive Rebound",NA,NA,4,4,"Florida",26,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
"10","6366843","04/07/2025","Houston","Florida",1,"18:24","01:36",96,2,0,"Houston","Emanuel Sharp, 3pt jumpshot   missed","EMANUEL.SHARP",NA,"Three Point Jumper","missed",3,19,5,"Houston",19,FALSE,"JOSEPH.TUGLER","EMANUEL.SHARP","JWAN.ROBERTS","LJ.CRYER","MILOS.UZAN","RUEBEN.CHINYELU","ALEX.CONDON","WILL.RICHARD","ALIJAH.MARTIN","WALTER.CLAYTON","CLEAN",FALSE,2
