Rk,Season,Year,Conf,wins,losses,winpct,W,L,W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2024-25,2025,ACC,12,19,0.387,5,15,0.25,5.54,6.34,69.6,70.4,,,,,,Kevin Keatts (12-19)
2,2023-24,2024,ACC,26,15,0.634,9,11,0.45,12.81,8.93,75.6,71.8,,10,10,Lost NCAA Tournament National Semifinal,11,Kevin Keatts (26-15)
3,2022-23,2023,ACC,23,11,0.676,12,8,0.6,12.5,5.58,77.7,70.8,,22,,Lost NCAA Tournament First Round,11,Kevin Keatts (23-11)
4,2021-22,2022,ACC,11,21,0.344,4,16,0.2,3.77,6.37,73,75.6,,,,,,Kevin Keatts (11-21)
5,2020-21,2021,ACC,14,11,0.56,9,8,0.529,9.6,6.48,72.8,69.7,,,,,,Kevin Keatts (14-11)
6,2019-20,2020,ACC,20,12,0.625,10,10,0.5,12.05,7.14,74.6,69.7,,,,,,Kevin Keatts (20-12)
7,2018-19,2019,ACC,24,12,0.667,9,9,0.5,14.94,6.22,80.1,71.3,,15,,,,Kevin Keatts (24-12)
8,2017-18,2018,ACC,21,12,0.636,11,7,0.611,12.91,6.7,81.3,75.1,,,,Lost NCAA Tournament First Round,9,Kevin Keatts (21-12)
9,2016-17,2017,ACC,15,17,0.469,4,14,0.222,6.09,8.09,77.6,79.6,,,,,,Mark Gottfried (15-17)
10,2015-16,2016,ACC,16,17,0.485,5,13,0.278,9.83,9.04,75.2,74.4,,,,,,Mark Gottfried (16-17)
11,2014-15,2015,ACC,22,14,0.611,10,8,0.556,14.11,9.72,70.1,65.8,,,,Lost NCAA Tournament Regional Semifinal,8,Mark Gottfried (22-14)
12,2013-14,2014,ACC,22,14,0.611,9,9,0.5,9.02,7.44,71.1,69.6,,,,Lost NCAA Tournament Second Round,12,Mark Gottfried (22-14)
13,2012-13,2013,ACC,24,11,0.686,11,7,0.611,14.34,7.19,77.4,70.2,6,6,,Lost NCAA Tournament Second Round,8,Mark Gottfried (24-11)
14,2011-12,2012,ACC,24,13,0.649,9,7,0.563,12.1,6.8,72.9,67.6,,,,Lost NCAA Tournament Regional Semifinal,11,Mark Gottfried (24-13)
15,2010-11,2011,ACC,15,16,0.484,5,11,0.313,7.02,6.8,70.7,70.5,,,,,,Sidney Lowe (15-16)
16,2009-10,2010,ACC,20,16,0.556,5,11,0.313,8.47,7.3,66.6,64.5,,,,,,Sidney Lowe (20-16)
17,2008-09,2009,ACC,16,14,0.533,6,10,0.375,8.38,6.74,73,69.6,,,,,,Sidney Lowe (16-14)
18,2007-08,2008,ACC,15,16,0.484,4,12,0.25,5.41,9.06,67.3,69.7,21,21,,,,Sidney Lowe (15-16)
19,2006-07,2007,ACC,20,16,0.556,5,11,0.313,8.53,8.36,71.7,71.5,,,,,,Sidney Lowe (20-16)
20,2005-06,2006,ACC,22,10,0.688,10,6,0.625,12.7,5.63,74.5,67.4,,13,,Lost NCAA Tournament Second Round,10,Herb Sendek (22-10)
21,2004-05,2005,ACC,21,14,0.6,7,9,0.438,16.15,9.15,73.1,66.1,19,12,,Lost NCAA Tournament Regional Semifinal,10,Herb Sendek (21-14)
22,2003-04,2004,ACC,21,10,0.677,11,5,0.688,18.45,10.61,72.9,65.1,24,13,15,Lost NCAA Tournament Second Round,3,Herb Sendek (21-10)
