team,conference,rank,value
Georgia,SEC,1,0.62522
Auburn,SEC,2,0.62376
Vanderbilt,SEC,3,0.62291
Texas,SEC,4,0.62159
Arkansas,SEC,5,0.6194
Oregon St.,DI Independent,6,0.61284
North Carolina,ACC,7,0.60689
LSU,SEC,8,0.60554
Alabama,SEC,9,0.60474
Clemson,ACC,10,0.60324
Coastal Carolina,Sun Belt,11,0.60187
Oregon,Big Ten,12,0.60048
Florida,SEC,13,0.60042
Florida St.,ACC,14,0.59979
UCLA,Big Ten,15,0.5982
Tennessee,SEC,16,0.598
TCU,Big 12,17,0.59375
Ole Miss,SEC,18,0.59346
DBU,CUSA,19,0.59293
Georgia Tech,ACC,20,0.5902
Southern Miss.,Sun Belt,21,0.58768
UTSA,The American,22,0.58717
Kansas,Big 12,23,0.58571
UC Irvine,Big West,24,0.58435
Northeastern,CAA,25,0.58149
Wake Forest,ACC,26,0.58136
Oklahoma,SEC,27,0.57895
West Virginia,Big 12,28,0.5765
Louisville,ACC,29,0.57534
Mississippi St.,SEC,30,0.57368
Duke,ACC,31,0.57201
Miami (FL),ACC,32,0.57179
Kansas St.,Big 12,33,0.5714
NC State,ACC,34,0.57137
Cincinnati,Big 12,35,0.57102
Kentucky,SEC,36,0.5696
Arizona,Big 12,37,0.56855
Xavier,Big East,38,0.56685
UConn,Big East,39,0.56679
Notre Dame,ACC,40,0.56589
Southern California,Big Ten,41,0.56547
Cal Poly,Big West,42,0.56442
Troy,Sun Belt,43,0.56429
UTRGV,Southland,44,0.56277
Oklahoma St.,Big 12,45,0.56237
Arizona St.,Big 12,46,0.56207
ETSU,SoCon,47,0.56134
Western Ky.,CUSA,48,0.56011
Stanford,ACC,49,0.55884
Creighton,Big East,50,0.55383
Virginia Tech,ACC,51,0.55273
Pittsburgh,ACC,52,0.5523
Kennesaw St.,CUSA,53,0.55142
Texas A&M,SEC,54,0.55117
Virginia,ACC,55,0.55068
Fla. Atlantic,The American,56,0.54987
Southeastern La.,Southland,57,0.54961
Charlotte,The American,58,0.54956
BYU,Big 12,59,0.54744
Hawaii,Big West,60,0.5473
Michigan,Big Ten,61,0.5453
Indiana,Big Ten,62,0.54511
Lamar University,Southland,63,0.54459
Nebraska,Big Ten,64,0.54427
UC Santa Barbara,Big West,65,0.54315
UCF,Big 12,66,0.54299
Washington,Big Ten,67,0.54287
Baylor,Big 12,68,0.5425
Mercer,SoCon,69,0.54247
Columbia(AQ),Ivy League,70,0.54139
Stetson,ASUN,71,0.54131
South Carolina,SEC,72,0.54069
Iowa,Big Ten,73,0.53902
Jacksonville St.,CUSA,73,0.53902
Boston College,ACC,75,0.53757
Rhode Island,Atlantic 10,76,0.53742
South Fla.,The American,77,0.53574
McNeese,Southland,78,0.53522
Northwestern St.,Southland,79,0.53443
