"","year","team","player","pick","round","college_games"
"1",2024,"Duke","Jared McCain",16,1,36
"2",2023,"Duke","Dereck Lively II",12,1,34
"3",2023,"Duke","Dariq Whitehead",22,1,28
"4",2022,"Duke","Paolo Banchero",1,1,39
"5",2022,"Duke","AJ Griffin",16,1,39
"6",2022,"Duke","Wendell Moore Jr.",26,1,88
"7",2022,"Duke","Mark Williams",15,1,62
"8",2021,"UNC","Day'Ron Sharpe",29,1,29
"9",2021,"Duke","Jalen Johnson",20,1,13
"10",2020,"UNC","Cole Anthony",15,1,22
"11",2019,"UNC","Cameron Johnson",11,1,62
"12",2019,"UNC","Nassir Little",25,1,36
"13",2019,"UNC","Coby White",7,1,35
"14",2019,"Duke","RJ Barrett",3,1,38
"15",2019,"Duke","Cam Reddish",10,1,36
"16",2019,"Duke","Zion Williamson",1,1,33
"17",2018,"Duke","Grayson Allen",21,1,142
"18",2018,"Duke","Marvin Bagley III",2,1,33
"19",2018,"Duke","Wendell Carter Jr.",7,1,37
"20",2017,"UNC","Tony Bradley",28,1,38
"21",2017,"UNC","Justin Jackson",15,1,118
"22",2017,"Duke","Harry Giles",20,1,26
"23",2017,"Duke","Luke Kennard",12,1,73
"24",2017,"Duke","Jayson Tatum",3,1,29
"25",2016,"UNC","Brice Johnson",25,1,148
"26",2016,"Duke","Brandon Ingram",2,1,36
"27",2015,"Duke","Tyus Jones",24,1,39
"28",2015,"Duke","Jahlil Okafor",3,1,38
"29",2015,"Duke","Justise Winslow",10,1,39
"30",2014,"UNC","P.J. Hairston",26,1,71
"31",2014,"Duke","Rodney Hood",23,1,67
"32",2014,"Duke","Jabari Parker",2,1,35
"33",2013,"UNC","Reggie Bullock",25,1,100
"34",2013,"Duke","Mason Plumlee",22,1,141
"35",2012,"UNC","Harrison Barnes",7,1,75
"36",2012,"UNC","John Henson",14,1,109
"37",2012,"UNC","Kendall Marshall",13,1,73
"38",2012,"UNC","Tyler Zeller",17,1,117
"39",2012,"Duke","Miles Plumlee",26,1,135
"40",2012,"Duke","Austin Rivers",10,1,34
"41",2011,"Duke","Kyrie Irving",1,1,11
"42",2011,"Duke","Nolan Smith",21,1,143
"43",2010,"UNC","Ed Davis",13,1,61
"44",2009,"UNC","Wayne Ellington",28,1,115
"45",2009,"UNC","Tyler Hansbrough",13,1,142
"46",2009,"UNC","Ty Lawson",18,1,105
"47",2009,"Duke","Gerald Henderson",12,1,103
"48",2007,"UNC","Brandan Wright",8,1,37
"49",2006,"Duke","JJ Redick",11,1,139
"50",2006,"Duke","Shelden Williams",5,1,139
"51",2005,"UNC","Raymond Felton",5,1,101
"52",2005,"UNC","Sean May",13,1,77
"53",2005,"UNC","Rashad McCants",14,1,98
"54",2005,"UNC","Marvin Williams",2,1,36
"55",2004,"Duke","Luol Deng",7,1,37
