Rk,Player,Yrs,From▼,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,Date,City
1,Rob Dillingham,1,2025,2025,49,516,93,211,25,74,8,15,12,50,98,20,1,53,37,219,0.441,0.338,0.533,10.5,4.5,1,2,0.4,0,4-Jan-05,Hickory
2,Jaylen Sims,1,2025,2025,6,112,12,28,6,15,12,15,3,6,12,3,1,8,10,42,0.429,0.4,0.8,18.7,7,1,2,0.5,0.2,11-Dec-98,Charlotte
3,Leaky Black,1,2024,2024,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,0.481,0.45,0.667,10.9,2.7,1.8,0.9,0.3,0.4,14-Jun-99,Concord
4,D.J. Carton,2,2024,2025,8,69,4,15,1,7,5,6,2,8,6,3,0,5,4,14,0.267,0.143,0.833,8.6,1.8,1,0.8,0.4,0,5-Aug-00,Pineville
5,Ricky Council IV,2,2024,2025,105,1539,231,575,67,245,176,224,65,260,113,40,14,57,84,705,0.402,0.273,0.786,14.7,6.7,2.5,1.1,0.4,0.1,3-Aug-01,Durham
6,Terquavion Smith,1,2024,2024,16,84,18,46,13,35,3,5,0,4,12,8,0,7,8,52,0.391,0.371,0.6,5.3,3.3,0.3,0.8,0.5,0,31-Dec-02,Greenville
7,Hunter Tyson,2,2024,2025,69,448,53,140,27,88,21,28,26,87,22,11,6,16,54,154,0.379,0.307,0.75,6.5,2.2,1.3,0.3,0.2,0.1,13-Jun-00,Monroe
8,Jay Huff,4,2022,2025,95,912,181,348,90,223,61,74,39,165,51,22,64,41,103,513,0.52,0.404,0.824,9.6,5.4,1.7,0.5,0.2,0.7,25-Aug-98,Durham
9,Braxton Key,4,2022,2025,37,277,41,94,8,27,18,29,17,71,20,14,12,13,31,108,0.436,0.296,0.621,7.5,2.9,1.9,0.5,0.4,0.3,14-Feb-97,Charlotte
10,Trey Murphy III,4,2022,2025,251,6856,1152,2537,600,1566,544,622,195,976,462,219,117,214,397,3448,0.454,0.383,0.875,27.3,13.7,3.9,1.8,0.9,0.5,18-Jun-00,Durham
11,Day'Ron Sharpe,4,2022,2025,191,2771,512,931,23,78,190,293,490,1079,230,90,133,205,393,1237,0.55,0.295,0.648,14.5,6.5,5.6,1.2,0.5,0.7,6-Nov-01,Greenville
12,Jaden Springer,4,2022,2025,110,967,112,274,24,101,68,88,57,152,85,67,24,54,123,316,0.409,0.238,0.773,8.8,2.9,1.4,0.8,0.6,0.2,25-Sep-02,Charlotte
13,Aaron Wiggins,4,2022,2025,274,5478,909,1805,282,725,251,316,260,869,368,185,62,234,395,2351,0.504,0.389,0.794,20,8.6,3.2,1.3,0.7,0.2,2-Jan-99,Greensboro
14,Moses Wright,1,2022,2022,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,0.25,0,1,3.5,1.3,0.8,0.5,0,0.3,23-Dec-98,Raleigh
15,Ty-Shon Alexander,1,2021,2021,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,0.25,0.222,0.5,3.1,0.6,0.7,0.4,0,0.1,16-Jul-98,Charlotte
16,Saddiq Bey,4,2021,2024,292,8804,1372,3360,650,1846,709,842,415,1532,538,246,54,281,449,4103,0.408,0.352,0.842,30.2,14.1,5.2,1.8,0.8,0.2,9-Apr-99,Charlotte
17,Anthony Gill,5,2021,2025,230,2168,281,549,45,151,166,221,141,395,122,44,40,74,233,773,0.512,0.298,0.751,9.4,3.4,1.7,0.5,0.2,0.2,17-Oct-92,High Point
18,Josh Hall,1,2021,2021,21,336,30,99,4,37,22,44,6,59,28,4,1,25,37,86,0.303,0.108,0.5,16,4.1,2.8,1.3,0.2,0,8-Oct-00,Greenville
19,Nate Hinton,3,2021,2024,38,170,26,69,11,33,11,15,8,31,18,10,4,9,19,74,0.377,0.333,0.733,4.5,1.9,0.8,0.5,0.3,0.1,8-Jun-99,Gastonia
20,Patrick Williams,5,2021,2025,276,7478,987,2182,339,864,323,420,250,1126,404,233,190,358,476,2636,0.452,0.392,0.769,27.1,9.6,4.1,1.5,0.8,0.7,26-Aug-01,Charlotte
21,Ky Bowman,1,2020,2020,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,0.417,0.308,0.829,22.6,7.4,2.7,2.9,1,0.2,16-Jun-97,Havelock
22,Chris Clemons,1,2020,2020,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,0.401,0.346,0.909,8.8,4.9,0.9,0.8,0.3,0.2,23-Jul-97,Raleigh
23,Caleb Martin,6,2020,2025,311,7558,965,2161,317,888,358,488,326,1211,509,271,132,311,556,2605,0.447,0.357,0.734,24.3,8.4,3.9,1.6,0.9,0.4,28-Sep-95,Winston-Salem
24,Cody Martin,6,2020,2025,259,5678,608,1394,168,545,209,316,252,961,580,256,104,242,402,1593,0.436,0.308,0.661,21.9,6.2,3.7,2.2,1,0.4,28-Sep-95,Winston-Salem
25,Rayjon Tucker,3,2020,2022,39,300,35,70,9,29,38,49,7,39,21,7,1,13,23,117,0.5,0.31,0.776,7.7,3,1,0.5,0.2,0,24-Sep-97,Charlotte
26,Coby White,6,2020,2025,422,12566,2278,5262,985,2667,864,999,158,1539,1618,292,72,752,895,6405,0.433,0.369,0.865,29.8,15.2,3.6,3.8,0.7,0.2,16-Feb-00,Goldsboro
27,Zion Williamson,5,2020,2025,214,6714,2041,3468,32,98,1165,1690,487,1415,920,219,138,608,483,5279,0.589,0.327,0.689,31.4,24.7,6.6,4.3,1,0.6,6-Jul-00,Salisbury
28,Gary Clark,4,2019,2022,170,2240,177,504,139,427,31,37,117,431,84,52,62,44,148,524,0.351,0.326,0.838,13.2,3.1,2.5,0.5,0.3,0.4,16-Nov-94,Smithfield
29,Jacob Evans,2,2019,2020,59,622,63,187,17,54,25,30,15,66,54,16,15,36,69,168,0.337,0.315,0.833,10.5,2.8,1.1,0.9,0.3,0.3,18-Jun-97,Jacksonville
30,Harry Giles,4,2019,2024,165,1935,379,746,11,45,119,180,152,573,180,63,56,143,338,888,0.508,0.244,0.661,11.7,5.4,3.5,1.1,0.4,0.3,22-Apr-98,Winston-Salem
31,Devonte' Graham,6,2019,2024,336,8359,1189,3202,767,2167,588,724,135,758,1448,258,53,470,428,3733,0.371,0.354,0.812,24.9,11.1,2.3,4.3,0.8,0.2,22-Feb-95,Raleigh
32,George King,2,2019,2022,5,25,0,5,0,4,1,2,0,6,0,0,0,1,4,1,0,0,0.5,5,0.2,1.2,0,0,0,15-Jan-94,Fayetteville
33,Theo Pinson,5,2019,2023,127,1081,116,363,59,226,55,61,26,179,141,34,7,69,100,346,0.32,0.261,0.902,8.5,2.7,1.4,1.1,0.3,0.1,5-Nov-95,Greensboro
