"","id","season","week","seasonType","startDate","gameDate","teamId","team","conference","opponentId","opponent","opponentClassification","opponentConference","homeAway","conferenceGame","neutralSite","isTraveling","opponentSpRating","opponentSpRanking","opponentSpPercentile","milesTraveled","daysRest"
"1",401760359,2025,1,"regular","2025-08-30T19:30:00.000Z",2025-08-30,2005,"Air Force","Mountain West",2083,"Bucknell","fcs","Patriot","home",FALSE,FALSE,FALSE,NA,NA,NA,0,0
"2",401760368,2025,3,"regular","2025-09-14T01:45:00.000Z",2025-09-13,2005,"Air Force","Mountain West",328,"Utah State","fbs","Mountain West","away",TRUE,FALSE,TRUE,-14.8,117,0.125,413.500578204883,13
"3",401760372,2025,4,"regular","2025-09-20T23:00:00.000Z",2025-09-20,2005,"Air Force","Mountain West",68,"Boise State","fbs","Mountain West","home",TRUE,FALSE,FALSE,9.2,33,0.764705882352941,0,6
"4",401760378,2025,5,"regular","2025-09-27T04:00:00.000Z",2025-09-27,2005,"Air Force","Mountain West",62,"Hawai'i","fbs","Mountain West","home",TRUE,FALSE,FALSE,-11.5,108,0.205882352941176,0,6
"5",401760381,2025,6,"regular","2025-10-04T16:00:00.000Z",2025-10-04,2005,"Air Force","Mountain West",2426,"Navy","fbs","American Athletic","away",FALSE,FALSE,TRUE,-1,68,0.5,1517.18862993624,6
"6",401760386,2025,7,"regular","2025-10-11T19:30:00.000Z",2025-10-11,2005,"Air Force","Mountain West",2439,"UNLV","fbs","Mountain West","away",TRUE,FALSE,TRUE,-3.3,75,0.448529411764706,597.40903012153,6
"7",401760392,2025,8,"regular","2025-10-18T19:30:00.000Z",2025-10-18,2005,"Air Force","Mountain West",2751,"Wyoming","fbs","Mountain West","home",TRUE,FALSE,FALSE,-10.8,105,0.227941176470588,0,6
"8",401760401,2025,10,"regular","2025-11-01T16:00:00.000Z",2025-11-01,2005,"Air Force","Mountain West",349,"Army","fbs","American Athletic","home",FALSE,FALSE,FALSE,-0.6,67,0.507352941176471,0,13
"9",401760406,2025,11,"regular","2025-11-08T05:00:00.000Z",2025-11-08,2005,"Air Force","Mountain West",23,"San José State","fbs","Mountain West","away",TRUE,FALSE,TRUE,-5.2,83,0.389705882352941,931.811450780414,6
"10",401757174,2025,12,"regular","2025-11-15T17:00:00.000Z",2025-11-15,2005,"Air Force","Mountain West",41,"UConn","fbs","FBS Independents","away",FALSE,FALSE,TRUE,-5.4,84,0.382352941176471,1698.73448094014,6
"11",401760415,2025,13,"regular","2025-11-23T00:00:00.000Z",2025-11-22,2005,"Air Force","Mountain West",167,"New Mexico","fbs","Mountain West","home",TRUE,FALSE,FALSE,-18.4,130,0.0441176470588235,0,6
"12",401760421,2025,14,"regular","2025-11-28T05:00:00.000Z",2025-11-28,2005,"Air Force","Mountain West",36,"Colorado State","fbs","Mountain West","away",TRUE,FALSE,TRUE,-8.3,97,0.286764705882353,109.583908607378,5
"13",401762789,2025,1,"regular","2025-08-28T23:00:00.000Z",2025-08-28,2006,"Akron","Mid-American",2751,"Wyoming","fbs","Mountain West","home",FALSE,FALSE,FALSE,-10.8,105,0.227941176470588,0,0
"14",401752810,2025,2,"regular","2025-09-06T23:30:00.000Z",2025-09-06,2006,"Akron","Mid-American",158,"Nebraska","fbs","Big Ten","away",FALSE,FALSE,TRUE,8.9,34,0.75735294117647,793.182439583868,8
"15",401762463,2025,3,"regular","2025-09-14T00:30:00.000Z",2025-09-13,2006,"Akron","Mid-American",5,"UAB","fbs","American Athletic","away",FALSE,FALSE,TRUE,-13.8,112,0.176470588235294,597.806162709799,6
"16",401762821,2025,4,"regular","2025-09-20T04:00:00.000Z",2025-09-20,2006,"Akron","Mid-American",2184,"Duquesne","fcs","NEC","home",FALSE,FALSE,FALSE,NA,NA,NA,0,6
"17",401762824,2025,5,"regular","2025-09-27T04:00:00.000Z",2025-09-27,2006,"Akron","Mid-American",2649,"Toledo","fbs","Mid-American","away",TRUE,FALSE,TRUE,-1.4,71,0.470588235294118,116.534626404151,6
"18",401762829,2025,6,"regular","2025-10-04T04:00:00.000Z",2025-10-04,2006,"Akron","Mid-American",2117,"Central Michigan","fbs","Mid-American","home",TRUE,FALSE,FALSE,-14.8,117,0.125,0,6
"19",401762833,2025,7,"regular","2025-10-11T04:00:00.000Z",2025-10-11,2006,"Akron","Mid-American",193,"Miami (OH)","fbs","Mid-American","home",TRUE,FALSE,FALSE,-7.6,96,0.294117647058824,0,6
"20",401762838,2025,8,"regular","2025-10-18T04:00:00.000Z",2025-10-18,2006,"Akron","Mid-American",2050,"Ball State","fbs","Mid-American","away",TRUE,FALSE,TRUE,-21.2,134,0.0147058823529412,213.463122264503,6
"21",401762844,2025,9,"regular","2025-10-25T04:00:00.000Z",2025-10-25,2006,"Akron","Mid-American",2084,"Buffalo","fbs","Mid-American","away",TRUE,FALSE,TRUE,-7.1,91,0.330882352941176,193.478509141373,6
"22",401762851,2025,11,"regular","2025-11-04T05:00:00.000Z",2025-11-04,2006,"Akron","Mid-American",113,"Massachusetts","fbs","Mid-American","home",FALSE,FALSE,FALSE,-23.9,135,0.00735294117647059,0,9
"23",401762856,2025,12,"regular","2025-11-12T00:30:00.000Z",2025-11-11,2006,"Akron","Mid-American",2309,"Kent State","fbs","Mid-American","home",TRUE,FALSE,FALSE,-24.9,136,0,0,6
"24",401762862,2025,13,"regular","2025-11-18T05:00:00.000Z",2025-11-18,2006,"Akron","Mid-American",189,"Bowling Green","fbs","Mid-American","away",TRUE,FALSE,TRUE,-13.7,111,0.183823529411765,111.996977764401,6
"25",401752665,2025,1,"regular","2025-08-30T19:30:00.000Z",2025-08-30,333,"Alabama","SEC",52,"Florida State","fbs","ACC","away",FALSE,FALSE,TRUE,7.2,36,0.735294117647059,270.355003835311,0
"26",401752681,2025,2,"regular","2025-09-06T23:45:00.000Z",2025-09-06,333,"Alabama","SEC",2433,"UL Monroe","fbs","Sun Belt","home",FALSE,FALSE,FALSE,-14.6,116,0.147058823529412,0,6
"27",401752696,2025,3,"regular","2025-09-13T16:00:00.000Z",2025-09-13,333,"Alabama","SEC",275,"Wisconsin","fbs","Big Ten","home",FALSE,FALSE,FALSE,7.2,36,0.735294117647059,0,6
"28",401752718,2025,5,"regular","2025-09-27T23:30:00.000Z",2025-09-27,333,"Alabama","SEC",61,"Georgia","fbs","SEC","away",TRUE,FALSE,TRUE,26.9,4,0.977941176470588,246.095803044493,13
"29",401752726,2025,6,"regular","2025-10-04T04:00:00.000Z",2025-10-04,333,"Alabama","SEC",238,"Vanderbilt","fbs","SEC","home",TRUE,FALSE,FALSE,1.7,55,0.602941176470588,0,6
"30",401752734,2025,7,"regular","2025-10-11T16:00:00.000Z",2025-10-11,333,"Alabama","SEC",142,"Missouri","fbs","SEC","away",TRUE,FALSE,TRUE,12.5,21,0.852941176470588,477.801588936088,6
"31",401752738,2025,8,"regular","2025-10-18T04:00:00.000Z",2025-10-18,333,"Alabama","SEC",2633,"Tennessee","fbs","SEC","home",TRUE,FALSE,FALSE,18.4,13,0.911764705882353,0,6
"32",401752751,2025,9,"regular","2025-10-25T04:00:00.000Z",2025-10-25,333,"Alabama","SEC",2579,"South Carolina","fbs","SEC","away",TRUE,FALSE,TRUE,16.1,17,0.88235294117647,379.95970462545,6
"33",401752759,2025,11,"regular","2025-11-08T05:00:00.000Z",2025-11-08,333,"Alabama","SEC",99,"LSU","fbs","SEC","home",TRUE,FALSE,FALSE,22.1,9,0.941176470588235,0,13
"34",401752765,2025,12,"regular","2025-11-15T05:00:00.000Z",2025-11-15,333,"Alabama","SEC",201,"Oklahoma","fbs","SEC","home",TRUE,FALSE,FALSE,16.5,16,0.889705882352941,0,6
"35",401752773,2025,13,"regular","2025-11-22T19:00:00.000Z",2025-11-22,333,"Alabama","SEC",2197,"Eastern Illinois","fcs","Big South-OVC","home",FALSE,FALSE,FALSE,NA,NA,NA,0,6
"36",401752784,2025,14,"regular","2025-11-29T05:00:00.000Z",2025-11-29,333,"Alabama","SEC",2,"Auburn","fbs","SEC","away",TRUE,FALSE,TRUE,11.8,25,0.816176470588235,126.788151158979,6
"37",401761589,2025,1,"regular","2025-08-29T23:00:00.000Z",2025-08-29,2026,"App State","Sun Belt",2429,"Charlotte","fbs","American Athletic","neutral",FALSE,TRUE,TRUE,-19.4,133,0.0220588235294118,82.6689969728227,0
"38",401761596,2025,2,"regular","2025-09-06T19:30:00.000Z",2025-09-06,2026,"App State","Sun Belt",2815,"Lindenwood","fcs","Big South-OVC","home",FALSE,FALSE,FALSE,NA,NA,NA,0,7
"39",401761607,2025,3,"regular","2025-09-13T23:00:00.000Z",2025-09-13,2026,"App State","Sun Belt",2572,"Southern Miss","fbs","Sun Belt","away",TRUE,FALSE,TRUE,-17.7,128,0.0588235294117647,554.077216685217,6
"40",401760379,2025,5,"regular","2025-09-27T04:00:00.000Z",2025-09-27,2026,"App State","Sun Belt",68,"Boise State","fbs","Mountain West","away",FALSE,FALSE,TRUE,9.2,33,0.764705882352941,1886.14821979598,13
"41",401752940,2025,6,"regular","2025-10-04T04:00:00.000Z",2025-10-04,2026,"App State","Sun Belt",204,"Oregon State","fbs","Pac-12","home",FALSE,FALSE,FALSE,-2.4,73,0.463235294117647,0,6
