,Team,Qtr,Drive_Started_Spot,Drive_Ended_Spot,How_Lost
1,BC,1,B19,B38,Kickoff
2,ND,1,N26,B20,Punt
3,BC,1,B20,B29,Downs
4,ND,1,N42,N38,Punt
5,BC,1,N38,N00,Fumble
6,ND,2,N29,B30,Kickoff
7,BC,2,B30,B37,Downs
8,ND,2,N29,N50,Punt
9,BC,2,B12,B17,Punt
10,ND,2,B42,B14,Punt
11,BC,2,B14,N00,Interception
12,ND,2,N20,N29,Kickoff
13,BC,3,B34,B41,Punt
14,ND,3,N24,N23,Interception
15,BC,3,B34,B18,Interception
16,ND,3,N20,B19,Kickoff
17,BC,3,B19,B19,Fumble
18,ND,3,B28,B22,Interception
19,BC,4,B22,B16,Fumble
20,ND,4,N45,B47,Punt
21,BC,4,B10,B45,Punt
22,ND,4,N18,N39,Punt
23,BC,4,B14,B23,Punt
24,ND,4,B41,B22,Punt
25,BC,4,B22,B40,Downs
26,ND,4,N31,B00,Punt
27,BC,4,B28,B50,Kickoff
28,ND,4,N24,N14,End of half
