"name","total_wins","total_losses","total_ties","total_games","win_pct","start_year","end_year","teams_coached"
"Al Golden",59,59,0,118,0.5,2006,2015,"Temple, Miami"
"Al Groh",59,53,0,112,0.526785714285714,2001,2009,"Virginia"
"Al Kincaid",4,17,1,22,0.204545454545455,1990,1991,"Arkansas State"
"Al Luginbill",25,20,2,47,0.553191489361702,1990,1993,"San Diego State"
"Al Molde",43,32,2,77,0.571428571428571,1990,1996,"Western Michigan"
"Alan Gooch",0,2,0,2,0,2003,2003,"UCF"
"Alex Golesh",14,12,0,26,0.538461538461538,2023,2024,"South Florida"
"Alex Miller",0,3,0,3,0,2021,2021,"Massachusetts"
"Alex Wood",2,2,0,4,0.5,2014,2014,"Buffalo"
"Andy Avalos",22,14,0,36,0.611111111111111,2021,2023,"Boise State"
"Andy McCollum",34,45,0,79,0.430379746835443,1999,2005,"Middle Tennessee"
"Art Briles",99,65,0,164,0.603658536585366,2003,2015,"Houston, Baylor"
"Barry Alvarez",118,75,4,197,0.609137055837564,1990,2014,"Wisconsin"
"Barry Lunney Jr.",0,2,0,2,0,2019,2019,"Arkansas"
"Barry Odom",45,33,0,78,0.576923076923077,2016,2024,"Missouri, UNLV"
"Barry Wilson",13,30,1,44,0.306818181818182,1990,1993,"Duke"
"Biff Poggi",6,16,0,22,0.272727272727273,2023,2024,"Charlotte"
"Bill Blankenship",24,27,0,51,0.470588235294118,2011,2014,"Tulsa"
"Bill Callahan",27,22,0,49,0.551020408163265,2004,2007,"Nebraska"
"Bill Clark",49,26,0,75,0.653333333333333,2014,2021,"UAB"
"Bill Cubit",56,54,0,110,0.509090909090909,2005,2015,"Western Michigan, Illinois"
"Bill Curry",26,52,0,78,0.333333333333333,1990,1996,"Kentucky"
"Bill Doba",30,29,0,59,0.508474576271186,2003,2007,"Washington State"
"Bill Dooley",14,20,0,34,0.411764705882353,1990,1992,"Wake Forest"
"Bill Lewis",26,19,0,45,0.577777777777778,1990,1993,"East Carolina, Georgia Tech"
"Bill Lynch",56,83,0,139,0.402877697841727,1995,2010,"Ball State, Indiana"
"Bill Mallory",37,41,2,80,0.475,1990,1996,"Indiana"
"Bill McCartney",47,10,4,61,0.80327868852459,1990,1994,"Colorado"
"Bill O'Brien",22,15,0,37,0.594594594594595,2012,2024,"Penn State, Boston College"
"Bill Snyder",214,107,1,322,0.666149068322981,1990,2018,"Kansas State"
"Bill Stewart",27,12,0,39,0.692307692307692,2008,2010,"West Virginia"
"Bill Walsh",17,17,1,35,0.5,1992,1994,"Stanford"
"Billy Brewer",28,18,0,46,0.608695652173913,1990,1993,"Ole Miss"
"Billy Napier",59,31,0,90,0.655555555555556,2018,2024,"Louisiana, Florida"
"Blake Anderson",74,54,0,128,0.578125,2014,2024,"Arkansas State, Utah State"
"Blake Harrell",5,1,0,6,0.833333333333333,2024,2024,"East Carolina"
"Bo Pelini",67,27,0,94,0.712765957446808,2003,2014,"Nebraska"
"Bob Chesney",9,4,0,13,0.692307692307692,2024,2024,"James Madison"
"Bob Davie",70,89,0,159,0.440251572327044,1997,2019,"Notre Dame, New Mexico"
"Bob Diaco",11,28,0,37,0.297297297297297,2014,2016,"UConn"
"Bob Gregory",0,3,0,3,0,2021,2021,"Washington"
"Bob Pruett",79,23,0,102,0.774509803921569,1997,2004,"Marshall"
"Bob Simmons",30,38,0,68,0.441176470588235,1995,2000,"Oklahoma State"
"Bob Stoops",191,48,0,239,0.799163179916318,1999,2021,"Oklahoma"
"Bob Stull",13,29,2,44,0.318181818181818,1990,1993,"Missouri"
"Bob Sutton",44,55,1,100,0.445,1991,1999,"Army"
"Bob Toledo",64,72,0,136,0.470588235294118,1996,2011,"UCLA, Tulane"
"Bob Wagner",35,36,2,73,0.493150684931507,1990,1995,"Hawai'i"
"Bobby Bowden",194,57,1,252,0.771825396825397,1990,2009,"Florida State"
"Bobby Hauck",15,49,0,64,0.234375,2010,2014,"UNLV"
"Bobby Johnson",29,66,0,95,0.305263157894737,2002,2009,"Vanderbilt"
"Bobby Keasler",8,28,0,36,0.222222222222222,1999,2002,"UL Monroe"
"Bobby Petrino",119,56,0,175,0.68,2003,2018,"Louisville, Arkansas, Western Kentucky"
"Bobby Ross",28,30,1,59,0.483050847457627,1990,2006,"Georgia Tech, Army"
"Bobby Wallace",19,71,0,90,0.211111111111111,1998,2005,"Temple"
"Bobby Wilder",31,42,0,73,0.424657534246575,2014,2019,"Old Dominion"
"Bobby Williams",15,17,0,30,0.5,2000,2002,"Michigan State"
"Brad Cornelsen",1,0,0,1,1,2024,2024,"Sam Houston"
"Brad Davis",0,1,0,1,0,2021,2021,"LSU"
"Brad Lambert",12,36,0,48,0.25,2015,2018,"Charlotte"
"Brad Scott",23,32,1,56,0.419642857142857,1994,1998,"South Carolina"
"Brady Hoke",105,92,0,197,0.532994923857868,2003,2023,"Ball State, San Diego State, Michigan, Tennessee"
"Brandon Hall",0,1,0,1,0,2021,2021,"Troy"
"Brent Brennan",38,56,0,94,0.404255319148936,2017,2024,"San José State, Arizona"
"Brent Guy",9,38,0,47,0.191489361702128,2005,2008,"Utah State"
"Brent Key",18,16,0,34,0.529411764705882,2022,2024,"Georgia Tech"
"Brent Pry",16,21,0,37,0.432432432432432,2022,2024,"Virginia Tech"
"Brent Venables",22,17,0,39,0.564102564102564,2022,2024,"Oklahoma"
"Bret Bielema",125,80,0,205,0.609756097560976,2006,2024,"Wisconsin, Arkansas, Illinois"
"Brian Bohannon",1,8,0,9,0.111111111111111,2024,2024,"Kennesaw State"
"Brian Brohm",0,1,0,1,0,2022,2022,"Purdue"
"Brian Kelly",195,73,0,268,0.727611940298508,2004,2024,"Central Michigan, Cincinnati, Notre Dame, LSU"
"Brian Knorr",11,35,0,46,0.239130434782609,2001,2004,"Ohio"
"Brian Newberry",15,10,0,25,0.6,2023,2024,"Navy"
"Brian Polian",23,27,0,50,0.46,2013,2016,"Nevada"
"Brian Wright",4,0,0,4,1,2013,2013,"Florida Atlantic"
"Bronco Mendenhall",140,88,0,228,0.614035087719298,2005,2024,"BYU, Virginia, New Mexico"
"Bruce Snyder",75,51,1,127,0.594488188976378,1990,2000,"California, Arizona State"
"Bryan Harsin",85,36,0,121,0.702479338842975,2013,2022,"Arkansas State, Boise State, Auburn"
"Bryan McClendon",0,1,0,1,0,2021,2021,"Oregon"
"Bryant Vincent",12,13,0,25,0.48,2022,2024,"UAB, UL Monroe"
"Buddy Teevens",20,69,0,89,0.224719101123595,1992,2004,"Tulane, Stanford"
"Butch Davis",103,75,0,178,0.578651685393258,1995,2021,"Miami, North Carolina, Florida International"
"Butch Jones",103,85,0,188,0.547872340425532,2007,2024,"Central Michigan, Cincinnati, Tennessee, Arkansas State"
"Cadillac Williams",2,2,0,4,0.5,2022,2022,"Auburn"
"Cam Cameron",18,37,0,55,0.327272727272727,1997,2001,"Indiana"
"Carl Franks",7,45,0,52,0.134615384615385,1999,2003,"Duke"
"Carl Pelini",7,18,0,25,0.28,2012,2018,"Florida Atlantic, Bowling Green"
"Carl Torbush",16,18,0,34,0.470588235294118,1998,2000,"North Carolina"
"Chad Lunsford",29,22,0,51,0.568627450980392,2017,2024,"Georgia Southern, Florida Atlantic"
"Chad Morris",18,41,0,59,0.305084745762712,2015,2019,"SMU, Arkansas"
"Chad Scott",0,1,0,1,0,2024,2024,"West Virginia"
"Chad Staggs",0,1,0,1,0,2022,2022,"Coastal Carolina"
"Chan Gailey",44,32,0,76,0.578947368421053,2002,2007,"Georgia Tech"
"Chandler Burks",1,2,0,3,0.333333333333333,2024,2024,"Kennesaw State"
"Charles Huff",32,20,0,52,0.615384615384615,2021,2024,"Marshall"
"Charley Molnar",2,22,0,24,0.0833333333333333,2012,2013,"Massachusetts"
"Charlie Bailey",19,53,1,73,0.267123287671233,1993,1999,"UTEP"
"Charlie Partridge",9,27,0,36,0.25,2014,2016,"Florida Atlantic"
"Charlie Sadler",18,37,0,55,0.327272727272727,1991,1995,"Northern Illinois"
"Charlie Strong",74,53,0,127,0.582677165354331,2004,2019,"Florida, Louisville, Texas, South Florida"
"Charlie Weatherbie",76,115,0,191,0.397905759162304,1992,2009,"Utah State, Navy, UL Monroe"
"Charlie Weis",41,49,0,90,0.455555555555556,2005,2014,"Notre Dame, Kansas"
"Chip Kelly",81,41,0,122,0.663934426229508,2009,2023,"Oregon, UCLA"
"Chip Lindsey",15,19,0,34,0.441176470588235,2019,2021,"Troy"
"Chris Ash",8,32,0,40,0.2,2016,2019,"Rutgers"
"Chris Ault",95,56,0,151,0.629139072847682,1992,2012,"Nevada"
"Chris Creighton",57,75,0,132,0.431818181818182,2014,2024,"Eastern Michigan"
"Chris Klieman",48,28,0,76,0.631578947368421,2019,2024,"Kansas State"
"Chris Naeole",1,3,0,4,0.25,2015,2015,"Hawai'i"
"Chris Petersen",147,38,0,185,0.794594594594595,2006,2019,"Boise State, Washington"
