start,SFP,Drives,PPD,TD,FGA,Punt,Down,Fum,Int,Saf,Half
99,own 1,"2,274",1,0.144,0.058,0.537,0.037,0.045,0.08,0.064,0.034
98,own 2,"1,727",1.09,0.152,0.061,0.567,0.027,0.043,0.072,0.053,0.025
97,own 3,"1,702",1.19,0.159,0.071,0.566,0.028,0.05,0.073,0.033,0.021
96,own 4,"1,696",1.3,0.172,0.069,0.546,0.046,0.049,0.073,0.027,0.019
95,own 5,"1,843",1.43,0.187,0.077,0.525,0.04,0.055,0.076,0.018,0.022
94,own 6,"1,951",1.44,0.189,0.072,0.552,0.03,0.047,0.076,0.015,0.021
93,own 7,"2,214",1.37,0.18,0.071,0.54,0.043,0.057,0.075,0.013,0.021
92,own 8,"2,858",1.45,0.189,0.076,0.534,0.037,0.053,0.078,0.015,0.018
91,own 9,"2,991",1.53,0.197,0.079,0.526,0.04,0.055,0.072,0.007,0.024
90,own 10,"4,016",1.47,0.188,0.077,0.532,0.042,0.054,0.083,0.009,0.015
89,own 11,"3,130",1.5,0.191,0.084,0.529,0.038,0.054,0.079,0.006,0.019
88,own 12,"3,471",1.59,0.201,0.086,0.517,0.042,0.049,0.083,0.005,0.016
87,own 13,"3,572",1.59,0.201,0.09,0.51,0.047,0.047,0.081,0.003,0.022
86,own 14,"3,788",1.63,0.205,0.091,0.517,0.04,0.052,0.075,0.002,0.017
85,own 15,"5,031",1.66,0.212,0.084,0.498,0.045,0.054,0.088,0.003,0.017
84,own 16,"4,178",1.66,0.212,0.086,0.499,0.047,0.054,0.081,0.003,0.018
83,own 17,"4,561",1.63,0.202,0.099,0.494,0.048,0.055,0.084,0.002,0.015
82,own 18,"4,828",1.7,0.211,0.105,0.486,0.049,0.052,0.081,0.002,0.013
81,own 19,"5,090",1.68,0.211,0.096,0.493,0.052,0.049,0.084,0.002,0.013
80,own 20,"24,122",1.73,0.218,0.098,0.481,0.05,0.054,0.082,0.001,0.015
79,own 21,"6,105",1.81,0.227,0.104,0.473,0.048,0.052,0.081,0.001,0.014
78,own 22,"6,293",1.78,0.225,0.1,0.48,0.048,0.052,0.082,0.001,0.011
77,own 23,"6,526",1.81,0.226,0.108,0.469,0.055,0.05,0.074,0.001,0.016
76,own 24,"6,465",1.92,0.241,0.108,0.46,0.052,0.051,0.078,0,0.011
75,own 25,"53,608",1.91,0.239,0.113,0.449,0.061,0.047,0.079,0.001,0.011
74,own 26,"6,504",1.93,0.241,0.113,0.455,0.048,0.053,0.077,0,0.013
73,own 27,"6,405",1.99,0.248,0.119,0.429,0.056,0.054,0.081,0.001,0.012
72,own 28,"6,223",1.97,0.243,0.126,0.433,0.054,0.052,0.078,0,0.013
71,own 29,"5,853",2.08,0.262,0.119,0.425,0.052,0.051,0.079,0,0.012
70,own 30,"7,240",2.15,0.267,0.127,0.409,0.055,0.049,0.08,0,0.012
69,own 31,"5,463",2.15,0.268,0.134,0.398,0.061,0.053,0.073,0,0.013
68,own 32,"5,330",2.18,0.273,0.125,0.416,0.056,0.048,0.071,0,0.011
67,own 33,"4,807",2.17,0.267,0.141,0.388,0.059,0.051,0.081,0,0.012
66,own 34,"4,596",2.28,0.287,0.134,0.38,0.059,0.049,0.079,0,0.012
65,own 35,"7,682",2.24,0.278,0.14,0.382,0.061,0.053,0.073,0,0.013
64,own 36,"4,123",2.33,0.287,0.148,0.376,0.06,0.046,0.068,0,0.015
63,own 37,"3,940",2.35,0.289,0.152,0.371,0.056,0.046,0.073,0,0.013
62,own 38,"3,573",2.52,0.312,0.158,0.339,0.056,0.044,0.079,0,0.012
61,own 39,"3,310",2.45,0.307,0.145,0.351,0.06,0.052,0.073,0,0.013
60,own 40,"4,481",2.44,0.303,0.151,0.343,0.06,0.052,0.081,0,0.01
59,own 41,"2,991",2.62,0.319,0.176,0.327,0.06,0.045,0.064,0,0.01
58,own 42,"2,906",2.58,0.319,0.167,0.329,0.058,0.052,0.065,0,0.009
57,own 43,"2,573",2.53,0.309,0.175,0.332,0.06,0.043,0.073,0,0.009
56,own 44,"2,349",2.76,0.342,0.17,0.287,0.074,0.052,0.066,0,0.01
55,own 45,"2,774",2.74,0.336,0.173,0.304,0.068,0.045,0.064,0,0.009
54,own 46,"2,094",2.66,0.333,0.167,0.295,0.068,0.054,0.076,0,0.007
53,own 47,"2,060",2.88,0.351,0.183,0.29,0.063,0.04,0.065,0,0.008
52,own 48,"1,949",2.84,0.349,0.187,0.266,0.077,0.048,0.069,0,0.004
51,own 49,"1,845",2.81,0.346,0.186,0.265,0.071,0.047,0.073,0,0.012
50,50,"2,103",2.89,0.357,0.19,0.269,0.066,0.043,0.067,0,0.008
49,opp 49,"1,569",2.88,0.357,0.182,0.27,0.069,0.038,0.078,0,0.006
48,opp 48,"1,548",3.06,0.376,0.189,0.252,0.079,0.036,0.061,0,0.006
47,opp 47,"1,472",3.15,0.384,0.212,0.223,0.063,0.042,0.071,0,0.005
46,opp 46,"1,414",3.18,0.389,0.214,0.221,0.069,0.048,0.054,0,0.005
45,opp 45,"1,547",3.14,0.381,0.218,0.227,0.07,0.041,0.058,0,0.005
44,opp 44,"1,312",3.27,0.399,0.223,0.205,0.064,0.048,0.056,0,0.005
43,opp 43,"1,265",3.23,0.398,0.21,0.209,0.077,0.043,0.062,0,0.002
42,opp 42,"1,046",3.4,0.409,0.247,0.161,0.079,0.047,0.054,0,0.004
41,opp 41,"1,043",3.44,0.423,0.241,0.161,0.079,0.036,0.056,0,0.005
40,opp 40,"1,167",3.42,0.413,0.246,0.151,0.088,0.036,0.065,0,0.001
39,opp 39,996,3.74,0.451,0.253,0.119,0.092,0.036,0.047,0,0.001
38,opp 38,896,3.66,0.435,0.275,0.123,0.075,0.042,0.048,0,0.002
37,opp 37,845,3.63,0.441,0.273,0.102,0.093,0.039,0.05,0,0.001
36,opp 36,802,3.66,0.45,0.248,0.126,0.07,0.041,0.064,0,0.001
35,opp 35,861,3.77,0.452,0.29,0.081,0.078,0.037,0.056,0,0.006
34,opp 34,813,3.83,0.454,0.312,0.074,0.082,0.033,0.044,0,0
33,opp 33,789,3.97,0.474,0.309,0.054,0.071,0.041,0.049,0,0.001
32,opp 32,720,4.05,0.489,0.311,0.053,0.072,0.042,0.031,0,0.003
31,opp 31,696,3.86,0.443,0.368,0.042,0.066,0.033,0.046,0,0.003
30,opp 30,682,4.12,0.491,0.328,0.038,0.059,0.028,0.053,0,0.003
29,opp 29,638,4.08,0.473,0.351,0.019,0.061,0.047,0.049,0,0
28,opp 28,646,4.18,0.478,0.381,0.025,0.042,0.042,0.033,0,0
27,opp 27,641,4.32,0.51,0.337,0.016,0.059,0.039,0.039,0,0
26,opp 26,584,4.27,0.505,0.353,0.014,0.053,0.027,0.046,0,0.002
25,opp 25,588,4.31,0.498,0.371,0.014,0.053,0.026,0.039,0,0
24,opp 24,506,4.38,0.528,0.348,0.008,0.042,0.038,0.036,0,0.002
23,opp 23,519,4.3,0.501,0.372,0.012,0.039,0.021,0.052,0,0.004
22,opp 22,494,4.42,0.512,0.385,0.002,0.036,0.028,0.03,0,0.006
21,opp 21,464,4.48,0.528,0.343,0.004,0.039,0.034,0.052,0,0
20,opp 20,479,4.55,0.53,0.361,0.004,0.044,0.031,0.029,0,0
19,opp 19,431,4.52,0.55,0.309,0.002,0.046,0.035,0.058,0,0
18,opp 18,403,4.83,0.581,0.32,0.005,0.032,0.027,0.035,0,0
17,opp 17,360,4.8,0.583,0.306,0.003,0.025,0.028,0.056,0,0
16,opp 16,364,4.88,0.574,0.365,0,0.022,0.025,0.014,0,0
15,opp 15,371,4.61,0.555,0.313,0.003,0.049,0.035,0.046,0,0
14,opp 14,320,4.93,0.6,0.303,0.003,0.025,0.028,0.041,0,0
13,opp 13,315,4.73,0.556,0.33,0.003,0.044,0.019,0.044,0,0.003
12,opp 12,307,4.98,0.603,0.309,0,0.036,0.023,0.029,0,0
11,opp 11,308,5.04,0.607,0.302,0.003,0.042,0.013,0.029,0,0.003
10,opp 10,242,4.88,0.566,0.364,0,0.033,0.008,0.021,0,0.008
9,opp 9,267,5.18,0.648,0.258,0,0.034,0.022,0.037,0,0
8,opp 8,216,5.51,0.694,0.245,0,0.028,0.009,0.023,0,0
7,opp 7,213,5.21,0.657,0.225,0,0.052,0.038,0.023,0,0.005
6,opp 6,212,5.75,0.755,0.193,0,0.019,0.024,0.009,0,0
5,opp 5,205,5.87,0.776,0.171,0,0.024,0.015,0.015,0,0
4,opp 4,187,5.87,0.781,0.16,0,0.032,0.016,0.011,0,0
3,opp 3,195,6.08,0.831,0.103,0,0.036,0.026,0.005,0,0
2,opp 2,164,6.19,0.848,0.085,0,0.037,0.006,0.024,0,0
1,opp 1,224,6.48,0.906,0.054,0,0.013,0.013,0.013,0,0
