Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
1,Mike Macdonald,1,2024,2024,17,10,7,0,.588,3,,,,,,2.0,2,,,
2,Dave Canales,1,2024,2024,17,5,12,0,.294,-7,,,,,,3.0,3,,,
3,Jerod Mayo,1,2024,2024,17,4,13,0,.235,-9,,,,,,4.0,4,,,
4,Brian Callahan,1,2024,2024,17,3,14,0,.176,-11,,,,,,4.0,4,,,
5,Darren Rizzi,1,2024,2024,8,3,5,0,.375,-2,,,,,,4.0,4,,,
6,Jeff Ulbrich,1,2024,2024,12,3,9,0,.250,-6,,,,,,3.0,3,,,
7,Thomas Brown,1,2024,2024,5,1,4,0,.200,-3,,,,,,4.0,4,,,
8,DeMeco Ryans,2,2023,2024,34,20,14,0,.588,6,2,4,2,2,.500,1.0,1,,,
9,Shane Steichen,2,2023,2024,34,17,17,0,.500,0,,,,,,2.0,2,,,
10,Jonathan Gannon,2,2023,2024,34,12,22,0,.353,-10,,,,,,3.5,3,,,
11,Antonio Pierce,2,2023,2024,26,9,17,0,.346,-8,,,,,,3.0,2,,,
12,Chris Tabor,1,2023,2023,6,1,5,0,.167,-4,,,,,,4.0,4,,,
13,Giff Smith,1,2023,2023,3,0,3,0,.000,-3,,,,,,4.0,4,,,
14,Kevin O'Connell,3,2022,2024,51,34,17,0,.667,17,2,2,0,2,.000,2.0,1,,,
15,Mike McDaniel,3,2022,2024,51,28,23,0,.549,5,2,2,0,2,.000,2.0,2,,,
16,Brian Daboll,3,2022,2024,51,18,32,1,.363,-14,1,2,1,1,.500,3.3,3,,,
17,Matt Eberflus,3,2022,2024,46,14,32,0,.304,-18,,,,,,3.7,3,,,
18,Nathaniel Hackett,1,2022,2022,15,4,11,0,.267,-7,,,,,,4.0,4,,,
19,Jerry Rosburg,1,2022,2022,2,1,1,0,.500,0,,,,,,4.0,4,,,
20,Jeff Saturday,1,2022,2022,8,1,7,0,.125,-6,,,,,,3.0,3,0,0,0
21,Nick Sirianni,4,2021,2024,68,48,20,0,.706,28,4,9,6,3,.667,1.5,1,1,1,2
22,Brandon Staley,3,2021,2023,48,24,24,0,.500,0,1,1,0,1,.000,3.0,2,,,
23,Arthur Smith,3,2021,2023,51,21,30,0,.412,-9,,,,,,3.3,3,,,
24,Robert Saleh,4,2021,2024,56,20,36,0,.357,-16,,,,,,3.5,3,,,
25,Rich Bisaccia,1,2021,2021,12,7,5,0,.583,2,1,1,0,1,.000,2.0,2,,,
26,David Culley,1,2021,2021,17,4,13,0,.235,-9,,,,,,3.0,3,,,
27,Urban Meyer,1,2021,2021,13,2,11,0,.154,-9,,,,,,4.0,4,,,
28,Kevin Stefanski,5,2020,2024,84,40,44,0,.476,-4,2,3,1,2,.333,3.2,2,0,0,0
29,Matt Rhule,3,2020,2022,38,11,27,0,.289,-16,,,,,,3.0,2,0,0,0
30,Joe Judge,2,2020,2021,33,10,23,0,.303,-13,,,,,,3.0,2,0,0,0
31,Darrell Bevell,2,2020,2021,9,2,7,0,.222,-5,,,,,,4.0,4,0,0,0
32,Matt LaFleur,6,2019,2024,100,67,33,0,.670,34,5,8,3,5,.375,1.8,1,0,0,0
33,Zac Taylor,6,2019,2024,99,46,52,1,.470,-6,2,7,5,2,.714,2.8,1,0,0,1
34,Kliff Kingsbury,4,2019,2022,66,28,37,1,.432,-9,1,1,0,1,.000,3.3,2,0,0,0
35,Brian Flores,3,2019,2021,49,24,25,0,.490,-1,,,,,,3.0,2,0,0,0
36,Vic Fangio,3,2019,2021,49,19,30,0,.388,-11,,,,,,3.3,2,0,0,0
37,Freddie Kitchens,1,2019,2019,16,6,10,0,.375,-4,,,,,,3.0,3,0,0,0
38,Mike Vrabel,6,2018,2023,99,54,45,0,.545,9,3,5,2,3,.400,2.2,1,0,0,0
39,Frank Reich,6,2018,2023,85,41,43,1,.488,-2,2,3,1,2,.333,2.7,2,0,0,0
40,Matt Nagy,4,2018,2021,65,34,31,0,.523,3,2,2,0,2,.000,2.3,1,0,0,0
41,Matt Patricia,3,2018,2020,43,13,29,1,.314,-16,,,,,,4.0,4,0,0,0
42,Steve Wilks,2,2018,2022,28,9,19,0,.321,-10,,,,,,3.0,2,0,0,0
43,Sean McDermott,8,2017,2024,131,86,45,0,.656,41,7,14,7,7,.500,1.5,1,0,0,0
44,Sean McVay,8,2017,2024,132,80,52,0,.606,28,6,13,8,5,.615,1.8,1,1,1,2
45,Kyle Shanahan,8,2017,2024,132,70,62,0,.530,8,4,12,8,4,.667,2.6,1,0,0,2
46,Vance Joseph,2,2017,2018,32,11,21,0,.344,-10,,,,,,3.5,3,0,0,0
47,Doug Pederson,8,2016,2024,131,64,66,1,.492,-2,4,8,5,3,.625,2.3,1,1,1,1
48,Anthony Lynn,5,2016,2020,65,33,32,0,.508,1,1,2,1,1,.500,2.8,2,0,0,0
49,Adam Gase,5,2016,2020,80,32,48,0,.400,-16,1,1,0,1,.000,2.8,2,0,0,0
50,Dirk Koetter,3,2016,2018,48,19,29,0,.396,-10,,,,,,3.3,2,0,0,0
51,Ben McAdoo,2,2016,2017,28,13,15,0,.464,-2,1,1,0,1,.000,3.0,2,0,0,0
52,John Fassel,1,2016,2016,3,0,3,0,.000,-3,,,,,,3.0,3,0,0,0
53,Dan Quinn,7,2015,2024,102,55,47,0,.539,8,3,8,5,3,.625,2.3,1,0,0,1
54,Dan Campbell,5,2015,2024,80,44,35,1,.556,9,2,4,2,2,.500,2.4,1,,,
55,Mike Zimmer,8,2014,2021,129,72,56,1,.562,16,3,5,2,3,.400,2.1,1,0,0,0
56,Bill O'Brien,7,2014,2020,100,52,48,0,.520,4,4,6,2,4,.333,1.7,1,0,0,0
57,Jay Gruden,6,2014,2019,85,35,49,1,.418,-14,1,1,0,1,.000,3.0,1,0,0,0
58,Mike Pettine,2,2014,2015,32,10,22,0,.313,-12,0,0,0,0,,4.0,4,,,
59,Bruce Arians,8,2013,2021,129,80,48,1,.624,32,4,9,6,3,.667,2.1,1,1,1,1
60,Doug Marrone,7,2013,2020,98,38,60,0,.388,-22,1,3,2,1,.667,3.3,1,0,0,0
61,Chip Kelly,4,2013,2016,63,28,35,0,.444,-7,1,1,0,1,.000,2.3,1,0,0,0
62,Mike McCoy,4,2013,2016,64,27,37,0,.422,-10,1,2,1,1,.500,3.3,2,0,0,0
63,Gus Bradley,4,2013,2016,62,14,48,0,.226,-34,0,0,0,0,,3.3,3,0,0,0
64,Marc Trestman,2,2013,2014,32,13,19,0,.406,-6,0,0,0,0,,3.0,2,,,
65,Rob Chudzinski,1,2013,2013,16,4,12,0,.250,-8,0,0,0,0,,4.0,4,,,
66,Chuck Pagano,6,2012,2017,96,53,43,0,.552,10,3,6,3,3,.500,2.0,1,0,0,0
67,Dennis Allen,6,2012,2024,79,26,53,0,.329,-27,0,0,0,0,,3.3,2,,,
68,Joe Philbin,5,2012,2018,56,26,30,0,.464,-4,0,0,0,0,,3.0,2,0,0,0
69,Greg Schiano,2,2012,2013,32,11,21,0,.344,-10,0,0,0,0,,4.0,4,,,
70,Aaron Kromer,1,2012,2012,6,2,4,0,.333,-2,0,0,0,0,,3.0,3,,,
71,Ron Rivera,13,2011,2023,207,102,103,2,.498,-1,5,8,3,5,.375,2.5,1,0,0,1
72,Jim Harbaugh,5,2011,2024,81,55,25,1,.685,30,4,9,5,4,.556,1.8,1,,,1
73,Todd Bowles,8,2011,2024,118,53,65,0,.449,-12,3,4,1,3,.250,2.5,1,0,0,0
74,Mike Munchak+,3,2011,2013,48,22,26,0,.458,-4,0,0,0,0,,2.3,2,,,
75,Pat Shurmur,5,2011,2019,65,19,46,0,.292,-27,0,0,0,0,,3.4,2,0,0,0
76,Hue Jackson,4,2011,2018,56,11,44,1,.205,-33,0,0,0,0,,3.5,3,0,0,0
77,Mel Tucker,1,2011,2011,5,2,3,0,.400,-1,0,0,0,0,,3.0,3,,,
78,Jason Garrett,10,2010,2019,152,85,67,0,.559,18,3,5,2,3,.400,2.2,1,0,0,0
79,Leslie Frazier,4,2010,2013,54,21,32,1,.398,-11,1,1,0,1,.000,3.5,2,,,
80,Jim Tomsula,2,2010,2015,17,6,11,0,.353,-5,0,0,0,0,,3.5,3,,,
81,Eric Studesville,1,2010,2010,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,,,
82,Jim Caldwell,7,2009,2017,112,62,50,0,.554,12,4,6,2,4,.333,2.1,1,0,0,1
83,Rex Ryan,8,2009,2016,127,61,66,0,.480,-5,2,6,4,2,.667,2.6,2,0,0,0
84,Raheem Morris,5,2009,2024,76,29,47,0,.382,-18,0,0,0,0,,3.4,2,0,0,0
85,Jim Schwartz,5,2009,2013,80,29,51,0,.363,-22,1,1,0,1,.000,3.2,2,0,0,0
86,Josh McDaniels,4,2009,2023,53,20,33,0,.377,-13,0,0,0,0,,2.8,2,0,0,0
87,Todd Haley,3,2009,2011,45,19,26,0,.422,-7,1,1,0,1,.000,3.0,1,0,0,0
88,Steve Spagnuolo,4,2009,2017,52,11,41,0,.212,-30,0,0,0,0,,3.5,2,0,0,0
89,Perry Fewell,2,2009,2019,11,3,8,0,.273,-5,0,0,0,0,,4.0,4,0,0,0
90,John Harbaugh,17,2008,2024,276,172,104,0,.623,68,12,24,13,11,.542,1.9,1,1,1,1
91,Mike Smith,7,2008,2014,112,66,46,0,.589,20,4,5,1,4,.200,2.0,1,0,0,0
92,Tony Sparano,5,2008,2014,73,32,41,0,.438,-9,1,1,0,1,.000,2.8,1,0,0,0
93,Mike Singletary+,3,2008,2010,40,18,22,0,.450,-4,0,0,0,0,,2.3,2,0,0,0
94,Tom Cable,3,2008,2010,44,17,27,0,.386,-10,0,0,0,0,,3.0,3,,,
95,Jim Zorn,2,2008,2009,32,12,20,0,.375,-8,0,0,0,0,,4.0,4,0,0,0
96,Mike Tomlin,18,2007,2024,292,183,107,2,.630,76,12,19,8,11,.421,1.8,1,1,1,2
97,Ken Whisenhunt,8,2007,2015,119,48,71,0,.403,-23,2,6,4,2,.667,2.8,1,0,0,1
98,Lane Kiffin,2,2007,2008,20,5,15,0,.250,-10,0,0,0,0,,3.5,3,,,
99,Bobby Petrino,1,2007,2007,13,3,10,0,.231,-7,0,0,0,0,,4.0,4,0,0,0
100,Cam Cameron,1,2007,2007,16,1,15,0,.063,-14,0,0,0,0,,4.0,4,0,0,0
101,Emmitt Thomas+,1,2007,2007,3,1,2,0,.333,-1,0,0,0,0,,4.0,4,0,0,0
102,Mike McCarthy,18,2006,2024,288,174,112,2,.608,62,12,22,11,11,.500,1.8,1,1,1,1
103,Sean Payton,17,2006,2024,275,170,105,0,.618,65,10,18,9,9,.500,1.9,1,1,1,1
104,Gary Kubiak,10,2006,2016,157,82,75,0,.522,7,3,7,5,2,.714,2.6,1,1,1,1
105,Brad Childress,5,2006,2010,74,39,35,0,.527,4,2,3,1,2,.333,2.2,1,,,
106,Eric Mangini,5,2006,2010,80,33,47,0,.413,-14,1,1,0,1,.000,3.0,2,0,0,0
107,Scott Linehan,3,2006,2008,36,11,25,0,.306,-14,0,0,0,0,,3.3,2,,,
108,Rod Marinelli,3,2006,2008,48,10,38,0,.208,-28,0,0,0,0,,3.7,3,0,0,0
109,Romeo Crennel,7,2005,2020,95,32,63,0,.337,-31,0,0,0,0,,3.6,2,0,0,0
110,Mike Nolan,4,2005,2008,55,18,37,0,.327,-19,0,0,0,0,,3.0,2,,,
111,Nick Saban,2,2005,2006,32,15,17,0,.469,-2,0,0,0,0,,3.0,2,0,0,0
112,Joe Vitt,2,2005,2012,21,9,12,0,.429,-3,0,0,0,0,,2.5,2,,,
113,Lovie Smith,12,2004,2022,193,92,100,1,.479,-8,3,6,3,3,.500,2.8,1,0,0,1
114,Mike Mularkey,6,2004,2017,89,36,53,0,.404,-17,1,2,1,1,.500,3.0,2,0,0,0
115,Jim Mora,4,2004,2009,64,31,33,0,.484,-2,1,2,1,1,.500,2.5,1,0,0,0
