"","team","most_similar","most_sim_jaccard","most_sim_shared","most_sim_opponents","second_similar","second_sim_jaccard","third_similar","third_sim_jaccard","least_similar","least_sim_jaccard","year","conference"
"1","BYU","UTEP",0.833333333333333,10,"Air Force, Arizona State, Colorado State, Fresno State, Hawai'i, New Mexico, San Diego State, Tulsa, Utah, Wyoming","Wyoming",0.466666666666667,"Fresno State",0.4375,"Bowling Green",0,1995,"Western Athletic"
"2","UTEP","BYU",0.833333333333333,10,"Air Force, Arizona State, Colorado State, Fresno State, Hawai'i, New Mexico, San Diego State, Tulsa, Utah, Wyoming","New Mexico",0.5,"Wyoming",0.466666666666667,"Tulane",0,1995,"Western Athletic"
"3","Arizona State","Washington State",0.75,9,"Arizona, California, Nebraska, Oregon, Oregon State, Stanford, UCLA, USC, Washington","UCLA",0.466666666666667,"Oregon State",0.4,"Alabama",0,1995,"Pac-10"
"4","Washington State","Arizona State",0.75,9,"Arizona, California, Nebraska, Oregon, Oregon State, Stanford, UCLA, USC, Washington","Oregon State",0.428571428571429,"Arizona",0.4,"Wake Forest",0,1995,"Pac-10"
"5","Central Michigan","Ohio",0.727272727272727,8,"Akron, Ball State, Bowling Green, Eastern Michigan, Kent State, Miami (OH), Toledo, Western Michigan","Kent State",0.461538461538462,"Toledo",0.461538461538462,"California",0,1995,"Mid-American"
"6","Ohio","Central Michigan",0.727272727272727,8,"Akron, Ball State, Bowling Green, Eastern Michigan, Kent State, Miami (OH), Toledo, Western Michigan","Toledo",0.428571428571429,"Western Michigan",0.428571428571429,"Notre Dame",0,1995,"Mid-American"
"7","Akron","Ball State",0.666666666666667,8,"Bowling Green, Central Michigan, Eastern Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Central Michigan",0.461538461538462,"Kent State",0.428571428571429,"Air Force",0,1995,"Mid-American"
"8","Clemson","Georgia Tech",0.666666666666667,8,"Duke, Florida State, Georgia, Maryland, NC State, North Carolina, Virginia, Wake Forest","Florida State",0.538461538461538,"NC State",0.538461538461538,"Cincinnati",0,1995,"ACC"
"9","Kent State","Toledo",0.666666666666667,8,"Akron, Ball State, Bowling Green, Central Michigan, Eastern Michigan, Miami (OH), Ohio, Western Michigan","Central Michigan",0.461538461538462,"Ohio",0.428571428571429,"Kansas",0,1995,"Mid-American"
"10","Ball State","Akron",0.666666666666667,8,"Bowling Green, Central Michigan, Eastern Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Central Michigan",0.461538461538462,"Kent State",0.428571428571429,"Army",0,1995,"Mid-American"
"11","Georgia Tech","Clemson",0.666666666666667,8,"Duke, Florida State, Georgia, Maryland, NC State, North Carolina, Virginia, Wake Forest","NC State",0.538461538461538,"Wake Forest",0.538461538461538,"Fresno State",0,1995,"ACC"
"12","Toledo","Kent State",0.666666666666667,8,"Akron, Ball State, Bowling Green, Central Michigan, Eastern Michigan, Miami (OH), Ohio, Western Michigan","Miami (OH)",0.5,"Central Michigan",0.461538461538462,"Texas Tech",0,1995,"Mid-American"
"13","Michigan State","Ohio State",0.642857142857143,9,"Boston College, Illinois, Indiana, Iowa, Michigan, Minnesota, Penn State, Purdue, Wisconsin","Northwestern",0.571428571428571,"Michigan",0.352941176470588,"Louisville",0,1995,"Big Ten"
"14","Northwestern","Ohio State",0.642857142857143,9,"Illinois, Indiana, Iowa, Michigan, Minnesota, Notre Dame, Penn State, Purdue, Wisconsin","Michigan State",0.571428571428571,"Purdue",0.375,"Northern Illinois",0,1995,"Big Ten"
"15","Ohio State","Michigan State",0.642857142857143,9,"Boston College, Illinois, Indiana, Iowa, Michigan, Minnesota, Penn State, Purdue, Wisconsin","Northwestern",0.642857142857143,"Purdue",0.352941176470588,"Ohio",0,1995,"Big Ten"
"16","Duke","Wake Forest",0.615384615384615,8,"Clemson, Florida State, Georgia Tech, Maryland, Navy, NC State, North Carolina, Virginia","Florida State",0.5,"Georgia Tech",0.5,"Colorado State",0,1995,"ACC"
"17","Maryland","Wake Forest",0.615384615384615,8,"Clemson, Duke, Florida State, Georgia Tech, NC State, North Carolina, Tulane, Virginia","North Carolina",0.571428571428571,"NC State",0.5,"Louisiana Tech",0,1995,"ACC"
"18","Miami (OH)","Western Michigan",0.615384615384615,8,"Akron, Ball State, Bowling Green, Central Michigan, Eastern Michigan, Kent State, Ohio, Toledo","Toledo",0.5,"Central Michigan",0.428571428571429,"Miami",0,1995,"Mid-American"
"19","New Mexico","Wyoming",0.615384615384615,8,"Air Force, BYU, Colorado State, Fresno State, Hawai'i, San Diego State, Utah, UTEP","UTEP",0.5,"Colorado State",0.428571428571429,"Nebraska",0,1995,"Western Athletic"
"20","Oregon State","UCLA",0.615384615384615,8,"Arizona, Arizona State, California, Oregon, Stanford, USC, Washington, Washington State","Arizona",0.5,"Oregon",0.5,"Ole Miss",0,1995,"Pac-10"
"21","Wake Forest","Duke",0.615384615384615,8,"Clemson, Florida State, Georgia Tech, Maryland, Navy, NC State, North Carolina, Virginia","Maryland",0.615384615384615,"Clemson",0.538461538461538,"Vanderbilt",0,1995,"ACC"
"22","Western Michigan","Miami (OH)",0.615384615384615,8,"Akron, Ball State, Bowling Green, Central Michigan, Eastern Michigan, Kent State, Ohio, Toledo","Central Michigan",0.461538461538462,"Akron",0.428571428571429,"Washington State",0,1995,"Mid-American"
"23","Wyoming","New Mexico",0.615384615384615,8,"Air Force, BYU, Colorado State, Fresno State, Hawai'i, San Diego State, Utah, UTEP","BYU",0.466666666666667,"Hawai'i",0.466666666666667,"Wisconsin",0,1995,"Western Athletic"
"24","UCLA","Oregon State",0.615384615384615,8,"Arizona, Arizona State, California, Oregon, Stanford, USC, Washington, Washington State","Arizona State",0.466666666666667,"California",0.466666666666667,"Tulane",0,1995,"Pac-10"
"25","Arizona","Oregon",0.571428571428571,8,"Arizona State, California, Illinois, Oregon State, Pacific, UCLA, Washington, Washington State","Stanford",0.571428571428571,"Oregon State",0.5,"Alabama",0,1995,"Pac-10"
"26","Bowling Green","Eastern Michigan",0.571428571428571,8,"Akron, Ball State, Central Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Central Michigan",0.428571428571429,"Kent State",0.4,"Baylor",0,1995,"Mid-American"
"27","California","Washington",0.571428571428571,8,"Arizona, Arizona State, Oregon, Oregon State, Stanford, UCLA, USC, Washington State","Stanford",0.466666666666667,"UCLA",0.466666666666667,"Bowling Green",0,1995,"Pac-10"
"28","Colorado State","Fresno State",0.571428571428571,8,"Air Force, BYU, Hawai'i, New Mexico, San Diego State, Utah, UTEP, Wyoming","Utah",0.5,"New Mexico",0.428571428571429,"Colorado",0,1995,"Western Athletic"
"29","Hawai'i","Utah",0.571428571428571,8,"Air Force, BYU, Colorado State, Fresno State, New Mexico, San Diego State, UTEP, Wyoming","Wyoming",0.466666666666667,"New Mexico",0.4,"Georgia Tech",0,1995,"Western Athletic"
"30","Oregon","USC",0.571428571428571,8,"Arizona, Arizona State, California, Oregon State, Stanford, UCLA, Washington, Washington State","Arizona",0.571428571428571,"Oregon State",0.5,"Ole Miss",0,1995,"Pac-10"
"31","Stanford","Arizona",0.571428571428571,8,"Arizona State, California, Oregon, Oregon State, UCLA, USC, Washington, Washington State","USC",0.466666666666667,"California",0.466666666666667,"Southern Miss",0,1995,"Pac-10"
"32","Eastern Michigan","Bowling Green",0.571428571428571,8,"Akron, Ball State, Central Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Central Michigan",0.428571428571429,"Kent State",0.4,"Duke",0,1995,"Mid-American"
"33","Washington","California",0.571428571428571,8,"Arizona, Arizona State, Oregon, Oregon State, Stanford, UCLA, USC, Washington State","USC",0.466666666666667,"Washington State",0.4,"Wake Forest",0,1995,"Pac-10"
"34","Fresno State","Colorado State",0.571428571428571,8,"Air Force, BYU, Hawai'i, New Mexico, San Diego State, Utah, UTEP, Wyoming","BYU",0.4375,"San Diego State",0.411764705882353,"Florida State",0,1995,"Western Athletic"
"35","Utah","Hawai'i",0.571428571428571,8,"Air Force, BYU, Colorado State, Fresno State, New Mexico, San Diego State, UTEP, Wyoming","Colorado State",0.5,"New Mexico",0.4,"Tulane",0,1995,"Western Athletic"
"36","North Carolina","Maryland",0.571428571428571,8,"Clemson, Duke, Florida State, Georgia Tech, Louisville, NC State, Virginia, Wake Forest","Wake Forest",0.5,"Clemson",0.5,"New Mexico State",0,1995,"ACC"
"37","USC","Oregon",0.571428571428571,8,"Arizona, Arizona State, California, Oregon State, Stanford, UCLA, Washington, Washington State","Washington",0.466666666666667,"California",0.466666666666667,"UL Monroe",0,1995,"Pac-10"
"38","Florida State","Georgia Tech",0.538461538461538,7,"Clemson, Duke, Maryland, NC State, North Carolina, Virginia, Wake Forest","NC State",0.538461538461538,"Wake Forest",0.538461538461538,"Florida",0,1995,"ACC"
"39","NC State","Wake Forest",0.538461538461538,7,"Clemson, Duke, Florida State, Georgia Tech, Maryland, North Carolina, Virginia","Clemson",0.538461538461538,"Florida State",0.538461538461538,"Missouri",0,1995,"ACC"
"40","Air Force","San Diego State",0.5,8,"BYU, Colorado State, Fresno State, Hawai'i, New Mexico, Utah, UTEP, Wyoming","Colorado State",0.375,"New Mexico",0.375,"Western Michigan",0,1995,"Western Athletic"
"41","Baylor","Texas A&M",0.5,7,"Houston, Rice, SMU, TCU, Texas, Texas Tech, Tulsa","Houston",0.375,"Rice",0.375,"Ball State",0,1995,"Southwest"
"42","Iowa","Purdue",0.5,7,"Indiana, Michigan State, Minnesota, Northwestern, Ohio State, Penn State, Wisconsin","Michigan",0.466666666666667,"Wisconsin",0.4,"Houston",0,1995,"Big Ten"
"43","Rice","Texas A&M",0.5,7,"Baylor, Houston, LSU, SMU, TCU, Texas, Texas Tech","TCU",0.466666666666667,"SMU",0.375,"Purdue",0,1995,"Southwest"
"44","Virginia","Wake Forest",0.5,7,"Clemson, Duke, Florida State, Georgia Tech, Maryland, NC State, North Carolina","Clemson",0.5,"Florida State",0.5,"Vanderbilt",0,1995,"ACC"
"45","San Diego State","Air Force",0.5,8,"BYU, Colorado State, Fresno State, Hawai'i, New Mexico, Utah, UTEP, Wyoming","Fresno State",0.411764705882353,"Colorado State",0.375,"Rutgers",0,1995,"Western Athletic"
"46","Texas A&M","Baylor",0.5,7,"Houston, Rice, SMU, TCU, Texas, Texas Tech, Tulsa","Rice",0.5,"Texas Tech",0.4,"Tennessee",0,1995,"Southwest"
"47","Purdue","Iowa",0.5,7,"Indiana, Michigan State, Minnesota, Northwestern, Ohio State, Penn State, Wisconsin","Illinois",0.466666666666667,"Minnesota",0.375,"Pacific",0,1995,"Big Ten"
"48","Arkansas","Mississippi State",0.466666666666667,7,"Alabama, Auburn, LSU, Memphis, Ole Miss, South Carolina, Tennessee","Ole Miss",0.4,"Florida",0.375,"Arizona State",0,1995,"SEC"
"49","Colorado","Missouri",0.466666666666667,7,"Iowa State, Kansas, Kansas State, Nebraska, Oklahoma, Oklahoma State, UL Monroe","Iowa State",0.375,"Kansas",0.375,"Clemson",0,1995,"Big 8"
"50","Houston","TCU",0.466666666666667,7,"Baylor, Kansas, Rice, SMU, Texas, Texas A&M, Texas Tech","Texas A&M",0.4,"Rice",0.375,"Georgia Tech",0,1995,"Southwest"
"51","Illinois","Penn State",0.466666666666667,7,"Indiana, Iowa, Michigan, Michigan State, Northwestern, Ohio State, Wisconsin","Purdue",0.466666666666667,"Iowa",0.4,"Houston",0,1995,"Big Ten"
"52","Indiana","Minnesota",0.466666666666667,7,"Illinois, Iowa, Michigan, Michigan State, Northwestern, Ohio State, Purdue","Wisconsin",0.466666666666667,"Penn State",0.375,"Houston",0,1995,"Big Ten"
"53","Iowa State","Kansas",0.466666666666667,7,"Colorado, Kansas State, Missouri, Nebraska, Oklahoma, Oklahoma State, TCU","Kansas State",0.375,"Missouri",0.375,"Iowa",0,1995,"Big 8"
