"","team","most_similar","most_sim_jaccard","most_sim_shared","most_sim_opponents","second_similar","second_sim_jaccard","third_similar","third_sim_jaccard","least_similar","least_sim_jaccard","year","conference"
"1","Arizona","TCU",0.727272727272727,8,"Arizona State, Baylor, BYU, Cincinnati, Colorado, Houston, Iowa State, Kansas State","Iowa State",0.583333333333333,"UCF",0.583333333333333,"BYU",0.1875,2025,"Big 12"
"2","Cincinnati","Kansas State",0.727272727272727,8,"Arizona, Baylor, Iowa State, Kansas, Oklahoma State, TCU, UCF, Utah","Colorado",0.384615384615385,"Houston",0.384615384615385,"Utah",0.2,2025,"Big 12"
"3","TCU","Arizona",0.727272727272727,8,"Arizona State, Baylor, BYU, Cincinnati, Colorado, Houston, Iowa State, Kansas State","Utah",0.636363636363636,"UCF",0.5,"Kansas State",0.1875,2025,"Big 12"
"4","Kansas State","Cincinnati",0.727272727272727,8,"Arizona, Baylor, Iowa State, Kansas, Oklahoma State, TCU, UCF, Utah","Arizona State",0.583333333333333,"BYU",0.583333333333333,"TCU",0.1875,2025,"Big 12"
"5","Arizona State","BYU",0.636363636363636,7,"Arizona, Colorado, Iowa State, TCU, Texas Tech, Utah, West Virginia","Kansas State",0.583333333333333,"Colorado",0.5,"Texas Tech",0.2,2025,"Big 12"
"6","BYU","Kansas",0.636363636363636,7,"Arizona, Cincinnati, Iowa State, Texas Tech, UCF, Utah, West Virginia","Arizona State",0.636363636363636,"Kansas State",0.583333333333333,"Arizona",0.1875,2025,"Big 12"
"7","UCF","Utah",0.636363636363636,7,"Baylor, BYU, Cincinnati, Kansas, Kansas State, Texas Tech, West Virginia","Arizona",0.583333333333333,"Oklahoma State",0.5,"BYU",0.2,2025,"Big 12"
"8","Kansas","BYU",0.636363636363636,7,"Arizona, Cincinnati, Iowa State, Texas Tech, UCF, Utah, West Virginia","Oklahoma State",0.5,"Baylor",0.5,"West Virginia",0.2,2025,"Big 12"
"9","Utah","TCU",0.636363636363636,7,"Arizona State, Baylor, BYU, Cincinnati, Colorado, Kansas State, West Virginia","UCF",0.636363636363636,"Arizona",0.583333333333333,"Cincinnati",0.2,2025,"Big 12"
"10","Houston","Kansas State",0.583333333333333,7,"Arizona, Baylor, Colorado, Oklahoma State, TCU, Texas Tech, UCF","Arizona State",0.5,"BYU",0.5,"Arizona",0.266666666666667,2025,"Big 12"
"11","Iowa State","Arizona",0.583333333333333,7,"Arizona State, BYU, Cincinnati, Colorado, Kansas, Kansas State, Oklahoma State","Utah",0.5,"Baylor",0.5,"Arizona State",0.2,2025,"Big 12"
"12","Baylor","Colorado",0.5,6,"Arizona, Arizona State, Houston, Kansas State, TCU, Utah","Iowa State",0.5,"Kansas",0.5,"Utah",0.2,2025,"Big 12"
"13","Colorado","TCU",0.5,6,"Arizona State, BYU, Houston, Iowa State, Kansas State, West Virginia","Texas Tech",0.5,"Arizona State",0.5,"Kansas State",0.266666666666667,2025,"Big 12"
"14","Oklahoma State","UCF",0.5,6,"Baylor, Cincinnati, Houston, Kansas, Kansas State, Texas Tech","Kansas",0.5,"Arizona",0.461538461538462,"Iowa State",0.285714285714286,2025,"Big 12"
"15","Texas Tech","UCF",0.5,6,"BYU, Houston, Kansas, Kansas State, Oklahoma State, West Virginia","West Virginia",0.5,"Baylor",0.5,"BYU",0.2,2025,"Big 12"
"16","West Virginia","Texas Tech",0.5,6,"Arizona State, BYU, Houston, Kansas, UCF, Utah","Kansas State",0.461538461538462,"Arizona State",0.384615384615385,"Kansas",0.2,2025,"Big 12"
"17","Delaware","Jacksonville State",0.6,6,"Florida International, Liberty, Middle Tennessee, Sam Houston, UTEP, Western Kentucky","Kennesaw State",0.6,"Missouri State",0.6,"UTEP",0.333333333333333,2025,"Conference USA"
"18","Florida International","Jacksonville State",0.6,6,"Delaware, Kennesaw State, Liberty, Middle Tennessee, Sam Houston, Western Kentucky","Louisiana Tech",0.6,"Middle Tennessee",0.6,"Sam Houston",0.333333333333333,2025,"Conference USA"
"19","Jacksonville State","Louisiana Tech",0.6,6,"Delaware, Kennesaw State, Liberty, Sam Houston, UTEP, Western Kentucky","Missouri State",0.6,"New Mexico State",0.6,"Western Kentucky",0.333333333333333,2025,"Conference USA"
"20","Kennesaw State","Liberty",0.6,6,"Florida International, Jacksonville State, Louisiana Tech, Missouri State, New Mexico State, UTEP","Missouri State",0.6,"Sam Houston",0.6,"Jacksonville State",0.333333333333333,2025,"Conference USA"
"21","Liberty","Middle Tennessee",0.6,6,"Delaware, Florida International, Jacksonville State, Kennesaw State, Missouri State, New Mexico State","Sam Houston",0.6,"UTEP",0.6,"Jacksonville State",0.333333333333333,2025,"Conference USA"
"22","Louisiana Tech","Middle Tennessee",0.6,6,"Delaware, Kennesaw State, Missouri State, New Mexico State, Sam Houston, Western Kentucky","New Mexico State",0.6,"UTEP",0.6,"Kennesaw State",0.333333333333333,2025,"Conference USA"
"23","Middle Tennessee","UTEP",0.6,6,"Delaware, Jacksonville State, Kennesaw State, Missouri State, New Mexico State, Sam Houston","Western Kentucky",0.6,"Florida International",0.6,"Kennesaw State",0.333333333333333,2025,"Conference USA"
"24","Missouri State","New Mexico State",0.6,6,"Kennesaw State, Liberty, Louisiana Tech, Middle Tennessee, UTEP, Western Kentucky","Sam Houston",0.6,"Delaware",0.6,"Middle Tennessee",0.333333333333333,2025,"Conference USA"
"25","Sam Houston","Western Kentucky",0.6,6,"Delaware, Florida International, Jacksonville State, Louisiana Tech, Middle Tennessee, New Mexico State","Delaware",0.6,"Kennesaw State",0.6,"New Mexico State",0.333333333333333,2025,"Conference USA"
"26","UTEP","Western Kentucky",0.6,6,"Delaware, Jacksonville State, Louisiana Tech, Missouri State, New Mexico State, Sam Houston","Florida International",0.6,"Liberty",0.6,"Sam Houston",0.333333333333333,2025,"Conference USA"
"27","New Mexico State","Delaware",0.6,6,"Liberty, Louisiana Tech, Middle Tennessee, Sam Houston, UTEP, Western Kentucky","Florida International",0.6,"Jacksonville State",0.6,"Middle Tennessee",0.333333333333333,2025,"Conference USA"
"28","Western Kentucky","Kennesaw State",0.6,6,"Florida International, Jacksonville State, Louisiana Tech, Middle Tennessee, Missouri State, New Mexico State","Liberty",0.6,"Middle Tennessee",0.6,"New Mexico State",0.333333333333333,2025,"Conference USA"
"29","Duke","North Carolina",0.6,6,"California, Clemson, NC State, Syracuse, Virginia, Wake Forest","Virginia Tech",0.454545454545455,"Florida State",0.333333333333333,"California",0.142857142857143,2025,"ACC"
"30","Louisville","Stanford",0.6,6,"Boston College, California, Miami, Pittsburgh, SMU, Virginia","Syracuse",0.454545454545455,"Florida State",0.454545454545455,"Virginia",0.133333333333333,2025,"ACC"
"31","North Carolina","Duke",0.6,6,"California, Clemson, NC State, Syracuse, Virginia, Wake Forest","SMU",0.454545454545455,"Florida State",0.454545454545455,"Clemson",0.142857142857143,2025,"ACC"
