"","team","most_similar","most_sim_jaccard","most_sim_shared","most_sim_opponents","second_similar","second_sim_jaccard","third_similar","third_sim_jaccard","least_similar","least_sim_jaccard","year","conference"
"1","Colorado","Iowa State",0.75,6,"Kansas, Kansas State, Missouri, Nebraska, Oklahoma, Oklahoma State","Kansas",0.75,"Kansas State",0.75,"Oklahoma State",0.75,1995,"Big 8"
"2","Iowa State","Kansas",0.75,6,"Colorado, Kansas State, Missouri, Nebraska, Oklahoma, Oklahoma State","Kansas State",0.75,"Missouri",0.75,"Colorado",0.75,1995,"Big 8"
"3","Kansas","Kansas State",0.75,6,"Colorado, Iowa State, Missouri, Nebraska, Oklahoma, Oklahoma State","Missouri",0.75,"Nebraska",0.75,"Iowa State",0.75,1995,"Big 8"
"4","Kansas State","Missouri",0.75,6,"Colorado, Iowa State, Kansas, Nebraska, Oklahoma, Oklahoma State","Nebraska",0.75,"Oklahoma",0.75,"Kansas",0.75,1995,"Big 8"
"5","Missouri","Nebraska",0.75,6,"Colorado, Iowa State, Kansas, Kansas State, Oklahoma, Oklahoma State","Oklahoma",0.75,"Oklahoma State",0.75,"Kansas State",0.75,1995,"Big 8"
"6","Nebraska","Oklahoma",0.75,6,"Colorado, Iowa State, Kansas, Kansas State, Missouri, Oklahoma State","Oklahoma State",0.75,"Colorado",0.75,"Missouri",0.75,1995,"Big 8"
"7","Oklahoma","Oklahoma State",0.75,6,"Colorado, Iowa State, Kansas, Kansas State, Missouri, Nebraska","Colorado",0.75,"Iowa State",0.75,"Nebraska",0.75,1995,"Big 8"
"8","Oklahoma State","Colorado",0.75,6,"Iowa State, Kansas, Kansas State, Missouri, Nebraska, Oklahoma","Iowa State",0.75,"Kansas",0.75,"Oklahoma",0.75,1995,"Big 8"
"9","Akron","Ball State",1,8,"Bowling Green, Central Michigan, Eastern Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Bowling Green",0.6,"Central Michigan",0.6,"Western Michigan",0.6,1995,"Mid-American"
"10","Bowling Green","Eastern Michigan",1,8,"Akron, Ball State, Central Michigan, Kent State, Miami (OH), Ohio, Toledo, Western Michigan","Central Michigan",0.6,"Kent State",0.6,"Ball State",0.6,1995,"Mid-American"
