Year,W,L,T,Pct
2024,6,7,0,0.462
2023,8,5,0,0.615
2022,9,5,0,0.643
2021,6,7,0,0.462
2020,8,4,0,0.667
2019,7,6,0,0.538
2018,2,9,0,0.182
2017,3,9,0,0.25
2016,8,5,0,0.615
2015,11,3,0,0.786
2014,6,7,0,0.462
2013,7,6,0,0.538
2012,8,4,0,0.667
2011,7,6,0,0.538
2010,8,5,0,0.615
2009,8,5,0,0.615
2008,8,5,0,0.615
2007,4,8,0,0.333
2006,3,9,0,0.25
2005,5,6,0,0.455
2004,6,6,0,0.5
2003,2,10,0,0.167
2002,3,9,0,0.25
2001,8,5,0,0.615
2000,6,5,0,0.545
1999,3,8,0,0.273
1998,7,5,0,0.583
1997,11,1,0,0.917
1996,10,2,0,0.833
1995,7,5,0,0.583
1994,8,4,0,0.667
1993,10,3,0,0.769
1992,9,3,0,0.75
1991,7,4,0,0.636
1990,6,4,1,0.591
1989,1,10,0,0.091
1988,1,10,0,0.091
1987,5,6,0,0.455
1986,7,4,1,0.625
1985,5,6,0,0.455
1984,5,5,1,0.5
1983,8,4,0,0.667
1982,8,4,0,0.667
1981,10,2,0,0.833
1980,11,1,0,0.917
1979,8,3,1,0.708
1978,5,6,0,0.455
1977,8,3,1,0.708
1976,9,3,0,0.75
1975,3,7,1,0.318
1974,7,5,0,0.583
