"","id","season","week","seasonType","startDate","startTimeTBD","completed","neutralSite","conferenceGame","attendance","venueId","venue","homeId","homeTeam","homeClassification","homeConference","homePoints","homePostgameWinProbability","homePregameElo","homePostgameElo","awayId","awayTeam","awayClassification","awayConference","awayPoints","awayPostgameWinProbability","awayPregameElo","awayPostgameElo","excitementIndex","highlights","notes","homeConfShort","awayConfShort","homeConfFilter","awayConfFilter","start_utc","game_time_local","game_date","game_time","game_day","date_display","time_display","datetime_display","time_tbd","conference_display","isOvertime","totalOTs"
"1",401756846,2025,0,"regular","2025-08-23T16:00:00.000Z",FALSE,TRUE,TRUE,TRUE,NA,"3504","Aviva Stadium",2306,"Kansas State","fbs","Big 12",21,0.201544418931007,1669,1666,66,"Iowa State","fbs","Big 12",24,0.798455581068993,1616,1619,6.0290941607396,"","Aer Lingus College Football Classic","B12","B12","B12","B12",2025-08-23 16:00:00,2025-08-23 12:00:00,"2025-08-23","12:00 PM","Saturday","Aug 23","12:00 PM ET","Aug 23 12:00 PM ET",FALSE,"B12",FALSE,0
"2",401760371,2025,0,"regular","2025-08-23T20:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"6501","Allegiant Stadium",2439,"UNLV","fbs","Mountain West",38,0.978786885738373,NA,NA,304,"Idaho State","fcs","Big Sky",31,0.0212131142616272,NA,NA,9.59856171019143,"",NA,"MWC","Big Sky","MWC","FCS",2025-08-23 20:00:00,2025-08-23 16:00:00,"2025-08-23","04:00 PM","Saturday","Aug 23","04:00 PM ET","Aug 23 04:00 PM ET",FALSE,"Big Sky vs MWC",FALSE,0
"3",401756847,2025,0,"regular","2025-08-23T22:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"3833","Memorial Stadium",2305,"Kansas","fbs","Big 12",31,1,1583,1632,278,"Fresno State","fbs","Mountain West",7,0,1490,1441,3.78304084816632,"",NA,"B12","MWC","B12","MWC",2025-08-23 22:30:00,2025-08-23 18:30:00,"2025-08-23","06:30 PM","Saturday","Aug 23","06:30 PM ET","Aug 23 06:30 PM ET",FALSE,"MWC vs B12",FALSE,0
"4",401757218,2025,0,"regular","2025-08-23T23:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,"3796","Houchens Industries-L.T. Smith Stadium",98,"Western Kentucky","fbs","Conference USA",41,0.872897028923035,1409,1450,2534,"Sam Houston","fbs","Conference USA",24,0.127102971076965,1452,1411,6.04146368507938,"",NA,"CUSA","CUSA","CUSA","CUSA",2025-08-23 23:00:00,2025-08-23 19:00:00,"2025-08-23","07:00 PM","Saturday","Aug 23","07:00 PM ET","Aug 23 07:00 PM ET",FALSE,"CUSA",FALSE,0
"5",401754516,2025,0,"regular","2025-08-23T23:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"7220","Clarence T.C. Ching Athletics Complex",62,"Hawai'i","fbs","Mountain West",23,0.410163193941116,1257,1258,24,"Stanford","fbs","ACC",20,0.589836806058884,1283,1282,7.30756786244744,"",NA,"MWC","ACC","MWC","ACC",2025-08-23 23:30:00,2025-08-23 19:30:00,"2025-08-23","07:30 PM","Saturday","Aug 23","07:30 PM ET","Aug 23 07:30 PM ET",FALSE,"ACC vs MWC",FALSE,0
"6",401762522,2025,1,"regular","2025-08-28T21:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"3886","Raymond James Stadium",58,"South Florida","fbs","American Athletic",34,0.971840798854828,1456,1554,68,"Boise State","fbs","Mountain West",7,0.0281592011451721,1676,1578,5.13722155432476,"",NA,"AAC","MWC","AAC","MWC",2025-08-28 21:30:00,2025-08-28 17:30:00,"2025-08-28","05:30 PM","Thursday","Aug 28","05:30 PM ET","Aug 28 05:30 PM ET",FALSE,"MWC vs AAC",FALSE,0
"7",401762790,2025,1,"regular","2025-08-28T22:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"3700","Doyt L. Perry Stadium",189,"Bowling Green","fbs","Mid-American",26,1,1461,1461,322,"Lafayette","fcs","Patriot",7,0,NA,NA,2.7177919249146,"",NA,"MAC","Patriot","MAC","FCS",2025-08-28 22:00:00,2025-08-28 18:00:00,"2025-08-28","06:00 PM","Thursday","Aug 28","06:00 PM ET","Aug 28 06:00 PM ET",FALSE,"Patriot vs MAC",FALSE,0
"8",401752794,2025,1,"regular","2025-08-28T22:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"6577","SHI Stadium",164,"Rutgers","fbs","Big Ten",34,0.900066137313843,1522,1524,195,"Ohio","fbs","Mid-American",31,0.0999338626861572,1621,1619,6.94386485630991,"",NA,"B10","MAC","B10","MAC",2025-08-28 22:00:00,2025-08-28 18:00:00,"2025-08-28","06:00 PM","Thursday","Aug 28","06:00 PM ET","Aug 28 06:00 PM ET",FALSE,"MAC vs B10",FALSE,0
"9",401761588,2025,1,"regular","2025-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"3817","Malone Stadium",2433,"UL Monroe","fbs","Sun Belt",29,0.99480402469635,1281,1281,2598,"St. Francis (PA)","fcs","NEC",0,0.0051959753036499,NA,NA,3.54203241504751,"",NA,"SUN","NEC","SUN","FCS",2025-08-28 23:00:00,2025-08-28 19:00:00,"2025-08-28","07:00 PM","Thursday","Aug 28","07:00 PM ET","Aug 28 07:00 PM ET",FALSE,"NEC vs SUN",FALSE,0
"10",401754373,2025,1,"regular","2025-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,"3670","Carter-Finley Stadium",152,"NC State","fbs","ACC",24,0.748005568981171,1501,1507,151,"East Carolina","fbs","American Athletic",17,0.251994431018829,1435,1429,4.65097694672514,"",NA,"ACC","AAC","ACC","AAC",2025-08-28 23:00:00,2025-08-28 19:00:00,"2025-08-28","07:00 PM","Thursday","Aug 28","07:00 PM ET","Aug 28 07:00 PM ET",FALSE,"AAC vs ACC",FALSE,0
