"","year","win","loss","win_pct","win_touchdown","loss_touchdown","win_pct_touchdown"
"1",2016,35,22,0.614035087719298,13,3,0.8125
"2",2017,36,22,0.620689655172414,7,6,0.538461538461538
"3",2018,42,29,0.591549295774648,20,8,0.714285714285714
"4",2019,34,13,0.723404255319149,14,3,0.823529411764706
"5",2020,31,11,0.738095238095238,10,2,0.833333333333333
"6",2021,51,28,0.645569620253165,17,4,0.80952380952381
"7",2022,49,29,0.628205128205128,18,4,0.818181818181818
"8",2023,36,18,0.666666666666667,11,2,0.846153846153846
"9",2024,25,28,0.471698113207547,6,4,0.6
"10",2025,11,4,0.733333333333333,1,2,0.333333333333333
