"","Team","Conf","std_dev","range","max_change","min_rank","max_rank","avg_rank"
"1","Air Force","MWC",13.232535660258,37,15,84,121,99.5
"2","Akron","MAC",3.54494945897211,9,4,125,134,131.166666666667
"3","Alabama","SEC",4.45720390678581,12,12,7,19,10.6666666666667
"4","Appalachian St","SBC",12.2215656389297,34,17,83,117,98.8333333333333
"5","Arizona","B12",11.8897715144853,34,15,39,73,52.8333333333333
"6","Arizona St","B12",6.92098258919931,20,13,20,40,28.5
"7","Arkansas","SEC",9.09395403551173,25,19,29,54,37.5
"8","Arkansas St","SBC",10.4243305140746,28,13,99,127,111.666666666667
"9","Army","AAC",11.5931013969516,34,21,51,85,67
"10","Auburn","SEC",5.50151494287407,15,8,19,34,26.3333333333333
"11","BYU","B12",5.3665631459995,15,6,12,27,21
"12","Ball St","MAC",2.42212028327799,6,6,127,133,130.333333333333
"13","Baylor","B12",8.14043405886115,22,11,31,53,42.3333333333333
"14","Boise St","MWC",11.7884123895742,32,23,29,61,51.8333333333333
"15","Boston College","ACC",17.3397424048533,47,18,49,96,69.3333333333333
"16","Bowling Green","MAC",7.20185161376341,18,13,86,104,96.6666666666667
"17","Buffalo","MAC",9.53764471275098,23,14,91,114,98.1666666666667
"18","C Michigan","MAC",7.68548415304245,18,18,105,123,115.666666666667
"19","California","ACC",8.03533861555732,24,24,48,72,62.1666666666667
"20","Charlotte","AAC",5.11533641774094,14,7,119,133,128.166666666667
"21","Cincinnati","B12",7.08989891794422,20,10,41,61,52.6666666666667
"22","Clemson","ACC",22.8793939313669,60,20,9,69,34.6666666666667
"23","Coastal Car","SBC",11.5354525991253,32,17,95,127,110.666666666667
"24","Colorado","B12",8.45576726264388,26,15,39,65,51.5
"25","Colorado St","MWC",8.81854107359413,23,22,97,120,102.166666666667
"26","Connecticut","FBSI",5.24086506854228,14,11,77,91,84.6666666666667
"27","Delaware","CUSA",19.0997382181013,44,26,82,126,109
"28","Duke","ACC",11.9121786420453,28,19,43,71,55.5
"29","E Michigan","MAC",5.84522597225006,16,7,117,133,127.166666666667
"30","East Carolina","AAC",12.6015872016187,33,13,57,90,75
"31","FL Atlantic","AAC",3.55902608401044,9,8,117,126,122.333333333333
"32","Florida","SEC",16.8957588366627,43,15,13,56,32.6666666666667
"33","Florida Intl","CUSA",5.39135109844153,16,12,110,126,119.666666666667
"34","Florida St","ACC",15.4326493728934,43,25,21,64,34.8333333333333
"35","Fresno St","MWC",8.30461718965219,23,8,64,87,74.1666666666667
"36","Ga Southern","SBC",9.85224170768596,28,22,81,109,97.6666666666667
"37","Georgia","SEC",4.76445169982864,13,11,2,15,5.5
"38","Georgia St","SBC",6.19677335393187,18,12,108,126,120
"39","Georgia Tech","ACC",6.18600571181976,17,7,23,40,30.3333333333333
"40","Hawaii","MWC",9.5236547606473,27,13,86,113,99.5
"41","Houston","B12",16.5126214353344,37,16,31,68,49.3333333333333
"42","Illinois","B10",6.71317113342619,14,14,15,29,22.6666666666667
"43","Indiana","B10",7.58067719050658,18,11,2,20,11.3333333333333
"44","Iowa","B10",5.12835256198323,14,5,26,40,34.5
"45","Iowa St","B12",5.07608773236502,13,12,12,25,20.1666666666667
"46","Jacksonville St","CUSA",9.21773652621221,28,20,83,111,94.8333333333333
"47","James Madison","SBC",7.02614166286637,20,11,52,72,63.1666666666667
"48","Kansas","B12",4.11906138175515,11,11,33,44,38.8333333333333
"49","Kansas St","B12",20.235282717735,49,18,19,68,48.6666666666667
"50","Kennesaw","CUSA",12.6596471778113,34,19,101,135,124.666666666667
"51","Kent","MAC",1.09544511501033,3,2,133,136,135
"52","Kentucky","SEC",5.45588367422425,16,16,43,59,48.8333333333333
"53","LSU","SEC",1.94079021706795,5,3,6,11,8.16666666666667
"54","Liberty","CUSA",17.974055376199,42,15,83,125,102.333333333333
"55","Louisiana","SBC",17.2240142436851,47,17,69,116,95.3333333333333
"56","Louisiana Tech","CUSA",23.5202040807473,61,21,55,116,89
"57","Louisville","ACC",1.96638416050035,5,4,21,26,22.6666666666667
"58","MTSU","CUSA",1.72240142436851,4,3,131,135,133.166666666667
"59","Marshall","SBC",12.774975538137,33,21,71,104,91
"60","Maryland","B10",11.2901136693422,26,15,39,65,53.3333333333333
"61","Massachusetts","MAC",0.836660026534076,2,1,134,136,135.5
"62","Memphis","AAC",8.96102672688794,23,11,31,54,40.5
"63","Miami FL","ACC",3.55902608401044,9,5,4,13,8.66666666666667
"64","Miami OH","MAC",11.7075474232081,30,8,80,110,97.3333333333333
"65","Michigan","B10",5.67156650905785,16,12,10,26,15.8333333333333
"66","Michigan St","B10",5.17687164221791,15,9,51,66,59
