Team,Conf,Week0,Week1,Week2,Week3,Week4,Week5
Air Force,MWC,97,89,84,99,107,121
Akron,MAC,125,129,133,134,132,134
Alabama,SEC,7,19,10,8,12,8
Appalachian St,SBC,96,83,89,106,102,117
Arizona,B12,73,58,54,46,39,47
Arizona St,B12,20,27,40,32,28,24
Arkansas,SEC,37,40,29,30,35,54
Arkansas St,SBC,105,99,110,108,121,127
Army,AAC,51,72,64,60,70,85
Auburn,SEC,34,28,21,19,27,29
BYU,B12,27,24,24,21,18,12
Ball St,MAC,127,133,132,132,130,128
Baylor,B12,31,42,37,41,50,53
Boise St,MWC,29,52,52,61,59,58
Boston College,ACC,55,49,62,76,78,96
Bowling Green,MAC,103,104,99,86,90,98
Buffalo,MAC,93,93,91,92,106,114
C Michigan,MAC,121,110,112,123,123,105
California,ACC,67,62,63,48,72,61
Charlotte,AAC,119,126,129,130,133,132
Cincinnati,B12,53,61,59,51,51,41
Clemson,ACC,9,17,25,34,54,69
Coastal Car,SBC,95,112,115,127,115,100
Colorado,B12,39,50,50,65,55,50
Colorado St,MWC,98,100,97,100,98,120
Connecticut,FBSI,85,77,80,91,87,88
Delaware,CUSA,123,121,126,114,88,82
Duke,ACC,46,46,65,71,62,43
E Michigan,MAC,117,124,130,133,128,131
East Carolina,AAC,88,90,77,69,69,57
FL Atlantic,AAC,120,125,117,121,125,126
Florida,SEC,16,13,28,37,46,56
Florida Intl,CUSA,126,122,119,110,122,119
Florida St,ACC,64,39,30,28,21,27
Fresno St,MWC,87,79,75,73,67,64
Ga Southern,SBC,81,103,109,97,93,103
Georgia,SEC,5,2,4,3,4,15
Georgia St,SBC,108,120,122,122,126,122
Georgia Tech,ACC,40,33,33,27,26,23
Hawaii,MWC,107,113,100,95,96,86
Houston,B12,68,67,56,40,34,31
Illinois,B10,28,29,15,16,29,19
Indiana,B10,15,20,16,13,2,2
Iowa,B10,26,31,36,38,36,40
Iowa St,B12,24,12,18,24,25,18
Jacksonville St,CUSA,94,97,83,93,91,111
James Madison,SBC,61,64,69,72,61,52
Kansas,B12,41,35,41,39,33,44
Kansas St,B12,19,30,48,62,65,68
Kennesaw,CUSA,135,132,131,129,120,101
Kent,MAC,136,136,135,135,135,133
Kentucky,SEC,50,47,47,47,43,59
LSU,SEC,10,7,7,6,8,11
Liberty,CUSA,83,84,94,109,119,125
Louisiana,SBC,69,86,90,101,116,110
Louisiana Tech,CUSA,116,109,101,80,73,55
Louisville,ACC,21,22,22,26,24,21
MTSU,CUSA,131,134,134,131,134,135
Marshall,SBC,71,81,102,96,92,104
Maryland,B10,65,63,58,55,40,39
Massachusetts,MAC,134,135,136,136,136,136
Memphis,AAC,54,44,46,35,31,33
Miami FL,ACC,13,10,12,7,6,4
Miami OH,MAC,80,88,96,102,110,108
Michigan,B10,12,14,26,18,15,10
Michigan St,B10,63,66,57,59,58,51
Minnesota,B10,32,32,31,50,60,49
Mississippi,SEC,8,8,6,5,3,3
Mississippi St,SEC,72,70,53,44,32,34
Missouri,SEC,25,21,14,15,13,14
Missouri St,CUSA,124,127,120,116,109,116
N Illinois,MAC,99,101,98,105,103,109
NC State,ACC,59,56,49,43,52,48
Navy,AAC,56,55,60,52,47,45
Nebraska,B10,36,36,27,25,30,28
Nevada,MWC,118,119,118,124,129,129
New Mexico,MWC,122,115,113,87,82,74
New Mexico St,CUSA,133,128,123,126,124,118
North Carolina,ACC,60,75,74,75,81,93
North Texas,AAC,102,85,79,56,38,32
Northwestern,B10,77,87,82,78,85,84
Notre Dame,FBSI,4,6,9,17,20,13
Ohio,MAC,66,71,66,70,71,66
Ohio St,B10,1,1,1,1,1,1
Oklahoma,SEC,23,23,13,9,7,6
Oklahoma St,B12,70,68,86,89,113,123
Old Dominion,SBC,92,91,78,68,56,46
Oregon,B10,6,3,2,2,5,5
Oregon St,P12,84,95,104,113,118,106
Penn St,B10,2,4,3,4,9,25
Pittsburgh,ACC,52,45,45,57,64,77
Purdue,B10,106,96,87,77,79,79
Rice,AAC,111,98,108,104,95,91
Rutgers,B10,47,48,43,42,57,60
SMU,ACC,17,25,38,45,53,70
Sam Houston St,CUSA,104,117,125,125,131,130
