"","id","season","week","seasonType","startDate","startTimeTBD","completed","neutralSite","conferenceGame","attendance","venueId","venue","homeId","homeTeam","homeClassification","homeConference","homePoints","homePostgameWinProbability","homePregameElo","homePostgameElo","awayId","awayTeam","awayClassification","awayConference","awayPoints","awayPostgameWinProbability","awayPregameElo","awayPostgameElo","excitementIndex","highlights","notes"
"1",49686,1980,2,"regular","1980-09-06T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,153,"North Carolina","fbs","ACC",35,NA,1675,1707,231,"Furman","fbs","Southern",13,NA,1471,1439,NA,"",NA
"2",49742,1980,3,"regular","1980-09-13T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2641,"Texas Tech","fbs","Southwest",3,NA,1522,1524,153,"North Carolina","fbs","ACC",9,NA,1707,1705,NA,"",NA
"3",49877,1980,5,"regular","1980-09-27T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,153,"North Carolina","fbs","ACC",17,NA,1705,1729,120,"Maryland","fbs","ACC",3,NA,1657,1633,NA,"",NA
"4",49944,1980,6,"regular","1980-10-04T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,153,"North Carolina","fbs","ACC",33,NA,1729,1779,59,"Georgia Tech","fbs","FBS Independents",0,NA,1391,1341,NA,"",NA
"5",50018,1980,7,"regular","1980-10-11T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,154,"Wake Forest","fbs","ACC",9,NA,1536,1517,153,"North Carolina","fbs","ACC",27,NA,1779,1798,NA,"",NA
"6",50085,1980,8,"regular","1980-10-18T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,153,"North Carolina","fbs","ACC",28,NA,1798,1827,152,"NC State","fbs","ACC",8,NA,1622,1593,NA,"",NA
"7",50151,1980,9,"regular","1980-10-25T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,153,"North Carolina","fbs","ACC",31,NA,1827,1865,151,"East Carolina","fbs","FBS Independents",3,NA,1522,1484,NA,"",NA
"8",50224,1980,10,"regular","1980-11-01T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,201,"Oklahoma","fbs","Big 8",41,NA,1941,2026,153,"North Carolina","fbs","ACC",7,NA,1865,1780,NA,"",NA
"9",50291,1980,11,"regular","1980-11-08T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,228,"Clemson","fbs","ACC",19,NA,1592,1596,153,"North Carolina","fbs","ACC",24,NA,1780,1776,NA,"",NA
"10",50353,1980,12,"regular","1980-11-15T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,153,"North Carolina","fbs","ACC",26,NA,1776,1804,258,"Virginia","fbs","ACC",3,NA,1502,1474,NA,"",NA
