"","teamName","Wk","Rec","FBS","FEI","FEI_Rk","OFEI","OFEI_Rk","DFEI","DFEI_Rk","SFEI","SFEI_Rk"
"1","Air Force","0","0-0","0-0",-0.27,86,-0.17,81,-0.02,83,-0.08,128
"2","Air Force","1","1-0","0-0",-0.27,89,-0.17,82,-0.02,80,-0.08,127
"3","Air Force","2","1-0","0-0",-0.27,84,-0.17,84,-0.02,81,-0.08,122
"4","Air Force","3","1-1","0-1",-0.44,97,-0.17,85,-0.18,105,-0.07,120
"5","Air Force","4","1-2","0-2",-0.45,101,-0.02,57,-0.34,123,-0.08,123
"6","Air Force","5","1-3","0-3",-0.53,103,0.08,49,-0.5,129,-0.09,124
"7","Air Force","6","1-4","0-4",-0.5,99,0.17,35,-0.55,132,-0.12,129
"8","Akron","0","0-0","0-0",-0.84,126,-0.48,122,-0.35,123,0.01,58
"9","Akron","1","0-1","0-1",-0.85,125,-0.57,132,-0.28,121,0.01,55
"10","Akron","2","0-2","0-2",-1.02,131,-0.57,129,-0.38,125,-0.05,112
"11","Akron","3","0-3","0-3",-0.99,131,-0.55,129,-0.34,122,-0.09,126
"12","Akron","4","1-3","0-3",-1,132,-0.58,133,-0.33,122,-0.09,125
"13","Akron","5","1-4","0-4",-1.12,134,-0.59,132,-0.42,125,-0.1,128
"14","Akron","6","2-4","1-4",-1.07,133,-0.49,125,-0.43,128,-0.13,132
"15","Alabama","0","0-0","0-0",1.09,5,0.43,5,0.59,6,0.09,6
"16","Alabama","1","0-1","0-1",0.85,8,0.36,9,0.41,17,0.09,6
"17","Alabama","2","1-1","1-1",0.99,7,0.46,5,0.42,15,0.12,4
"18","Alabama","3","2-1","2-1",1.15,4,0.62,3,0.46,10,0.08,15
"19","Alabama","4","2-1","2-1",1.16,4,0.62,4,0.48,9,0.07,16
"20","Alabama","5","3-1","3-1",1.19,3,0.66,4,0.49,9,0.05,22
"21","Alabama","6","4-1","4-1",1.26,4,0.67,4,0.53,6,0.05,29
"22","Appalachian State","0","0-0","0-0",-0.34,94,-0.08,64,-0.23,114,-0.04,107
"23","Appalachian State","1","1-0","1-0",-0.23,86,-0.04,59,-0.17,109,-0.04,108
"24","Appalachian State","2","2-0","1-0",-0.23,83,-0.03,61,-0.18,108,-0.05,111
"25","Appalachian State","3","2-1","1-1",-0.5,105,-0.18,88,-0.31,118,-0.05,110
"26","Appalachian State","4","2-1","1-1",-0.51,105,-0.19,86,-0.31,118,-0.05,108
"27","Appalachian State","5","2-2","1-2",-0.62,112,-0.27,96,-0.34,119,-0.04,104
"28","Appalachian State","6","3-2","2-2",-0.62,109,-0.27,97,-0.36,119,-0.01,75
"29","Arizona","0","0-0","0-0",-0.23,84,-0.07,63,-0.14,104,-0.01,75
"30","Arizona","1","1-0","1-0",-0.1,72,-0.05,60,-0.03,82,0,70
"31","Arizona","2","2-0","1-0",-0.08,73,-0.04,63,-0.03,82,0,68
"32","Arizona","3","3-0","2-0",0.06,60,-0.01,54,0.13,48,-0.05,109
"33","Arizona","4","3-0","2-0",0.06,59,0,54,0.11,50,-0.04,103
"34","Arizona","5","3-1","2-1",0.01,65,-0.01,58,0.08,53,-0.05,111
"35","Arizona","6","4-1","3-1",0.13,55,-0.02,62,0.22,39,-0.07,116
"36","Arizona State","0","0-0","0-0",0.5,27,0.28,14,0.24,34,-0.03,97
"37","Arizona State","1","1-0","0-0",0.5,29,0.28,14,0.24,35,-0.03,96
"38","Arizona State","2","1-1","0-1",0.4,36,0.18,24,0.23,38,-0.03,100
"39","Arizona State","3","2-1","1-1",0.53,26,0.23,24,0.3,28,-0.03,90
"40","Arizona State","4","3-1","2-1",0.54,27,0.21,27,0.34,26,-0.03,90
"41","Arizona State","5","4-1","3-1",0.6,24,0.21,26,0.4,20,-0.03,101
"42","Arizona State","6","4-1","3-1",0.57,27,0.19,32,0.38,25,-0.03,93
"43","Arkansas","0","0-0","0-0",0.24,43,0.04,43,0.2,42,0.01,61
"44","Arkansas","1","1-0","0-0",0.24,42,0.04,48,0.2,42,0.01,62
"45","Arkansas","2","2-0","1-0",0.32,40,0.11,36,0.24,36,-0.03,96
"46","Arkansas","3","2-1","1-1",0.38,33,0.31,16,0.12,51,-0.05,106
"47","Arkansas","4","2-2","1-2",0.36,33,0.32,19,0.05,60,-0.02,87
"48","Arkansas","5","2-3","1-3",0.22,46,0.31,21,-0.1,90,0.01,56
"49","Arkansas","6","2-3","1-3",0.25,44,0.33,20,-0.09,86,0.01,58
"50","Arkansas State","0","0-0","0-0",-0.67,119,-0.24,95,-0.43,129,0,69
"51","Arkansas State","1","1-0","0-0",-0.67,118,-0.24,92,-0.43,127,0,68
"52","Arkansas State","2","1-1","0-1",-0.75,121,-0.27,98,-0.51,131,0.03,40
"53","Arkansas State","3","1-2","0-2",-0.64,112,-0.25,96,-0.46,130,0.06,20
"54","Arkansas State","4","1-3","0-3",-0.74,116,-0.3,101,-0.5,131,0.05,30
"55","Arkansas State","5","1-4","0-4",-0.82,123,-0.41,112,-0.51,130,0.08,6
"56","Arkansas State","6","2-4","1-4",-0.76,119,-0.41,115,-0.44,130,0.08,14
"57","Army","0","0-0","0-0",0.29,40,0.22,19,0.07,64,0.01,51
"58","Army","1","0-1","0-0",0.29,40,0.22,19,0.07,64,0.01,56
"59","Army","2","1-1","1-0",0.35,39,0.28,15,0.09,56,-0.02,91
"60","Army","3","1-1","1-0",0.33,41,0.28,20,0.07,61,-0.02,77
"61","Army","4","1-2","1-1",0.22,46,0.26,23,0.01,71,-0.04,99
"62","Army","5","1-3","1-2",0.05,61,0.14,38,-0.05,82,-0.04,103
"63","Army","6","2-3","2-2",0.04,63,0.05,48,-0.04,76,0.03,45
"64","Auburn","0","0-0","0-0",0.38,35,0,54,0.35,22,0.01,53
"65","Auburn","1","1-0","1-0",0.48,31,0.11,31,0.31,26,0.05,23
"66","Auburn","2","2-0","2-0",0.53,26,0.14,31,0.37,21,0.03,35
"67","Auburn","3","3-0","3-0",0.59,20,0.23,25,0.32,25,0.05,32
"68","Auburn","4","3-1","3-1",0.57,23,0.21,26,0.35,23,0.02,57
"69","Auburn","5","3-2","3-2",0.58,26,0.11,45,0.45,12,0.02,47
"70","Auburn","6","3-2","3-2",0.62,23,0.14,41,0.46,12,0.03,40
"71","Ball State","0","0-0","0-0",-0.71,120,-0.34,107,-0.36,125,-0.01,78
"72","Ball State","1","0-1","0-1",-0.89,126,-0.4,112,-0.44,128,-0.03,97
"73","Ball State","2","0-2","0-2",-0.94,125,-0.46,118,-0.47,129,-0.02,85
"74","Ball State","3","1-2","0-2",-0.93,128,-0.46,120,-0.46,131,-0.02,75
"75","Ball State","4","1-3","0-3",-0.94,130,-0.41,113,-0.52,132,-0.03,93
"76","Ball State","5","1-3","0-3",-0.94,130,-0.39,108,-0.54,133,-0.03,96
"77","Ball State","6","2-3","1-3",-0.76,120,-0.34,104,-0.4,122,-0.03,97
"78","Baylor","0","0-0","0-0",0.43,31,0.16,26,0.15,51,0.09,7
"79","Baylor","1","0-1","0-1",0.32,36,0.2,20,0.03,69,0.05,24
"80","Baylor","2","1-1","1-1",0.37,38,0.31,13,0,77,0.03,46
"81","Baylor","3","2-1","1-1",0.36,37,0.3,17,0,76,0.03,48
"82","Baylor","4","2-2","1-2",0.35,35,0.29,21,0.01,70,0.02,54
"83","Baylor","5","3-2","2-2",0.35,36,0.35,15,-0.04,81,0.01,57
"84","Baylor","6","4-2","3-2",0.33,39,0.37,14,-0.09,85,0.03,42
"85","Boise State","0","0-0","0-0",0.45,28,0.24,18,0.27,33,-0.03,100
"86","Boise State","1","0-1","0-1",0.17,47,0.05,45,0.16,50,-0.04,102
"87","Boise State","2","1-1","0-1",0.19,47,0.06,47,0.17,43,-0.04,104
"88","Boise State","3","1-1","0-1",0.18,52,0.06,47,0.17,45,-0.04,101
"89","Boise State","4","2-1","1-1",0.15,53,0.18,33,0.01,69,-0.03,94
"90","Boise State","5","3-1","2-1",0.23,45,0.18,31,0.08,54,-0.04,107
"91","Boise State","6","3-2","2-2",0.2,50,0.14,40,0.07,58,-0.04,100
"92","Boston College","0","0-0","0-0",0.04,61,-0.06,60,0.16,49,-0.04,105
"93","Boston College","1","1-0","0-0",0.04,62,-0.06,65,0.16,52,-0.04,101
"94","Boston College","2","1-1","0-1",0.01,65,0.04,50,0.04,68,-0.04,105
