"","coach_label","metric","n"
"1","Kirby Smart<br>Georgia","Annual Salary",13
"2","Kirby Smart<br>Georgia","Contract Buyout",105
"3","Ryan Day<br>Ohio State","Annual Salary",13
"4","Ryan Day<br>Ohio State","Contract Buyout",71
"5","Kalen DeBoer<br>Alabama","Annual Salary",10
"6","Kalen DeBoer<br>Alabama","Contract Buyout",61
"7","Steve Sarkisian<br>Texas","Annual Salary",11
"8","Steve Sarkisian<br>Texas","Contract Buyout",60
"9","Dabo Swinney<br>Clemson","Annual Salary",11
"10","Dabo Swinney<br>Clemson","Contract Buyout",60
"11","Dan Lanning<br>Oregon","Annual Salary",10
"12","Dan Lanning<br>Oregon","Contract Buyout",57
"13","Curt Cignetti<br>Indiana","Annual Salary",8
"14","Curt Cignetti<br>Indiana","Contract Buyout",57
"15","Brian Kelly<br>LSU","Annual Salary",10
"16","Brian Kelly<br>LSU","Contract Buyout",53
"17","Matt Rhule<br>Nebraska","Annual Salary",8
"18","Matt Rhule<br>Nebraska","Contract Buyout",50
"19","Bret Bielema<br>Illinois","Annual Salary",8
"20","Bret Bielema<br>Illinois","Contract Buyout",49
"21","James Franklin (Fired)<br>Penn State","Annual Salary",8
"22","James Franklin (Fired)<br>Penn State","Contract Buyout",49
"23","Mark Stoops<br>Kentucky","Annual Salary",9
"24","Mark Stoops<br>Kentucky","Contract Buyout",38
"25","Josh Heupel<br>Tennessee","Annual Salary",9
"26","Josh Heupel<br>Tennessee","Contract Buyout",38
"27","Lane Kiffin<br>Ole Miss","Annual Salary",9
"28","Lane Kiffin<br>Ole Miss","Contract Buyout",37
"29","Jedd Fisch<br>Washington","Annual Salary",8
"30","Jedd Fisch<br>Washington","Contract Buyout",34
"31","Deion Sanders<br>Colorado","Annual Salary",9
"32","Deion Sanders<br>Colorado","Contract Buyout",34
"33","Eliah Drinkwitz<br>Missouri","Annual Salary",9
"34","Eliah Drinkwitz<br>Missouri","Contract Buyout",29
"35","Shane Beamer<br>South Carolina","Annual Salary",8
"36","Shane Beamer<br>South Carolina","Contract Buyout",28
"37","Luke Fickell<br>Wisconsin","Annual Salary",8
"38","Luke Fickell<br>Wisconsin","Contract Buyout",27
"39","Bill Belichick<br>North Carolina","Annual Salary",10
"40","Bill Belichick<br>North Carolina","Contract Buyout",21
