"","week","awayTeam","awayConfShort","homeTeam","homeConfShort","awayPoints","homePoints","fplusPercentile","venue"
"1",7,"Indiana","B10","Oregon","B10",30,20,0.985,"Autzen Stadium"
"2",3,"Texas A&M","SEC","Notre Dame","IND",41,40,0.978,"Notre Dame Stadium"
"3",5,"Alabama","SEC","Georgia","SEC",24,21,0.97,"Sanford Stadium"
"4",4,"Texas Tech","B12","Utah","B12",34,10,0.948,"Rice-Eccles Stadium"
"5",8,"Louisville","ACC","Miami","ACC",24,21,0.933,"Hard Rock Stadium"
"6",9,"Ole Miss","SEC","Oklahoma","SEC",34,26,0.926,"Memorial Stadium (Norman, OK)"
"7",5,"Indiana","B10","Iowa","B10",20,15,0.896,"Kinnick Stadium"
"8",3,"Georgia","SEC","Tennessee","SEC",44,41,0.881,"Neyland Stadium"
"9",7,"Alabama","SEC","Missouri","SEC",27,24,0.874,"Memorial Stadium"
"10",5,"Oregon","B10","Penn State","B10",30,24,0.852,"Beaver Stadium"
"11",7,"Northwestern","B10","Penn State","B10",22,21,0.852,"Beaver Stadium"
"12",5,"Ohio State","B10","Washington","B10",24,6,0.844,"Husky Stadium"
"13",9,"Texas A&M","SEC","LSU","SEC",49,25,0.83,"Tiger Stadium (LA)"
"14",7,"Georgia","SEC","Auburn","SEC",20,10,0.822,"Jordan-Hare Stadium"
"15",8,"Missouri","SEC","Auburn","SEC",23,17,0.822,"Jordan-Hare Stadium"
"16",6,"Virginia","ACC","Louisville","ACC",30,27,0.815,"L&N Federal Credit Union Stadium"
"17",4,"Michigan","B10","Nebraska","B10",30,27,0.8,"Memorial Stadium (Lincoln, NE)"
"18",5,"Louisville","ACC","Pittsburgh","ACC",34,27,0.793,"Acrisure Stadium"
"19",7,"Ohio State","B10","Illinois","B10",34,16,0.785,"Memorial Stadium (Champaign, IL)"
"20",2,"Army","AAC","Kansas State","B12",24,21,0.778,"Bill Snyder Family Stadium"
"21",9,"BYU","B12","Iowa State","B12",41,27,0.763,"Jack Trice Stadium"
"22",2,"South Florida","AAC","Florida","SEC",18,16,0.748,"Ben Hill Griffin Stadium"
"23",6,"Miami","ACC","Florida State","ACC",28,22,0.748,"Doak Campbell Stadium"
"24",7,"Pittsburgh","ACC","Florida State","ACC",34,31,0.748,"Doak Campbell Stadium"
"25",5,"Tennessee","SEC","Mississippi State","SEC",41,34,0.741,"Davis Wade Stadium"
"26",9,"Texas","SEC","Mississippi State","SEC",45,38,0.741,"Davis Wade Stadium"
"27",5,"Notre Dame","IND","Arkansas","SEC",56,13,0.733,"Razorback Stadium"
"28",8,"Texas A&M","SEC","Arkansas","SEC",45,42,0.733,"Razorback Stadium"
"29",9,"Auburn","SEC","Arkansas","SEC",33,24,0.733,"Razorback Stadium"
"30",2,"Baylor","B12","SMU","ACC",48,45,0.719,"Gerald J. Ford Stadium"
"31",1,"LSU","SEC","Clemson","ACC",17,10,0.696,"Memorial Stadium (Clemson, SC)"
"32",4,"Syracuse","ACC","Clemson","ACC",34,21,0.696,"Memorial Stadium (Clemson, SC)"
"33",6,"Washington","B10","Maryland","B10",24,20,0.696,"SECU Stadium"
"34",7,"Nebraska","B10","Maryland","B10",34,31,0.696,"SECU Stadium"
"35",8,"SMU","ACC","Clemson","ACC",35,24,0.696,"Memorial Stadium (Clemson, SC)"
