"","awayTeam","awayConfShort","road_wins"
"1","Akron","MAC",1
"2","Alabama","SEC",3
"3","App State","SUN",1
"4","Arizona State","B12",1
"5","Arkansas State","SUN",1
"6","Army","AAC",2
"7","Auburn","SEC",2
"8","Austin Peay","UAC",1
"9","BYU","B12",4
"10","Baylor","B12",2
"11","Boise State","MWC",2
"12","Bryant","CAA",1
"13","Buffalo","MAC",2
"14","California","ACC",2
"15","Central Michigan","MAC",2
"16","Cincinnati","B12",2
"17","Clemson","ACC",2
"18","Coastal Carolina","SUN",2
"19","Delaware","CUSA",1
"20","Duke","ACC",2
"21","East Carolina","AAC",1
"22","Florida Atlantic","AAC",1
"23","Florida International","CUSA",1
"24","Fresno State","MWC",2
"25","Georgia","SEC",2
"26","Georgia Tech","ACC",3
"27","Hawai'i","MWC",2
"28","Houston","B12",4
"29","Illinois","B10",2
"30","Indiana","B10",2
"31","Iowa","B10",2
"32","Iowa State","B12",1
"33","Jacksonville State","CUSA",1
"34","James Madison","SUN",3
"35","Kansas","B12",1
"36","Kansas State","B12",1
"37","Kennesaw State","CUSA",1
"38","LSU","SEC",1
"39","Liberty","CUSA",1
"40","Long Island University","NEC",1
"41","Louisiana Tech","CUSA",1
"42","Louisville","ACC",2
"43","Marshall","SUN",1
"44","Maryland","B10",1
"45","Memphis","AAC",3
"46","Miami","ACC",1
"47","Miami (OH)","MAC",2
"48","Michigan","B10",2
"49","Middle Tennessee","CUSA",1
"50","Mississippi State","SEC",1
"51","Missouri","SEC",1
"52","Missouri State","CUSA",3
"53","NC State","ACC",1
"54","Navy","AAC",2
"55","Nebraska","B10",1
"56","New Mexico","MWC",1
"57","North Carolina","ACC",1
"58","North Texas","AAC",3
"59","Northwestern","B10",1
"60","Notre Dame","IND",1
"61","Ohio","MAC",1
"62","Ohio State","B10",3
"63","Oklahoma","SEC",2
"64","Old Dominion","SUN",1
"65","Ole Miss","SEC",2
"66","Oregon","B10",3
"67","Pittsburgh","ACC",2
"68","Rice","AAC",2
"69","Rutgers","B10",1
"70","SMU","ACC",2
"71","San Diego State","MWC",3
"72","South Alabama","SUN",1
"73","South Florida","AAC",2
"74","Southern Miss","SUN",2
"75","Syracuse","ACC",1
"76","TCU","B12",2
"77","Tarleton State","UAC",1
"78","Temple","AAC",3
"79","Tennessee","SEC",2
"80","Texas","SEC",2
"81","Texas A&M","SEC",3
"82","Texas State","SUN",1
"83","Texas Tech","B12",2
"84","Troy","SUN",3
"85","Tulane","AAC",2
"86","Tulsa","AAC",1
"87","UCLA","B10",1
"88","UConn","IND",2
"89","UL Monroe","SUN",1
"90","UNLV","MWC",2
"91","USC","B10",1
"92","UTSA","AAC",1
"93","Utah","B12",3
"94","Vanderbilt","SEC",2
"95","Virginia","ACC",2
"96","Virginia Tech","ACC",1
"97","Wake Forest","ACC",2
"98","Washington","B10",2
"99","Washington State","P12",1
"100","Western Kentucky","CUSA",3
"101","Western Michigan","MAC",1
"102","Wyoming","MWC",1
