qrt,minute,TCU,UCF,Clemson,Cal,Virginia
1,1,,,,,
1,2,,,0,,
1,3,,,0,,
1,4,,,0,,
1,5,,,0,0,
1,6,1,,0,0,
1,7,1,,0,0,
1,8,1,0,0,0,
1,9,1,0,0,0,
1,10,1,0,0,,0
1,11,1,0,0,,0
1,12,,0,0,,0
1,13,,0,0,,0
1,14,,0,0,0,0
1,15,,0,0,0,0
2,16,,0,0,0,0
2,17,,0,0,0,0
2,18,,0,0,0,
2,19,0,0,0,0,
2,20,0,0,0,0,
2,21,0,0,0,0,
2,22,0,0,0,0,
2,23,0,0,0,0,
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,
2,29,0,0,0,0,
2,30,0,0,0,0,
3,31,0,0,0,0,
3,32,0,0,0,0,
3,33,0,0,0,0,
3,34,0,0,0,0,
3,35,0,0,0,0,
3,36,0,0,0,0,
3,37,0,0,0,0,
3,38,0,0,0,0,
3,39,0,0,0,0,
3,40,0,0,0,0,
3,41,0,0,0,0,
3,42,0,0,0,0,
3,43,0,0,0,0,
3,44,0,0,0,0,
3,45,0,0,0,0,
4,46,0,0,0,0,
4,47,0,0,0,0,
4,48,0,0,0,0,
4,49,0,0,0,0,
4,50,0,0,0,0,
4,51,0,0,0,0,
4,52,0,0,0,0,
4,53,0,0,0,0,
4,54,0,0,0,0,
4,55,0,0,0,0,
4,56,0,0,0,0,
4,57,0,0,0,0,
4,58,0,0,0,0,
4,59,0,0,0,0,
4,0,0,0,0,0,
