Rk,Team,Date,Opp,Result,Winner,Location,Type,Order
1,North Carolina,"November 8, 2024",Kansas,L 89-92,Kansas,"Lawrence, Kansas",Non-Conference,1
2,North Carolina,"April 4, 2022",Kansas,L 69-72,Kansas,"New Orleans, Lousiana",NCAA Final,2
3,North Carolina,"March 23, 2013",Kansas,L 58-70,Kansas,"Kansas City, Missouri",NCAA Second Round,3
4,North Carolina,"March 25, 2012",Kansas,L 67-80,Kansas,"St. Louis, Missouri",NCAA Elite Eight,4
5,North Carolina,"April 5, 2008",Kansas,L 66-84,Kansas,"San Antonio, Texas",NCAA Semifinal ,5
6,North Carolina,"November 27, 2002",Kansas,W 67-56,North Carolina,MSG (New York),Non-Conference,6
7,North Carolina,"April 3, 1993",Kansas,W 78-68,North Carolina,"New Orleans, Lousiana",NCAA Semifinal ,7
8,North Carolina,"March 30, 1991",Kansas,L 73-79,Kansas,"Indianapolis, Indiana",NCAA Semifinal ,8
9,North Carolina,"November 28, 1981",Kansas,W 74-67,North Carolina,"Charlotte, North Carolina",Non-Conference,9
10,North Carolina,"January 3, 1981",Kansas,L 55-56,Kansas,"Kansas City, Missouri",Non-Conference,10
11,North Carolina,"December 17, 1960",Kansas,W 78-70,North Carolina,"Lawrence, Kansas",Non-Conference,11
12,North Carolina,"December 11, 1959",Kansas,W 60-49,North Carolina,"Raleigh, North Carolina",Non-Conference,12
13,North Carolina,"March 23, 1957",Kansas,W 54-53 (3OT),North Carolina,"Kansas City, Missouri",NCAA Final,13
