,,,,,,,,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,,
Rk,Team,Date,TD,Day,G#,,Opp.,Result,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
1,North Carolina,2025-11-15,0,Sat,10,@,Wake Forest,L 12-28,0,0,0,,6,4,66.7,0,0
2,North Carolina,2016-10-08,0,Sat,6,,Virginia Tech,L 3-34,0,0,0,,1,1,100.0,0,0
3,North Carolina,2011-11-05,0,Sat,10,@,North Carolina State,L 0-13,0,0,0,,0,0,,0,0
4,North Carolina,2025-10-04,1,Sat,5,,Clemson,L 10-38,1,1,1,100.0,2,1,50.0,0,0
5,North Carolina,2025-09-20,1,Sat,4,@,UCF,L 9-34,1,0,0,,1,1,100.0,0,0
6,North Carolina,2024-08-29,1,Thu,1,@,Minnesota,W 19-17,1,1,1,100.0,4,4,100.0,0,0
7,North Carolina,2023-12-27,1,Wed,13,N,West Virginia,L 10-30,1,1,1,100.0,1,1,100.0,0,0
8,North Carolina,2022-12-03,1,Sat,13,N,Clemson,L 10-39,1,1,1,100.0,2,1,50.0,0,0
9,North Carolina,2021-09-03,1,Fri,1,@,Virginia Tech,L 10-17,1,1,1,100.0,1,1,100.0,0,0
10,North Carolina,2018-10-13,1,Sat,5,,Virginia Tech,L 19-22,1,1,1,100.0,6,4,66.7,0,0
11,North Carolina,2018-09-27,1,Thu,4,@,Miami (FL),L 10-47,1,1,1,100.0,2,1,50.0,0,0
12,North Carolina,2018-09-08,1,Sat,2,@,East Carolina,L 19-41,1,1,1,100.0,4,4,100.0,0,0
13,North Carolina,2017-10-21,1,Sat,8,@,Virginia Tech,L 7-59,1,1,1,100.0,0,0,,0,0
14,North Carolina,2017-10-07,1,Sat,6,,Notre Dame,L 10-33,1,1,1,100.0,1,1,100.0,0,0
15,North Carolina,2017-09-30,1,Sat,5,@,Georgia Tech,L 7-33,1,1,1,100.0,2,0,0.0,0,0
16,North Carolina,2015-09-03,1,Thu,1,N,South Carolina,L 13-17,1,1,1,100.0,2,2,100.0,0,0
17,North Carolina,2014-11-29,1,Sat,12,,North Carolina State,L 7-35,1,1,1,100.0,1,0,0.0,0,0
18,North Carolina,2013-08-29,1,Thu,1,@,South Carolina,L 10-27,1,1,1,100.0,1,1,100.0,0,0
19,North Carolina,2010-11-13,1,Sat,10,,Virginia Tech,L 10-26,1,1,1,100.0,1,1,100.0,0,0
20,North Carolina,2010-10-23,1,Sat,7,@,Miami (FL),L 10-33,1,1,1,100.0,1,1,100.0,0,0
21,North Carolina,2025-11-08,2,Sat,9,,Stanford,W 20-15,2,2,2,100.0,2,2,100.0,0,0
22,North Carolina,2025-10-25,2,Sat,7,,Virginia,L 16-17 (OT),2,1,1,100.0,2,1,50.0,0,0
23,North Carolina,2025-10-17,2,Fri,6,@,California,L 18-21,2,1,1,100.0,1,1,100.0,1,0
