Season_1,Duke_1,NCState_1,Wake_1,W_1,L_1,Empty,Season_2,Duke_2,NCState_2,Wake_2,W_2,L_2
2025,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,0,2,,2005,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,,2,0
2024,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,1,2,,2004,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2023,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,1,1,,2003,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,1,2
2022,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1,,2002,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,1,2
2021,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1,,2001,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,2,1
2020,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0,,2000,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,2,1
2019,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,2,1,,1999,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/154.png' style='height: 20px; width: auto; vertical-align: -30%;'>,2,1
2018,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,0,2,,1998,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2017,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,0,2,,1997,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
2016,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 20px; width: auto; vertical-align: -30%;'> ,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 24px; width: auto; vertical-align: -30%;'>,,0,2,,1996,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 22px; width: auto; vertical-align: -30%;'>,3,0
