Rk,Team,Date,Season,Day,G#,,Opp.,Result
1,North Carolina,11/30/24,2024,Sat,12,,North Carolina State,L 30-35
2,North Carolina,11/25/23,2023,Sat,12,@,North Carolina State,L 20-39
3,North Carolina,11/25/22,2022,Fri,12,,North Carolina State,L 27-30 (2OT)
4,North Carolina,11/26/21,2021,Fri,12,@,North Carolina State,L 30-34
5,North Carolina,10/24/20,2020,Sat,5,,North Carolina State,W 48-21
6,North Carolina,11/30/19,2019,Sat,12,@,North Carolina State,W 41-10
7,North Carolina,11/24/18,2018,Sat,11,,North Carolina State,L 28-34 (OT)
8,North Carolina,11/25/17,2017,Sat,12,@,North Carolina State,L 21-33
9,North Carolina,11/25/16,2016,Fri,12,,North Carolina State,L 21-28
10,North Carolina,11/28/15,2015,Sat,12,@,North Carolina State,W 45-34
11,North Carolina,11/29/14,2014,Sat,12,,North Carolina State,L 7-35
12,North Carolina,11/2/13,2013,Sat,8,@,North Carolina State,W 27-19
13,North Carolina,10/27/12,2012,Sat,9,,North Carolina State,W 43-35
14,North Carolina,11/5/11,2011,Sat,10,@,North Carolina State,L 0-13
15,North Carolina,11/20/10,2010,Sat,11,,North Carolina State,L 25-29
16,North Carolina,11/28/09,2009,Sat,12,@,North Carolina State,L 27-28
17,North Carolina,11/22/08,2008,Sat,11,,North Carolina State,L 10-41
18,North Carolina,11/10/07,2007,Sat,10,@,North Carolina State,L 27-31
19,North Carolina,11/18/06,2006,Sat,11,,North Carolina State,W 23-9
20,North Carolina,9/24/05,2005,Sat,3,@,North Carolina State,W 31-24
21,North Carolina,10/9/04,2004,Sat,6,,North Carolina State,W 30-24
22,North Carolina,9/27/03,2003,Sat,4,@,North Carolina State,L 34-47
23,North Carolina,10/12/02,2002,Sat,6,,North Carolina State,L 17-34
24,North Carolina,9/29/01,2001,Sat,5,@,North Carolina State,W 17-9
25,North Carolina,10/14/00,2000,Sat,6,,North Carolina State,L 20-38
26,North Carolina,11/11/99,1999,Thu,10,N,North Carolina State,W 10-6
27,North Carolina,11/28/98,1998,Sat,11,N,North Carolina State,W 37-34 (OT)
28,North Carolina,10/18/97,1997,Sat,7,@,North Carolina State,W 20-7
29,North Carolina,11/2/96,1996,Sat,8,,North Carolina State,W 52-20
30,North Carolina,11/24/95,1995,Fri,11,@,North Carolina State,W 30-28
31,North Carolina,10/29/94,1994,Sat,8,,North Carolina State,W 31-17
32,North Carolina,9/25/93,1993,Sat,5,@,North Carolina State,W 35-14
33,North Carolina,9/26/92,1992,Sat,4,,North Carolina State,L 20-27
34,North Carolina,9/28/91,1991,Sat,3,@,North Carolina State,L 7-24
35,North Carolina,9/29/90,1990,Sat,5,,North Carolina State,L 9-12
36,North Carolina,9/23/89,1989,Sat,3,@,North Carolina State,L 6-40
37,North Carolina,10/15/88,1988,Sat,6,,North Carolina State,L 3-48
38,North Carolina,10/17/87,1987,Sat,7,@,North Carolina State,W 17-14
39,North Carolina,10/18/86,1986,Sat,6,,North Carolina State,L 34-35
40,North Carolina,10/19/85,1985,Sat,6,@,North Carolina State,W 21-14
41,North Carolina,10/20/84,1984,Sat,6,,North Carolina State,W 28-21
42,North Carolina,10/15/83,1983,Sat,7,@,North Carolina State,W 42-14
43,North Carolina,10/16/82,1982,Sat,6,,North Carolina State,W 41-9
44,North Carolina,10/17/81,1981,Sat,6,@,North Carolina State,W 21-10
45,North Carolina,10/18/80,1980,Sat,6,,North Carolina State,W 28-8
46,North Carolina,10/20/79,1979,Sat,6,@,North Carolina State,W 35-21
47,North Carolina,10/21/78,1978,Sat,6,,North Carolina State,L 7-34
48,North Carolina,10/15/77,1977,Sat,6,@,North Carolina State,W 27-14
49,North Carolina,10/16/76,1976,Sat,6,,North Carolina State,L 13-21
50,North Carolina,10/18/75,1975,Sat,6,@,North Carolina State,L 20-21
