"","game_id","date","year","type","location","result","team","conf","opp","opp_conf","min","pos","fgm","fga","fg_pct","tpm","tpa","tp_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","pts","opp_fgm","opp_fga","opp_fg_pct","opp_tpm","opp_tpa","opp_tp_pct","opp_ftm","opp_fta","opp_ft_pct","opp_oreb","opp_dreb","opp_reb","opp_ast","opp_stl","opp_blk","opp_to","opp_pf","opp_pts","loc","pts_scored","pts_allowed","adj_o","adj_d","off_ppp","off_efg","off_to","off_or","off_ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","tempo","coach","opp_coach","avg_marg"
"1","Abilene ChristianArizona12-16",2025-12-16,2026,"nc","A","L","Abilene Christian","B12","Arizona","WAC","200",74,20,56,0.357142857142857,6,16,0.375,16,25,0.64,11,12,23,11,13,0,16,26,62,30,45,0.666666666666667,6,14,0.428571428571429,30,38,0.789473684210526,7,31,38,18,12,5,19,19,96,"A",62,96,101.7,111.2,83.78,41.07,21.62,26.19,44.64,129.73,73.33,25.68,36.84,84.44,26.5,74,"Brette Tanner","Tommy Lloyd",-17.3856
"2","Abilene ChristianArizona12-16",2025-12-16,2026,"nc","H","W","Arizona","B12","Abilene Christian","WAC","200",74,30,45,0.666666666666667,6,14,0.428571428571429,30,38,0.789473684210526,7,31,38,18,12,5,19,19,96,20,56,0.357142857142857,6,16,0.375,16,25,0.64,11,12,23,11,13,0,16,26,62,"H",96,62,129.2,90.7,129.73,73.33,25.68,36.84,84.44,83.78,41.07,21.62,26.19,44.64,98.3,74,"Tommy Lloyd","Brette Tanner",17.3856
"3","Abilene ChristianBYU12-19",2025-12-19,2026,"nc","A","L","Abilene Christian","B12","BYU","WAC","200",71.6,24,59,0.406779661016949,5,16,0.3125,14,15,0.933333333333333,12,14,26,14,7,0,16,30,67,25,42,0.595238095238095,6,16,0.375,29,40,0.725,6,24,30,15,12,9,18,11,85,"A",67,85,109.7,99.6,93.58,44.92,22.35,33.33,25.42,118.72,66.67,25.14,30,95.24,75.2,71.6,"Brette Tanner","Kevin Young",-4.61365
"4","Abilene ChristianBYU12-19",2025-12-19,2026,"nc","H","W","BYU","B12","Abilene Christian","WAC","200",71.6,25,42,0.595238095238095,6,16,0.375,29,40,0.725,6,24,30,15,12,9,18,11,85,24,59,0.406779661016949,5,16,0.3125,14,15,0.933333333333333,12,14,26,14,7,0,16,30,67,"H",85,67,116.1,103.1,118.72,66.67,25.14,30,95.24,93.58,44.92,22.35,33.33,25.42,79.7,71.6,"Kevin Young","Brette Tanner",4.61365
"5","Abilene ChristianPepperdine12-2",2025-12-02,2026,"nc","A","W","Abilene Christian","WCC","Pepperdine","WAC","200",61.9,23,52,0.442307692307692,8,22,0.363636363636364,17,23,0.739130434782609,9,20,29,17,8,6,8,23,71,19,45,0.422222222222222,6,17,0.352941176470588,19,25,0.76,6,21,27,13,2,1,11,14,63,"A",71,63,119.1,105.4,114.7,51.92,12.92,30,44.23,101.78,48.89,17.77,23.08,55.56,80.3,61.9,"Brette Tanner","Ed Schilling",7.9643
"6","Abilene ChristianPepperdine12-2",2025-12-02,2026,"nc","H","L","Pepperdine","WCC","Abilene Christian","WAC","200",61.9,19,45,0.422222222222222,6,17,0.352941176470588,19,25,0.76,6,21,27,13,2,1,11,14,63,23,52,0.442307692307692,8,22,0.363636363636364,17,23,0.739130434782609,9,20,29,17,8,6,8,23,71,"H",63,71,100.7,123.4,101.78,48.89,17.77,23.08,55.56,114.7,51.92,12.92,30,44.23,8.8,61.9,"Ed Schilling","Brette Tanner",-7.9643
"7","Abilene ChristianStephen F. Austin11-14",2025-11-14,2026,"nc","A","L","Abilene Christian","Slnd","Stephen F. Austin","WAC","200",67.2,24,57,0.421052631578947,2,10,0.2,16,19,0.842105263157895,10,29,39,12,4,5,11,21,66,24,53,0.452830188679245,13,23,0.565217391304348,15,26,0.576923076923077,6,23,29,14,5,5,8,15,76,"A",66,76,105.7,107.9,98.21,43.86,16.37,30.3,33.33,113.1,57.55,11.9,17.14,49.06,44.1,67.2,"Brette Tanner","Matt Braeuer",-1.19638
"8","Abilene ChristianStephen F. Austin11-14",2025-11-14,2026,"nc","H","W","Stephen F. Austin","Slnd","Abilene Christian","WAC","200",67.2,24,53,0.452830188679245,13,23,0.565217391304348,15,26,0.576923076923077,6,23,29,14,5,5,8,15,76,24,57,0.421052631578947,2,10,0.2,16,19,0.842105263157895,10,29,39,12,4,5,11,21,66,"H",76,66,111.1,107.2,113.1,57.55,11.9,17.14,49.06,98.21,43.86,16.37,30.3,33.33,60.2,67.2,"Matt Braeuer","Brette Tanner",1.19638
"9","Abilene ChristianTexas St.11-18",2025-11-18,2026,"nc","A","L","Abilene Christian","Sun Belt","Texas St.","WAC","200",63.2,17,55,0.309090909090909,5,15,0.333333333333333,10,19,0.526315789473684,17,17,34,6,14,5,16,19,49,21,46,0.456521739130435,5,8,0.625,16,22,0.727272727272727,12,26,38,8,11,9,19,15,63,"A",49,63,77.9,106.1,77.53,35.45,25.32,39.53,34.55,99.68,51.09,30.06,41.38,47.83,2.8,63.2,"Brette Tanner","Terrence Johnson",-10.4342
"10","Abilene ChristianTexas St.11-18",2025-11-18,2026,"nc","H","W","Texas St.","Sun Belt","Abilene Christian","WAC","200",63.2,21,46,0.456521739130435,5,8,0.625,16,22,0.727272727272727,12,26,38,8,11,9,19,15,63,17,55,0.309090909090909,5,15,0.333333333333333,10,19,0.526315789473684,17,17,34,6,14,5,16,19,49,"H",63,49,102.1,80.4,99.68,51.09,30.06,41.38,47.83,77.53,35.45,25.32,39.53,34.55,94,63.2,"Terrence Johnson","Brette Tanner",10.4342
