RK,Team,CONF,Week,,,
1,Ohio State,Big Ten,15.00,,,
2,Indiana,Big Ten,15.00,,,
3,Georgia,SEC,15.00,,,
4,Texas Tech,Big 12,15.00,,,
5,Oregon,Big Ten,15.00,,,
6,Ole Miss,SEC,15.00,,,
7,Texas A&M,SEC,15.00,,,
8,Oklahoma,SEC,15.00,,,
9,Alabama,SEC,15.00,,,
10,Notre Dame,FBS Indep.,15.00,,,
11,BYU,Big 12,15.00,,,
12,Miami,ACC,15.00,,,
13,Texas,SEC,15.00,,,
14,Vanderbilt,SEC,15.00,,,
15,Utah,Big 12,15.00,,,
16,USC,Big Ten,15.00,,,
17,Virginia,ACC,15.00,,,
18,Arizona,Big 12,15.00,,,
19,Michigan,Big Ten,15.00,,,
20,Tulane,American,15.00,,,
21,Houston,Big 12,15.00,,,
22,Georgia Tech,ACC,15.00,,,
23,Iowa,Big Ten,15.00,,,
24,North Texas,American,15.00,,,
25,James Madison,Sun Belt,15.00,,,
1,Ohio State,Big Ten,11.00,,,
2,Indiana,Big Ten,11.00,,,
3,Texas A&M,SEC,11.00,,,
4,Alabama,SEC,11.00,,,
5,Georgia,SEC,11.00,,,
6,Ole Miss,SEC,11.00,,,
7,BYU,Big 12,11.00,,,
8,Texas Tech,Big 12,11.00,,,
9,Oregon,Big Ten,11.00,,,
10,Notre Dame,FBS Indep.,11.00,,,
11,Texas,SEC,11.00,,,
12,Oklahoma,SEC,11.00,,,
13,Utah,Big 12,11.00,,,
14,Virginia,ACC,11.00,,,
15,Louisville,ACC,11.00,,,
16,Vanderbilt,SEC,11.00,,,
17,Georgia Tech,ACC,11.00,,,
18,Miami,ACC,11.00,,,
19,USC,Big Ten,11.00,,,
20,Iowa,Big Ten,11.00,,,
21,Michigan,Big Ten,11.00,,,
22,Missouri,SEC,11.00,,,
23,Washington,Big Ten,11.00,,,
24,Pittsburgh,ACC,11.00,,,
25,Tennessee,SEC,11.00,,,
1,Ohio State,Big Ten,12.00,,,
2,Indiana,Big Ten,12.00,,,
3,Texas A&M,SEC,12.00,,,
4,Alabama,SEC,12.00,,,
5,Georgia,SEC,12.00,,,
6,Texas Tech,Big 12,12.00,,,
7,Ole Miss,SEC,12.00,,,
8,Oregon,Big Ten,12.00,,,
9,Notre Dame,FBS Indep.,12.00,,,
10,Texas,SEC,12.00,,,
11,Oklahoma,SEC,12.00,,,
12,BYU,Big 12,12.00,,,
13,Utah,Big 12,12.00,,,
14,Vanderbilt,SEC,12.00,,,
15,Miami,ACC,12.00,,,
16,Georgia Tech,ACC,12.00,,,
17,USC,Big Ten,12.00,,,
18,Michigan,Big Ten,12.00,,,
19,Virginia,ACC,12.00,,,
20,Louisville,ACC,12.00,,,
21,Iowa,Big Ten,12.00,,,
22,Pittsburgh,ACC,12.00,,,
23,Tennessee,SEC,12.00,,,
24,South Florida,American,12.00,,,
25,Cincinnati,Big 12,12.00,,,
1,Ohio State,Big Ten,13.00,,,
2,Indiana,Big Ten,13.00,,,
3,Texas A&M,SEC,13.00,,,
4,Georgia,SEC,13.00,,,
5,Texas Tech,Big 12,13.00,,,
6,Ole Miss,SEC,13.00,,,
7,Oregon,Big Ten,13.00,,,
8,Oklahoma,SEC,13.00,,,
9,Notre Dame,FBS Indep.,13.00,,,
10,Alabama,SEC,13.00,,,
11,BYU,Big 12,13.00,,,
12,Utah,Big 12,13.00,,,
13,Miami,ACC,13.00,,,
14,Vanderbilt,SEC,13.00,,,
15,USC,Big Ten,13.00,,,
16,Georgia Tech,ACC,13.00,,,
17,Texas,SEC,13.00,,,
18,Michigan,Big Ten,13.00,,,
19,Virginia,ACC,13.00,,,
20,Tennessee,SEC,13.00,,,
21,Illinois,Big Ten,13.00,,,
22,Missouri,SEC,13.00,,,
23,Houston,Big 12,13.00,,,
24,Tulane,American,13.00,,,
25,Arizona State,Big 12,13.00,,,
1,Ohio State,Big Ten,14.00,,,
2,Indiana,Big Ten,14.00,,,
3,Texas A&M,SEC,14.00,,,
4,Georgia,SEC,14.00,,,
5,Texas Tech,Big 12,14.00,,,
6,Oregon,Big Ten,14.00,,,
7,Ole Miss,SEC,14.00,,,
8,Oklahoma,SEC,14.00,,,
9,Notre Dame,FBS Indep.,14.00,,,
10,Alabama,SEC,14.00,,,
11,BYU,Big 12,14.00,,,
12,Miami,ACC,14.00,,,
13,Utah,Big 12,14.00,,,
14,Vanderbilt,SEC,14.00,,,
15,Michigan,Big Ten,14.00,,,
16,Texas,SEC,14.00,,,
17,USC,Big Ten,14.00,,,
18,Virginia,ACC,14.00,,,
19,Tennessee,SEC,14.00,,,
20,Arizona State,Big 12,14.00,,,
21,SMU,ACC,14.00,,,
22,Pittsburgh,ACC,14.00,,,
23,Georgia Tech,ACC,14.00,,,
24,Tulane,American,14.00,,,
25,Arizona,Big 12,14.00,,,
