"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"1","Air ForceBelmont11-3",2025-11-03,"nc","Air Force","Belmont","MWC","MVC","A","L","63-79",0.104650089174593,0.805485288579178,0.789142831518436,0.474728855105844,-0.474728855105844,41.8,"played",NA,NA,NA,64,"Q1"
"2","Air ForceBelmont11-3",2025-11-03,"nc","Belmont","Air Force","MVC","MWC","H","W","79-63",0.805485288579178,0.104650089174593,0.87694452176131,0.983863458031874,0.0161365419681263,40.3,"played",NA,NA,NA,338,"Q4"
"3","AlbanyMarquette11-3",2025-11-03,"nc","Albany","Marquette","AE","BE","A","L","53-80",0.188261026163404,0.681537231775973,0.789142831518436,0.636202854073994,-0.636202854073994,5.4,"played",NA,NA,NA,142,"Q3"
"4","AlbanyMarquette11-3",2025-11-03,"nc","Marquette","Albany","BE","AE","H","W","80-53",0.681537231775973,0.188261026163404,0.87694452176131,0.968481595233836,0.0315184047661637,89.7,"played",NA,NA,NA,309,"Q4"
"5","AmericanWake Forest11-3",2025-11-03,"nc","American","Wake Forest","Pat","ACC","A","L","74-88",0.352572676430791,0.83012175685274,0.789142831518436,0.43371150813991,-0.43371150813991,39.4,"played",NA,NA,NA,66,"Q1"
"6","AmericanWake Forest11-3",2025-11-03,"nc","Wake Forest","American","ACC","Pat","H","W","88-74",0.83012175685274,0.352572676430791,0.87694452176131,0.929008530902747,0.0709914690972531,80.3,"played",NA,NA,NA,229,"Q4"
"7","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Appalachian St.","Central Michigan","SB","MAC","A","L","66-82",0.333508403367185,0.243812010180397,0.789142831518436,0.920682677349569,-0.920682677349569,1.9,"played",NA,NA,NA,330,"Q4"
"8","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Central Michigan","Appalachian St.","MAC","SB","H","W","82-66",0.243812010180397,0.333508403367185,0.87694452176131,0.934390129794183,0.0656098702058167,89.1,"played",NA,NA,NA,210,"Q4"
"9","ArizonaFlorida11-3",2025-11-03,"nc","Arizona","Florida","B12","SEC","N","W","93-87",0.969472814290675,0.956249925362054,0.837778001870703,0.191121619935827,0.808878380064173,97.2,"played",NA,NA,NA,14,"Q1"
"10","ArizonaFlorida11-3",2025-11-03,"nc","Florida","Arizona","SEC","B12","N","L","87-93",0.956249925362054,0.969472814290675,0.837778001870703,0.139872731460227,-0.139872731460227,95.3,"played",NA,NA,NA,3,"Q1"
