"","date","team","rank","rtg"
"1",2025-11-30,"Texas",34,"torvik"
"2",2025-12-01,"Texas",34,"torvik"
"3",2025-12-02,"Texas",35,"torvik"
"4",2025-12-03,"Texas",45,"torvik"
"5",2025-12-04,"Texas",46,"torvik"
"6",2025-12-05,"Texas",46,"torvik"
"7",2025-12-06,"Texas",43,"torvik"
"8",2025-12-07,"Texas",45,"torvik"
"9",2025-12-08,"Texas",42,"torvik"
"10",2025-12-09,"Texas",41,"torvik"
"11",2025-12-10,"Texas",41,"torvik"
"12",2025-12-11,"Texas",40,"torvik"
"13",2025-12-12,"Texas",40,"torvik"
"14",2025-12-13,"Texas",41,"torvik"
"15",2025-12-14,"Texas",42,"torvik"
"16",2025-12-15,"Texas",42,"torvik"
"17",2025-12-16,"Texas",40,"torvik"
"18",2025-12-17,"Texas",40,"torvik"
"19",2025-12-18,"Texas",40,"torvik"
"20",2025-12-19,"Texas",40,"torvik"
"21",2025-12-20,"Texas",39,"torvik"
"22",2025-12-21,"Texas",40,"torvik"
"23",2025-12-22,"Texas",44,"torvik"
"24",2025-12-23,"Texas",43,"torvik"
"25",2025-12-24,"Texas",43,"torvik"
"26",2025-12-25,"Texas",43,"torvik"
"27",2025-12-26,"Texas",43,"torvik"
"28",2025-12-27,"Texas",43,"torvik"
"29",2025-12-28,"Texas",45,"torvik"
"30",2025-12-29,"Texas",45,"torvik"
"31",2025-12-30,"Texas",45,"torvik"
"32",2025-12-31,"Texas",45,"torvik"
"33",2026-01-01,"Texas",45,"torvik"
"34",2026-01-02,"Texas",45,"torvik"
"35",2026-01-03,"Texas",51,"torvik"
"36",2026-01-04,"Texas",52,"torvik"
"37",2026-01-05,"Texas",51,"torvik"
"38",2026-01-06,"Texas",56,"torvik"
"39",2026-01-07,"Texas",55,"torvik"
"40",2026-01-08,"Texas",52,"torvik"
"41",2026-01-09,"Texas",53,"torvik"
"42",2026-01-10,"Texas",49,"torvik"
"43",2026-01-11,"Texas",49,"torvik"
"44",2026-01-12,"Texas",49,"torvik"
"45",2026-01-13,"Texas",46,"torvik"
"46",2026-01-14,"Texas",37,"torvik"
"47",2026-01-15,"Texas",38,"torvik"
"48",2026-01-16,"Texas",38,"torvik"
"49",2026-01-17,"Texas",42,"torvik"
