Rk,Team,Date,,Opp,Result
1,North Carolina,2025-03-14,N,Duke,L 71-74
2,North Carolina,2025-03-08,,Duke,L 69-82
3,North Carolina,2025-02-01,@,Duke,L 70-87
4,North Carolina,2024-03-09,@,Duke,W 84-79
5,North Carolina,2024-02-03,,Duke,W 93-84
6,North Carolina,2023-03-04,,Duke,L 57-62
7,North Carolina,2023-02-04,@,Duke,L 57-63
8,North Carolina,2022-04-02 NCAA,N,Duke,W 81-77
9,North Carolina,2022-03-05,@,Duke,W 94-81
10,North Carolina,2022-02-05,,Duke,L 67-87
11,North Carolina,2021-03-06,,Duke,W 91-73
12,North Carolina,2021-02-06,@,Duke,W 91-87
13,North Carolina,2020-03-07,@,Duke,L 76-89
14,North Carolina,2020-02-08,,Duke,L 96-98 (OT)
15,North Carolina,2019-03-15,N,Duke,L 73-74
16,North Carolina,2019-03-09,,Duke,W 79-70
17,North Carolina,2019-02-20,@,Duke,W 88-72
18,North Carolina,2018-03-09,N,Duke,W 74-69
19,North Carolina,2018-03-03,@,Duke,L 64-74
20,North Carolina,2018-02-08,,Duke,W 82-78
21,North Carolina,2017-03-10,N,Duke,L 83-93
22,North Carolina,2017-03-04,,Duke,W 90-83
23,North Carolina,2017-02-09,@,Duke,L 78-86
24,North Carolina,2016-03-05,@,Duke,W 76-72
25,North Carolina,2016-02-17,,Duke,L 73-74
26,North Carolina,2015-03-07,,Duke,L 77-84
27,North Carolina,2015-02-18,@,Duke,L 90-92 (OT)
28,North Carolina,2014-03-08,@,Duke,L 81-93
29,North Carolina,2014-02-20,,Duke,W 74-66
30,North Carolina,2013-03-09,,Duke,L 53-69
31,North Carolina,2013-02-13,@,Duke,L 68-73
32,North Carolina,2012-03-03,@,Duke,W 88-70
33,North Carolina,2012-02-08,,Duke,L 84-85
34,North Carolina,2011-03-13,N,Duke,L 58-75
35,North Carolina,2011-03-05,,Duke,W 81-67
36,North Carolina,2011-02-09,@,Duke,L 73-79
37,North Carolina,2010-03-06,@,Duke,L 50-82
38,North Carolina,2010-02-10,,Duke,L 54-64
39,North Carolina,2009-03-08,,Duke,W 79-71
40,North Carolina,2009-02-11,@,Duke,W 101-87
41,North Carolina,2008-03-08,@,Duke,W 76-68
42,North Carolina,2008-02-06,,Duke,L 78-89
43,North Carolina,2007-03-04,,Duke,W 86-72
44,North Carolina,2007-02-07,@,Duke,W 79-73
45,North Carolina,2006-03-04,@,Duke,W 83-76
46,North Carolina,2006-02-07,,Duke,L 83-87
47,North Carolina,2005-03-06,,Duke,W 75-73
48,North Carolina,2005-02-09,@,Duke,L 70-71
49,North Carolina,2004-03-06,@,Duke,L 65-70
50,North Carolina,2004-02-05,,Duke,L 81-83 (OT)
51,North Carolina,2003-03-15,N,Duke,L 63-75
52,North Carolina,2003-03-09,,Duke,W 82-79
53,North Carolina,2003-02-05,@,Duke,L 74-83
54,North Carolina,2002-03-08,N,Duke,L 48-60
55,North Carolina,2002-03-03,@,Duke,L 68-93
56,North Carolina,2002-01-31,,Duke,L 58-87
57,North Carolina,2001-03-11,N,Duke,L 53-79
58,North Carolina,2001-03-04,,Duke,L 81-95
59,North Carolina,2001-02-01,@,Duke,W 85-83
60,North Carolina,2000-03-04,@,Duke,L 76-90
61,North Carolina,2000-02-03,,Duke,L 86-90 (OT)
62,North Carolina,1999-03-07,N,Duke,L 73-96
