"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","ot","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"1","Air ForceBelmont11-3",2025-11-03,"nc","Air Force","Belmont","MVC","MWC","A","L","63-79",0.0954150077198554,0.81782895857489,0.815734176399566,0.496500543469613,-0.496500543469613,43.7,"played",0,NA,NA,NA,60,"Q1"
"2","Air ForceBelmont11-3",2025-11-03,"nc","Belmont","Air Force","MVC","MWC","H","W","79-63",0.81782895857489,0.0954150077198554,0.893951141861633,0.98764169411059,0.0123583058894106,37.9,"played",0,NA,NA,NA,343,"Q4"
"3","AlbanyMarquette11-3",2025-11-03,"nc","Albany","Marquette","BE","AE","A","L","53-80",0.132338404711434,0.776888777558363,0.815734176399566,0.559733939314599,-0.559733939314599,8.5,"played",0,NA,NA,NA,108,"Q2"
"4","AlbanyMarquette11-3",2025-11-03,"nc","Marquette","Albany","BE","AE","H","W","80-53",0.776888777558363,0.132338404711434,0.893951141861633,0.982227849712891,0.0177721502871087,85.1,"played",0,NA,NA,NA,332,"Q4"
"5","AmericanWake Forest11-3",2025-11-03,"nc","American","Wake Forest","ACC","Pat","A","L","74-88",0.264703393049615,0.831324523967102,0.815734176399566,0.473192106442778,-0.473192106442778,39.6,"played",0,NA,NA,NA,65,"Q1"
"6","AmericanWake Forest11-3",2025-11-03,"nc","Wake Forest","American","ACC","Pat","H","W","88-74",0.831324523967102,0.264703393049615,0.893951141861633,0.959043081286314,0.0409569187136859,73,"played",0,NA,NA,NA,257,"Q4"
"7","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Appalachian St.","Central Michigan","MAC","Sun Belt","A","L","66-82",0.432313619223476,0.324458491833781,0.815734176399566,0.902125369242959,-0.902125369242959,2.8,"played",0,NA,NA,NA,304,"Q4"
"8","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Central Michigan","Appalachian St.","MAC","Sun Belt","H","W","82-66",0.324458491833781,0.432313619223476,0.893951141861633,0.917144661175389,0.0828553388246107,92.6,"played",0,NA,NA,NA,167,"Q4"
"9","ArizonaFlorida11-3",2025-11-03,"nc","Arizona","Florida","SEC","B12","N","W","93-87",0.977232178985069,0.974089313300477,0.859329259582028,0.139780130102468,0.860219869897532,98.3,"played",0,NA,NA,NA,7,"Q1A"
"10","ArizonaFlorida11-3",2025-11-03,"nc","Florida","Arizona","SEC","B12","N","L","87-93",0.974089313300477,0.977232178985069,0.859329259582028,0.124591972182449,-0.124591972182449,96.5,"played",0,NA,NA,NA,2,"Q1A"
"11","Arkansas Pine BluffWashington11-3",2025-11-03,"nc","Arkansas Pine Bluff","Washington","B10","SWAC","A","L","50-94",0.234684187321356,0.885028759907941,0.815734176399566,0.365115580954377,-0.365115580954377,2.8,"played",0,NA,NA,NA,55,"Q1"
"12","Arkansas Pine BluffWashington11-3",2025-11-03,"nc","Washington","Arkansas Pine Bluff","B10","SWAC","H","W","94-50",0.885028759907941,0.234684187321356,0.893951141861633,0.964899177652084,0.0351008223479162,98.8,"played",0,NA,NA,NA,293,"Q4"
"13","Arkansas St.Ohio11-3",2025-11-03,"nc","Arkansas St.","Ohio","MAC","Sun Belt","A","W","89-85",0.477996779374645,0.462966464613278,0.815734176399566,0.837005618248167,0.162994381751833,49.1,"played",0,NA,NA,NA,216,"Q3"
"14","Arkansas St.Ohio11-3",2025-11-03,"nc","Ohio","Arkansas St.","MAC","Sun Belt","H","L","85-89",0.462966464613278,0.477996779374645,0.893951141861633,0.90201537366427,-0.90201537366427,45,"played",0,NA,NA,NA,141,"Q3"
"15","BellarmineGeorgia11-3",2025-11-03,"nc","Bellarmine","Georgia","SEC","ASun","A","L","59-104",0.178669423254878,0.901466723315452,0.815734176399566,0.32609076457354,-0.32609076457354,8.6,"played",0,NA,NA,NA,35,"Q1A"
