"","team","wins","loss","win_pct","pd","home_w","home_l","home_wp","home_pd","away_w","away_l","away_wp","away_pd"
"1","Boston College",2,11,0.153846153846154,-106,2,5,0.285714285714286,-27,0,6,0,-79
"2","California",6,7,0.461538461538462,-57,3,3,0.5,-45,3,4,0.428571428571429,-12
"3","Clemson",10,4,0.714285714285714,75,4,2,0.666666666666667,35,6,2,0.75,40
"4","Duke",13,1,0.928571428571429,220,7,0,1,133,6,1,0.857142857142857,87
"5","Florida St.",6,7,0.461538461538462,-30,3,4,0.428571428571429,-34,3,3,0.5,4
"6","Georgia Tech",2,12,0.142857142857143,-154,1,6,0.142857142857143,-93,1,6,0.142857142857143,-61
"7","Louisville",8,5,0.615384615384615,97,5,2,0.714285714285714,73,3,3,0.5,24
"8","Miami FL",10,3,0.769230769230769,55,5,2,0.714285714285714,33,5,1,0.833333333333333,22
"9","N.C. State",10,4,0.714285714285714,89,4,3,0.571428571428571,46,6,1,0.857142857142857,43
"10","North Carolina",8,5,0.615384615384615,28,6,0,1,65,2,5,0.285714285714286,-37
"11","Notre Dame",3,10,0.230769230769231,-76,2,4,0.333333333333333,-14,1,6,0.142857142857143,-62
"12","Pittsburgh",2,11,0.153846153846154,-129,1,6,0.142857142857143,-97,1,5,0.166666666666667,-32
"13","SMU",7,6,0.538461538461538,36,5,2,0.714285714285714,31,2,4,0.333333333333333,5
"14","Stanford",5,8,0.384615384615385,-49,3,4,0.428571428571429,-19,2,4,0.333333333333333,-30
"15","Syracuse",6,8,0.428571428571429,-51,4,3,0.571428571428571,16,2,5,0.285714285714286,-67
"16","Virginia",11,2,0.846153846153846,124,4,1,0.8,67,7,1,0.875,57
"17","Virginia Tech",6,8,0.428571428571429,-22,4,3,0.571428571428571,-6,2,5,0.285714285714286,-16
"18","Wake Forest",5,8,0.384615384615385,-50,3,4,0.428571428571429,-26,2,4,0.333333333333333,-24
