Rk,Team,Date,,Opp,Conf,Result
1,Maryland,3/7/04,,Virginia,ACC,W 70-61
2,Virginia,3/7/04,@,Maryland,ACC,L 61-70
3,Duke,3/6/04,,North Carolina,ACC,W 70-65
4,Florida State,3/6/04,@,Georgia Tech,ACC,L 60-63
5,Georgia Tech,3/6/04,,Florida State,ACC,W 63-60
6,North Carolina,3/6/04,@,Duke,ACC,L 65-70
7,NC State,3/6/04,@,Wake Forest,ACC,W 81-70
8,Wake Forest,3/6/04,,NC State,ACC,L 70-81
9,Duke,3/3/04,,Georgia Tech,ACC,L 68-76
10,Georgia Tech,3/3/04,@,Duke,ACC,W 76-68
11,Maryland,3/3/04,@,NC State,ACC,W 70-69
12,NC State,3/3/04,,Maryland,ACC,L 69-70
13,Clemson,3/2/04,@,North Carolina,ACC,L 53-69
14,North Carolina,3/2/04,,Clemson,ACC,W 69-53
15,Virginia,3/2/04,,Wake Forest,ACC,W 84-82
16,Wake Forest,3/2/04,@,Virginia,ACC,L 82-84
17,Duke,2/29/04,@,Florida State,ACC,W 70-65
18,Florida State,2/29/04,,Duke,ACC,L 65-70
19,North Carolina,2/29/04,@,NC State,ACC,W 71-64
20,NC State,2/29/04,,North Carolina,ACC,L 64-71
21,Clemson,2/28/04,,Georgia Tech,ACC,L 60-79
22,Georgia Tech,2/28/04,@,Clemson,ACC,W 79-60
23,Maryland,2/28/04,,Wake Forest,ACC,L 83-91
24,Wake Forest,2/28/04,@,Maryland,ACC,W 91-83
25,Florida State,2/25/04,@,Wake Forest,ACC,L 87-90 (OT)
26,Georgia Tech,2/25/04,,NC State,ACC,L 69-79
27,NC State,2/25/04,@,Georgia Tech,ACC,W 79-69
28,Wake Forest,2/25/04,,Florida State,ACC,W 90-87 (OT)
29,Clemson,2/24/04,@,Maryland,ACC,L 49-70
30,Maryland,2/24/04,,Clemson,ACC,W 70-49
31,North Carolina,2/24/04,@,Virginia,ACC,L 72-74
32,Virginia,2/24/04,,North Carolina,ACC,W 74-72
33,Duke,2/22/04,,Maryland,ACC,W 86-63
34,Georgia Tech,2/22/04,,Wake Forest,ACC,L 76-80
35,Maryland,2/22/04,@,Duke,ACC,L 63-86
36,Wake Forest,2/22/04,@,Georgia Tech,ACC,W 80-76
37,Clemson,2/21/04,,Virginia,ACC,L 55-58
38,Florida State,2/21/04,@,North Carolina,ACC,L 71-78
39,North Carolina,2/21/04,,Florida State,ACC,W 78-71
40,Virginia,2/21/04,@,Clemson,ACC,W 58-55
41,Georgia Tech,2/19/04,@,Maryland,ACC,W 75-64
42,Maryland,2/19/04,,Georgia Tech,ACC,L 64-75
43,Clemson,2/18/04,,NC State,ACC,W 60-55
44,Duke,2/18/04,@,Wake Forest,ACC,L 84-90
45,NC State,2/18/04,@,Clemson,ACC,L 55-60
46,Wake Forest,2/18/04,,Duke,ACC,W 90-84
47,Florida State,2/17/04,,Virginia,ACC,W 76-57
48,Virginia,2/17/04,@,Florida State,ACC,L 57-76
49,Duke,2/15/04,@,NC State,ACC,L 74-78
