"","...1","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","ot","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"1",4796,"Florida St.North Carolina12-30",2025-12-30,"conf","Florida St.","North Carolina","ACC","ACC","A","L","66-79",0.703931079306463,0.934905855395931,0.81350605382126,0.232962777189066,-0.232962777189066,69.2,"played",0,NA,NA,NA,25,"Q1A"
"2",4797,"Florida St.North Carolina12-30",2025-12-30,"conf","North Carolina","Florida St.","ACC","ACC","H","W","79-66",0.934905855395931,0.703931079306463,0.89254422239904,0.77745708453767,0.22254291546233,93.8,"played",0,NA,NA,NA,82,"Q3"
"3",4802,"LouisvilleCalifornia12-30",2025-12-30,"conf","California","Louisville","ACC","ACC","H","L","70-90",0.835870962364523,0.92876167167339,0.89254422239904,0.389164751512596,-0.389164751512596,33.6,"played",0,NA,NA,NA,12,"Q1A"
"4",4803,"LouisvilleCalifornia12-30",2025-12-30,"conf","Louisville","California","ACC","ACC","A","W","90-70",0.92876167167339,0.835870962364523,0.81350605382126,0.461360513970864,0.538639486029136,99.2,"played",0,NA,NA,NA,61,"Q1"
"5",4816,"Notre DameStanford12-30",2025-12-30,"conf","Notre Dame","Stanford","ACC","ACC","A","W","47-40",0.654908528030864,0.826230086687757,0.81350605382126,0.478466674407366,0.521533325592634,97.3,"played",0,NA,NA,NA,70,"Q1"
"6",4817,"Notre DameStanford12-30",2025-12-30,"conf","Stanford","Notre Dame","ACC","ACC","H","L","40-47",0.826230086687757,0.654908528030864,0.89254422239904,0.814014673822222,-0.814014673822222,20,"played",0,NA,NA,NA,87,"Q3"
"7",4822,"PittsburghMiami FL12-30",2025-12-30,"conf","Miami FL","Pittsburgh","ACC","ACC","H","W","76-69",0.897834805092862,0.561740501274338,0.89254422239904,0.866315644865989,0.133684355134011,66.9,"played",0,NA,NA,NA,124,"Q3"
"8",4823,"PittsburghMiami FL12-30",2025-12-30,"conf","Pittsburgh","Miami FL","ACC","ACC","A","L","69-76",0.561740501274338,0.897834805092862,0.81350605382126,0.331714583489929,-0.331714583489929,84.8,"played",0,NA,NA,NA,35,"Q1A"
"9",4875,"ClemsonSyracuse12-31",2025-12-31,"conf","Clemson","Syracuse","ACC","ACC","A","W","64-61",0.880730864732573,0.837705722241952,0.81350605382126,0.458023769174496,0.541976230825504,92.6,"played",0,NA,NA,NA,69,"Q1"
"10",4876,"ClemsonSyracuse12-31",2025-12-31,"conf","Syracuse","Clemson","ACC","ACC","H","L","61-64",0.837705722241952,0.880730864732573,0.89254422239904,0.529372930212572,-0.529372930212572,75.2,"played",0,NA,NA,NA,31,"Q2"
