"","DataThrough","Season","TeamName","Seed","ConfShort","Coach","Wins","Losses","AdjEM","RankAdjEM","Pythag","RankPythag","AdjOE","RankAdjOE","OE","RankOE","AdjDE","RankAdjDE","DE","RankDE","Tempo","RankTempo","AdjTempo","RankAdjTempo","Luck","RankLuck","SOS","RankSOS","SOSO","RankSOSO","SOSD","RankSOSD","NCSOS","RankNCSOS","Event","APL_Off","RankAPL_Off","APL_Def","RankAPL_Def","ConfAPL_Off","RankConfAPL_Off","ConfAPL_Def","RankConfAPL_Def"
"1","End of season",2022,"Gonzaga",1,"WCC","Mark Few",28,4,30.95,1,0.968,1,120.672,3,118.061,2,89.7223,10,89.7889,5,73.7789,6,72.489,5,-0.0394,271,4.239,93,104.584,101,100.345,89,-2.8844,248,"NCAA",14.59,2,17.77,223,14.1,1,17.39,8
"2","End of season",2022,"Houston",5,"Amer","Kelvin Sampson",32,6,27.7036,2,0.9575,2,116.779,10,113.748,10,89.0751,8,89.3955,3,65.0876,322,63.6418,338,-0.0116,203,5.891,75,105.48,81,99.5894,62,0.1844,154,"NCAA",18.93,322,17.82,236,19.32,11,17.55,5
"3","End of season",2022,"Kansas",1,"B12","Bill Self",34,6,27.4855,3,0.9532,4,119.187,6,111.437,21,91.701,17,96.1531,43,69.5448,94,69.2864,65,0.0409,88,12.5952,1,107.977,20,95.3819,1,4.1264,49,"NCAA",16.39,43,18,280,16.62,1,18.23,7
"4","End of season",2022,"Baylor",1,"B12","Scott Drew",27,7,27.0396,4,0.9522,5,118.022,8,111.568,20,90.9821,13,92.7346,11,68.6022,144,67.3834,163,0.0045,163,10.9583,13,107.439,36,96.4804,7,-1.8937,216,"NCAA",17.08,108,17.69,203,18.02,5,17.5,3
"5","End of season",2022,"Arizona",1,"P12","Tommy Lloyd",33,4,25.9634,5,0.9449,7,118.553,7,114.737,6,92.5895,21,93.265,18,72.7151,19,72.2291,9,0.0485,75,6.4483,70,105.91,70,99.4621,58,-0.7785,180,"NCAA",15.09,4,17.92,270,15.18,1,18.12,11
"6","End of season",2022,"Kentucky",2,"SEC","John Calipari",26,8,25.7224,6,0.9413,8,120.001,5,114.128,9,94.2785,36,95.9264,41,69.2574,105,67.4665,150,-0.0426,279,8.8842,30,106.453,58,97.5691,14,-2.7192,242,"NCAA",16.94,89,17.7,206,17.28,7,17.54,10
"7","End of season",2022,"Texas Tech",3,"B12","Mark Adams",27,10,25.6364,7,0.9539,3,110.655,42,105.819,94,85.0186,1,89.1032,2,67.3351,220,66.4742,218,-0.0307,247,10.9815,12,107.765,26,96.7831,9,-8.2408,347,"NCAA",17.78,209,17.84,243,17.76,3,18.19,6
"8","End of season",2022,"Duke",2,"ACC","Mike Krzyzewski",32,7,25.1493,8,0.9357,11,121.092,1,117.246,5,95.9426,49,99.3533,111,68.1484,171,67.2666,172,-0.0099,199,8.2175,42,107.813,24,99.5953,63,-4.5759,288,"NCAA",17.58,179,17.57,171,18.36,12,17.71,6
"9","End of season",2022,"Tennessee",3,"SEC","Rick Barnes",27,8,25.0952,9,0.9494,6,111.49,35,106.48,72,86.395,3,90.7901,6,68.6654,140,67.4173,157,0.0286,117,11.3924,10,108.489,9,97.0968,13,4.8521,42,"NCAA",17.48,167,17.26,106,17.57,9,16.83,4
"10","End of season",2022,"Villanova",2,"BE","Jay Wright",30,8,24.5614,10,0.9369,10,117.469,9,112.499,14,92.9078,23,98.138,80,63.5883,344,62.3285,347,0.0601,58,11.4628,9,109.095,6,97.6325,15,8.65,14,"NCAA",19.9,349,17.56,167,19.44,11,17.38,6
"11","End of season",2022,"UCLA",4,"P12","Mick Cronin",27,8,24.2586,11,0.937,9,115.913,12,111.629,18,91.6541,16,95.2022,31,66.5276,265,65.2198,277,-0.0287,245,8.4978,39,107.195,43,98.697,38,3.665,64,"NCAA",18.09,255,17.92,268,18.39,9,18.03,10
