"","ID","Date","Home","Away","Half_Status","Time","Game_Time","Game_Seconds","Home_Score","Away_Score","Event_Team","Event_Description","Player_1","Player_2","Event_Type","Event_Result","Shot_Value","Event_Length","Poss_Num","Poss_Team","Poss_Length","isTransition","Home.1","Home.2","Home.3","Home.4","Home.5","Away.1","Away.2","Away.3","Away.4","Away.5","Status","isGarbageTime","Sub_Deviate"
"1","6461786","02/07/2026","North Carolina","Duke",1,"19:59","00:01",1,0,0,"Duke","Patrick Ngongba, jumpball won","PATRICK.NGONGBA",NA,"won Jumpball",NA,NA,1,1,"Duke",1,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"2","6461786","02/07/2026","North Carolina","Duke",1,"19:59","00:01",1,0,0,"North Carolina","Henri Veesaar, jumpball lost","HENRI.VEESAAR",NA,"lost Jumpball",NA,NA,0,1,"Duke",1,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"3","6461786","02/07/2026","North Carolina","Duke",1,"19:45","00:15",15,0,2,"Duke","Dame Sarr, 2pt jumpshot   made - Caleb Foster, assist","DAME.SARR","CALEB.FOSTER","Two Point Jumper","made",2,14,1,"Duke",15,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"4","6461786","02/07/2026","North Carolina","Duke",1,"19:25","00:35",35,2,2,"North Carolina","Seth Trimble, 2pt drivinglayup pointsinthepaint;  made","SETH.TRIMBLE",NA,"Layup","made",2,20,2,"North Carolina",20,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"5","6461786","02/07/2026","North Carolina","Duke",1,"18:59","01:01",61,2,2,"North Carolina","Jarin Stevenson, foul personal shooting;2freethrow;","JARIN.STEVENSON",NA,"Commits Foul",NA,NA,26,3,"Duke",26,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"6","6461786","02/07/2026","North Carolina","Duke",1,"18:59","01:01",61,2,2,"Duke","Isaiah Evans, foulon","ISAIAH.EVANS",NA,"Draw Foul",NA,NA,0,3,"Duke",26,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"7","6461786","02/07/2026","North Carolina","Duke",1,"18:59","01:01",61,2,3,"Duke","Isaiah Evans, freethrow 1of2   made","ISAIAH.EVANS",NA,"Free Throw","made",1,0,3,"Duke",26,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"8","6461786","02/07/2026","North Carolina","Duke",1,"18:59","01:01",61,2,4,"Duke","Isaiah Evans, freethrow 2of2   made","ISAIAH.EVANS",NA,"Free Throw","made",1,0,3,"Duke",26,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"9","6461786","02/07/2026","North Carolina","Duke",1,"18:45","01:15",75,2,4,"North Carolina","Henri Veesaar, 3pt jumpshot   missed","HENRI.VEESAAR",NA,"Three Point Jumper","missed",3,14,4,"North Carolina",14,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
"10","6461786","02/07/2026","North Carolina","Duke",1,"18:41","01:19",79,2,4,"Duke","Dame Sarr, rebound defensive","DAME.SARR",NA,"Defensive Rebound",NA,NA,4,4,"North Carolina",18,FALSE,"JARIN.STEVENSON","HENRI.VEESAAR","SETH.TRIMBLE","DEREK.DIXON","CALEB.WILSON","PATRICK.NGONGBA","CALEB.FOSTER","DAME.SARR","ISAIAH.EVANS","CAMERON.BOOZER","CLEAN",FALSE,2
