year,team
1960,Duke
1961,Wake Forest
1962,Wake Forest
1963,Duke
1964,Duke
1965,NC State
1966,Duke
1967,North Carolina
1968,North Carolina
1969,North Carolina
1970,NC State
1971,South Carolina
1972,North Carolina
1973,NC State
1974,NC State
1975,North Carolina
1976,Virginia
1977,North Carolina
1978,Duke
1979,North Carolina
1980,Duke
1981,North Carolina
1982,North Carolina
1983,NC State
1984,Maryland
1985,Georgia Tech
1986,Duke
1987,NC State
1988,Duke
1989,North Carolina
1990,Georgia Tech
1991,North Carolina
1992,Duke
1993,Georgia Tech
1994,North Carolina
1995,Wake Forest
1996,Wake Forest
1997,North Carolina
1998,North Carolina
1999,Duke
2000,Duke
2001,Duke
2002,Duke
2003,Duke
2004,Maryland
2005,Duke
2006,Duke
2007,North Carolina
2008,North Carolina
2009,Duke
2010,Duke
2011,Duke
2012,Florida State
2013,Miami
2014,Virginia
2015,Notre Dame
2016,North Carolina
2017,Duke
2018,Virginia
2019,Duke
2020,Florida State
2021,Georgia Tech
2022,Virginia Tech
2023,Duke
2024,NC State
2025,Duke
