"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","ot","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"1","Air ForceBelmont11-3",2025-11-03,"nc","Air Force","Belmont","MVC","MWC","A","L","63-79",0.0967189103957316,0.807939912669013,0.801873422330219,0.490342513225837,-0.490342513225837,42.1,"played",0,NA,NA,NA,63,"Q1"
"2","Air ForceBelmont11-3",2025-11-03,"nc","Belmont","Air Force","MVC","MWC","H","W","79-63",0.807939912669013,0.0967189103957316,0.885145582503505,0.986296578981323,0.0137034210186768,38.2,"played",0,NA,NA,NA,349,"Q4"
"3","AlbanyMarquette11-3",2025-11-03,"nc","Albany","Marquette","BE","AE","A","L","53-80",0.145126093558696,0.808663785936939,0.801873422330219,0.489175088090965,-0.489175088090965,10.1,"played",0,NA,NA,NA,91,"Q2"
"4","AlbanyMarquette11-3",2025-11-03,"nc","Marquette","Albany","BE","AE","H","W","80-53",0.808663785936939,0.145126093558696,0.885145582503505,0.978446707754241,0.0215532922457592,86.4,"played",0,NA,NA,NA,325,"Q4"
"5","AmericanWake Forest11-3",2025-11-03,"nc","American","Wake Forest","ACC","Pat","A","L","74-88",0.263627824772545,0.826855544458015,0.801873422330219,0.458729337632217,-0.458729337632217,38.9,"played",0,NA,NA,NA,64,"Q1"
"6","AmericanWake Forest11-3",2025-11-03,"nc","Wake Forest","American","ACC","Pat","H","W","88-74",0.826855544458015,0.263627824772545,0.885145582503505,0.955607810619413,0.0443921893805872,72.9,"played",0,NA,NA,NA,259,"Q4"
"7","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Appalachian St.","Central Michigan","MAC","Sun Belt","A","L","66-82",0.383021811338793,0.400127042461597,0.801873422330219,0.858511356520847,-0.858511356520847,3.9,"played",0,NA,NA,NA,280,"Q4"
"8","Appalachian St.Central Michigan11-3",2025-11-03,"nc","Central Michigan","Appalachian St.","MAC","Sun Belt","H","W","82-66",0.400127042461597,0.383021811338793,0.885145582503505,0.925451270265158,0.074548729734842,91.1,"played",0,NA,NA,NA,189,"Q4"
"9","ArizonaFlorida11-3",2025-11-03,"nc","Arizona","Florida","SEC","B12","N","W","93-87",0.974237657071214,0.975026357335068,0.848137298737165,0.125145795393359,0.87485420460664,98.4,"played",0,NA,NA,NA,4,"Q1A"
"10","ArizonaFlorida11-3",2025-11-03,"nc","Florida","Arizona","SEC","B12","N","L","87-93",0.975026357335068,0.974237657071214,0.848137298737165,0.128680546619208,-0.128680546619208,96,"played",0,NA,NA,NA,3,"Q1A"
"11","Arkansas Pine BluffWashington11-3",2025-11-03,"nc","Arkansas Pine Bluff","Washington","B10","SWAC","A","L","50-94",0.190389457651798,0.861877428604182,0.801873422330219,0.393427627924461,-0.393427627924461,2.2,"played",0,NA,NA,NA,61,"Q1"
"12","Arkansas Pine BluffWashington11-3",2025-11-03,"nc","Washington","Arkansas Pine Bluff","B10","SWAC","H","W","94-50",0.861877428604182,0.190389457651798,0.885145582503505,0.970389494240256,0.0296105057597436,98.5,"played",0,NA,NA,NA,317,"Q4"
"13","Arkansas St.Ohio11-3",2025-11-03,"nc","Arkansas St.","Ohio","MAC","Sun Belt","A","W","89-85",0.454155620274391,0.463890384541423,0.801873422330219,0.823861965369129,0.176138034630871,49.2,"played",0,NA,NA,NA,227,"Q3"
"14","Arkansas St.Ohio11-3",2025-11-03,"nc","Ohio","Arkansas St.","MAC","Sun Belt","H","L","85-89",0.463890384541423,0.454155620274391,0.885145582503505,0.902558449944816,-0.902558449944816,42.7,"played",0,NA,NA,NA,153,"Q3"
"15","BellarmineGeorgia11-3",2025-11-03,"nc","Bellarmine","Georgia","SEC","ASun","A","L","59-104",0.178201585486368,0.90999840229741,0.801873422330219,0.285861241195607,-0.285861241195607,9.5,"played",0,NA,NA,NA,31,"Q1A"
"16","BellarmineGeorgia11-3",2025-11-03,"nc","Georgia","Bellarmine","SEC","ASun","H","W","104-59",0.90999840229741,0.178201585486368,0.885145582503505,0.97263293440661,0.02736706559339,95.4,"played",0,NA,NA,NA,285,"Q4"
"17","Bethune CookmanAuburn11-3",2025-11-03,"nc","Auburn","Bethune Cookman","SEC","SWAC","H","W","95-90",0.889243156573399,0.319081341304812,0.885145582503505,0.94268033807895,0.0573196619210501,42.1,"played",1,NA,NA,NA,255,"Q4"
"18","Bethune CookmanAuburn11-3",2025-11-03,"nc","Bethune Cookman","Auburn","SEC","SWAC","A","L","90-95",0.319081341304812,0.889243156573399,0.801873422330219,0.335148752718184,-0.335148752718184,83.8,"played",1,NA,NA,NA,38,"Q1A"
"19","BinghamtonSyracuse11-3",2025-11-03,"nc","Binghamton","Syracuse","ACC","AE","A","L","47-85",0.0554191591173021,0.808099991111755,0.801873422330219,0.490084626920094,-0.490084626920094,1.6,"played",0,NA,NA,NA,83,"Q2"
"20","BinghamtonSyracuse11-3",2025-11-03,"nc","Syracuse","Binghamton","ACC","AE","H","W","85-47",0.808099991111755,0.0554191591173021,0.885145582503505,0.992444554972465,0.00755544502753502,93.7,"played",0,NA,NA,NA,360,"Q4"
"21","Boston CollegeFlorida Atlantic11-3",2025-11-03,"nc","Boston College","Florida Atlantic","Amer","ACC","A","L","78-83",0.477856237387319,0.682633684722502,0.801873422330219,0.652975211311817,-0.652975211311817,52.6,"played",1,NA,NA,NA,123,"Q2"
"22","Boston CollegeFlorida Atlantic11-3",2025-11-03,"nc","Florida Atlantic","Boston College","Amer","ACC","H","W","83-78",0.682633684722502,0.477856237387319,0.885145582503505,0.89385331900989,0.106146680990109,63.9,"played",1,NA,NA,NA,159,"Q3"
"23","Boston UniversityNortheastern11-3",2025-11-03,"nc","Boston University","Northeastern","CAA","Pat","A","W","76-75",0.277847497402692,0.30541535999658,0.801873422330219,0.90200344379392,0.0979965562060803,28.6,"played",1,NA,NA,NA,283,"Q4"
"24","Boston UniversityNortheastern11-3",2025-11-03,"nc","Northeastern","Boston University","CAA","Pat","H","L","75-76",0.30541535999658,0.277847497402692,0.885145582503505,0.952449767352494,-0.952449767352494,29.7,"played",1,NA,NA,NA,257,"Q4"
"25","BradleySt. Bonaventure11-3",2025-11-03,"nc","Bradley","St. Bonaventure","A10","MVC","N","L","63-69",0.574365435511583,0.490810166390536,0.848137298737165,0.852812091789226,-0.852812091789226,23,"played",0,NA,NA,NA,158,"Q3"
"26","BradleySt. Bonaventure11-3",2025-11-03,"nc","St. Bonaventure","Bradley","A10","MVC","N","W","69-63",0.490810166390536,0.574365435511583,0.848137298737165,0.805398139400285,0.194601860599715,81.3,"played",0,NA,NA,NA,114,"Q3"
"27","BryantSiena11-3",2025-11-03,"nc","Bryant","Siena","MAAC","AE","A","L","66-82",0.0592492243617873,0.525068194872619,0.801873422330219,0.785445575722026,-0.785445575722026,7.9,"played",0,NA,NA,NA,188,"Q3"
"28","BryantSiena11-3",2025-11-03,"nc","Siena","Bryant","MAAC","AE","H","W","82-66",0.525068194872619,0.0592492243617873,0.885145582503505,0.991894004714408,0.00810599528559219,44.9,"played",0,NA,NA,NA,354,"Q4"
"29","BYUVillanova11-3",2025-11-03,"nc","BYU","Villanova","BE","B12","N","W","71-66",0.871569256882864,0.884716289523619,0.848137298737165,0.421210735503367,0.578789264496633,96.3,"played",0,NA,NA,NA,33,"Q1"
"30","BYUVillanova11-3",2025-11-03,"nc","Villanova","BYU","BE","B12","N","L","66-71",0.884716289523619,0.871569256882864,0.848137298737165,0.451443554651145,-0.451443554651145,67,"played",0,NA,NA,NA,24,"Q1A"
"31","Cal PolyUSC11-3",2025-11-03,"nc","Cal Poly","USC","B10","BW","A","L","64-94",0.313710538654086,0.82316068776468,0.801873422330219,0.465090568529094,-0.465090568529094,15.5,"played",0,NA,NA,NA,78,"Q2"
"32","Cal PolyUSC11-3",2025-11-03,"nc","USC","Cal Poly","B10","BW","H","W","94-64",0.82316068776468,0.313710538654086,0.885145582503505,0.944007455958797,0.0559925440412026,92,"played",0,NA,NA,NA,228,"Q4"
"33","Cal St. BakersfieldCalifornia11-3",2025-11-03,"nc","Cal St. Bakersfield","California","ACC","BW","A","L","60-87",0.12168745288333,0.830242020737973,0.801873422330219,0.452816110559176,-0.452816110559176,12.1,"played",0,NA,NA,NA,65,"Q1"
"34","Cal St. BakersfieldCalifornia11-3",2025-11-03,"nc","California","Cal St. Bakersfield","ACC","BW","H","W","87-60",0.830242020737973,0.12168745288333,0.885145582503505,0.98233996643203,0.0176600335679705,83.1,"played",0,NA,NA,NA,330,"Q4"
"35","CampbellWisconsin11-3",2025-11-03,"nc","Campbell","Wisconsin","B10","CAA","A","L","64-96",0.377963405317293,0.940267316882073,0.801873422330219,0.204526460254272,-0.204526460254272,45.7,"played",0,NA,NA,NA,26,"Q1A"
"36","CampbellWisconsin11-3",2025-11-03,"nc","Wisconsin","Campbell","B10","CAA","H","W","96-64",0.940267316882073,0.377963405317293,0.885145582503505,0.926918357627491,0.0730816423725091,91.9,"played",0,NA,NA,NA,192,"Q4"
"37","CanisiusDayton11-3",2025-11-03,"nc","Canisius","Dayton","A10","MAAC","A","L","48-88",0.0907638222472019,0.805072141794437,0.801873422330219,0.494935748671185,-0.494935748671185,1.1,"played",0,NA,NA,NA,75,"Q1"
"38","CanisiusDayton11-3",2025-11-03,"nc","Dayton","Canisius","A10","MAAC","H","W","88-48",0.805072141794437,0.0907638222472019,0.885145582503505,0.987212672507643,0.0127873274923566,97.4,"played",0,NA,NA,NA,343,"Q4"
