"","seed","team","conf","region"
"1",1,"Duke","ACC","East"
"2",1,"Arizona","Big 12","West"
"3",1,"Michigan","Big Ten","Midwest"
"4",1,"Florida","SEC","South"
"5",2,"Connecticut","Big East","East"
"6",2,"Houston","Big 12","South"
"7",2,"Iowa St.","Big 12","Midwest"
"8",2,"Purdue","Big Ten","West"
"9",3,"Michigan St.","Big Ten","East"
"10",3,"Illinois","Big Ten","South"
"11",3,"Gonzaga","West Coast","West"
"12",3,"Virginia","ACC","Midwest"
"13",4,"Nebraska","Big Ten","South"
"14",4,"Alabama","SEC","Midwest"
"15",4,"Kansas","Big 12","East"
"16",4,"Arkansas","SEC","West"
"17",5,"Vanderbilt","SEC","South"
"18",5,"St. John's","Big East","East"
"19",5,"Texas Tech","Big 12","Midwest"
"20",5,"Wisconsin","Big Ten","West"
"21",6,"Tennessee","SEC","Midwest"
"22",6,"North Carolina","ACC","South"
"23",6,"Louisville","ACC","East"
"24",6,"BYU","Big 12","West"
"25",7,"Kentucky","SEC","Midwest"
"26",7,"Miami FL","ACC","West"
"27",7,"UCLA","Big Ten","East"
"28",7,"Saint Mary's","West Coast","South"
"29",8,"Clemson","ACC","South"
"30",8,"Georgia","SEC","Midwest"
"31",8,"Villanova","Big East","West"
"32",8,"Ohio St.","Big Ten","East"
"33",9,"Utah St.","Mountain West","West"
"34",9,"TCU","Big 12","East"
"35",9,"Iowa","Big Ten","South"
"36",9,"Saint Louis","Atlantic 10","Midwest"
"37",10,"UCF","Big 12","East"
"38",10,"Texas A&M","SEC","South"
"39",10,"Santa Clara","West Coast","Midwest"
"40",10,"Missouri","SEC","West"
"41",11,"North Carolina St.","ACC","West"
"42",11,"Miami OH","MAC","Midwest"
"43",11,"VCU","Atlantic 10","South"
"44",11,"SMU","ACC","Midwest"
"45",11,"Texas","SEC","West"
"46",11,"South Florida","American","East"
"47",12,"Akron","MAC","Midwest"
"48",12,"McNeese St.","Southland","South"
"49",12,"Northern Iowa","Missouri Valley","East"
"50",12,"High Point","Big South","West"
"51",13,"Hofstra","Coastal","Midwest"
"52",13,"Cal Baptist","WAC","East"
"53",13,"Hawaii","Big West","West"
"54",13,"Troy","Sun Belt","South"
"55",14,"North Dakota St.","Summit","East"
"56",14,"Wright St.","Horizon","Midwest"
"57",14,"Kennesaw St.","CUSA","West"
"58",14,"Pennsylvania","Ivy","South"
"59",15,"Tennessee St.","Ohio Valley","Midwest"
"60",15,"Idaho","Big Sky","South"
"61",15,"Furman","Southern","East"
"62",15,"Queens","Atlantic Sun","West"
"63",16,"Siena","Metro Atlantic","East"
"64",16,"UMBC","America East","Midwest"
"65",16,"LIU Brooklyn","Northeast","West"
"66",16,"Howard","Mid-Eastern","Midwest"
"67",16,"Lehigh","Patriot","South"
"68",16,"Prairie View A&M","SWAC","South"
