"","seed","team","conf","tram","adj_em","off_svi","def_svi","to_pct","or_pct","d_to_pct","d_or_pct","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"1",12,"McNeese","Slnd",12.3685959629377,12.5188,102.543025184234,90.174429221296,0.142979,0.350277,0.246135,0.349664,114.274,101.755,50.9573,38.3479,48.948,42.1411
"2",3,"Gonzaga","WCC",12.1267074838972,28.182,103.173908809838,91.0472013259412,0.136792,0.348018,0.204974,0.258842,122.019,93.8372,56.262,31.1185,46.1902,30.9511
"3",2,"Iowa St.","B12",11.9242930670303,32.371,101.775557658608,89.8512645915774,0.150557,0.353199,0.223894,0.281139,123.77,91.399,56.4697,33.9844,49.5166,27.8733
"4",2,"Houston","B12",11.8060748760061,33.3633,104.433059026893,92.6269841508865,0.130487,0.358382,0.210405,0.308547,124.81,91.4469,52.1211,26.9304,46.5896,39.0643
"5",12,"High Point","BSth",10.6703562018001,8.3953,102.606350860208,91.935994658408,0.130399,0.320721,0.219287,0.31656,116.997,108.602,54.718,42.9099,50.0565,36.3842
"6",1,"Duke","ACC",9.08376344063591,38.847,102.324835010918,93.2410715702825,0.156928,0.380952,0.181475,0.248013,127.91,89.0632,56.7724,37.7644,46.1793,23.7392
"7",5,"St. John's","BE",8.2014852586594,25.8805,102.460300700328,94.2588154416688,0.147338,0.359451,0.193974,0.302008,120.015,94.1347,51.0033,41.9016,47.358,31.7531
"8",9,"Iowa","B10",7.6430797885797,22.4388,99.0727669698039,91.4296871812242,0.152371,0.300931,0.209986,0.280423,121.706,99.2667,56.556,34.4963,52.6769,39.1385
"9",7,"Miami FL","ACC",7.5255355178646,20.6393,101.212353683937,93.6868181660729,0.161705,0.369625,0.183557,0.262923,121.304,100.665,55.6203,37.4684,51.7396,29.0459
"10",1,"Florida","SEC",7.35024834284451,33.7551,103.735210026254,96.3849616834096,0.164767,0.431357,0.153894,0.248056,125.501,91.7463,53.5546,39.0772,46.2963,34.0247
"11",10,"Santa Clara","WCC",7.34016874301379,19.5145,101.738333412267,94.3981646692535,0.156367,0.367121,0.200795,0.322907,123.659,104.145,54.6222,25.7626,51.7769,38.327
"12",11,"South Florida","Amer",7.32432276676249,16.3738,102.9443124045,95.6199896377375,0.152125,0.38172,0.188685,0.318325,117.32,100.946,50.9035,41.1317,48.3511,38.8128
"13",9,"TCU","B12",7.3060159697765,17.5286,100.775427781,93.4694118112235,0.15525,0.34396,0.196535,0.291139,115.316,97.7874,50.9,38.7,51.0156,30.3646
"14",14,"North Dakota St.","Sum",7.2965476575154,4.9393,100.295181888293,92.9986342307774,0.156016,0.335747,0.187313,0.257282,111.643,106.703,53.3596,30.6562,51.5367,29.1406
"15",2,"Purdue","B10",7.22819024563989,31.1701,104.10888232151,96.8806920758706,0.135207,0.363385,0.156142,0.263937,131.598,100.428,57.617,28.6055,52.2853,26.0171
"16",1,"Arizona","B12",7.12300027677941,37.6001,102.965306855443,95.842306578664,0.151553,0.380702,0.16716,0.268786,127.614,90.0139,55.0508,42.871,45.0211,27.7125
"17",6,"Tennessee","SEC",6.99675033261522,25.9706,103.798069753588,96.8013194209732,0.171461,0.450596,0.162999,0.279012,121.012,95.0419,51.5617,38.7209,47.7033,36.2196
"18",9,"Utah St.","MWC",6.59786852573241,20.8686,100.361746810293,93.7638782845604,0.153756,0.331492,0.205892,0.322183,122.184,101.315,56.5989,38.7063,49.5904,38.8859
"19",15,"Tennessee St.","OVC",6.4632973944032,-1.8343,99.8068007489294,93.3435033545262,0.165446,0.349251,0.200482,0.298569,109.051,110.885,50.1111,33.5,51.2369,41.6203
"20",5,"Vanderbilt","SEC",5.20790245147758,27.4598,101.846975921452,96.639073469974,0.133204,0.311911,0.17898,0.315617,126.748,99.2878,55.2758,38.1775,48.7701,40.9639
"21",8,"Georgia","SEC",5.1246452059646,20.4528,102.613075115943,97.4884299099782,0.142926,0.351602,0.184421,0.348178,124.689,104.236,54.6018,36.9576,50.1449,30.7729
"22",12,"Akron","MAC",5.01525813287859,12.7563,100.352775781748,95.337517648869,0.155322,0.335222,0.183403,0.29857,118.826,106.07,58.4623,29.0564,50.5676,30.289
