"","ArchiveDate","Season","Preseason","TeamName","Seed","Event","ConfShort","AdjEM","RankAdjEM","AdjOE","RankAdjOE","AdjDE","RankAdjDE","AdjTempo","RankAdjTempo","AdjEMFinal","RankAdjEMFinal","AdjOEFinal","RankAdjOEFinal","AdjDEFinal","RankAdjDEFinal","AdjTempoFinal","RankAdjTempoFinal","RankChg","AdjEMChg","AdjTChg","season","DataThrough","Coach","Wins","Losses","Pythag","RankPythag","OE","RankOE","DE","RankDE","Tempo","RankTempo","Luck","RankLuck","SOS","RankSOS","SOSO","RankSOSO","SOSD","RankSOSD","NCSOS","RankNCSOS","APL_Off","RankAPL_Off","APL_Def","RankAPL_Def","ConfAPL_Off","RankConfAPL_Off","ConfAPL_Def","RankConfAPL_Def"
"1","2024-03-17",2024,"false","Connecticut",1,"NCAA","BE",32.213,1,126.616,1,94.4034,11,64.4286,329,36.4262,1,127.524,1,91.0982,4,64.6331,330,0,4.2132,0.2045,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2024-03-17",2024,"false","Houston",1,"NCAA","B12",31.7235,2,118.889,17,87.1658,2,63.2428,348,31.173,2,118.896,19,87.7232,2,63.4888,349,0,-0.5505,0.246,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2024-03-17",2024,"false","Purdue",1,"NCAA","B10",29.1203,3,125.096,3,95.9756,21,67.356,175,30.6175,3,125.225,4,94.6075,12,66.9833,218,0,1.4972,-0.3727,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2024-03-17",2024,"false","Auburn",4,"NCAA","SEC",28.4052,4,120.785,10,92.3794,5,69.6548,61,27.9896,4,120.38,10,92.3905,6,69.9688,59,0,-0.4156,0.314,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2024-03-17",2024,"false","Tennessee",2,"NCAA","SEC",25.9673,7,117.058,28,91.0904,3,69.1808,79,26.6147,5,116.821,28,90.2061,3,69.2933,80,2,0.6474,0.1125,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2024-03-17",2024,"false","Arizona",2,"NCAA","P12",26.6282,6,121.154,8,94.5262,12,71.8119,16,26.5501,6,120.247,11,93.6966,10,72.2403,16,0,-0.0781,0.4284,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2024-03-17",2024,"false","Duke",4,"NCAA","ACC",24.8843,8,121.843,7,96.9585,26,66.6517,230,26.4731,7,121.646,8,95.1725,16,66.426,253,1,1.5888,-0.2257,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2024-03-17",2024,"false","Iowa St.",2,"NCAA","B12",26.7314,5,113.868,55,87.1363,1,67.3114,180,26.4724,8,113.947,52,87.4742,1,67.209,201,-3,-0.259,-0.1024,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2024-03-17",2024,"false","North Carolina",1,"NCAA","ACC",24.6523,9,117.813,24,93.1602,6,70.4215,43,26.1893,9,119.708,15,93.519,8,70.6419,41,0,1.537,0.2204,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2024-03-17",2024,"false","Illinois",3,"NCAA","B10",23.7735,10,124.811,4,101.038,81,69.8344,57,24.5259,10,125.498,3,100.972,80,69.8268,66,0,0.7524,-0.0076,"2023-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
