miss,year,record,seed,R64,R32,S16,E8,F4,F2,C
,2026,24-9,6,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0,0
,2025,23-14,11,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0,0
,2024,29-8,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%; opacity: 0.25;'>,2023,20-13,X,0,0,0,0,0,0,0
,2022,29-10,8,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0
,2021,18-11,8,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0,0
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%; opacity: 0.25;'>,2020,14-19,X,0,0,0,0,0,0,0
,2019,29-7,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0
,2018,26-11,2,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
,2017,33-7,1,1,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> 
,2016,33-7,1,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0
,2015,26-12,4,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0
,2014,24-10,6,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
,2013,25-11,8,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
,2012,32-6,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0
,2011,29-8,2,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%; opacity: 0.25;'>,2010,20-17,X,0,0,0,0,0,0,0
,2009,34-4,1,1,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> 
,2008,36-3,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0
,2007,31-7,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0
,2006,23-8,3,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
,2005,33-4,1,1,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> 
,2004,19-11,6,0,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%; opacity: 0.25;'>,2003,19-16,X,0,0,0,0,0,0,0
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%; opacity: 0.25;'>,2002,"""8-20""",X,0,0,0,0,0,0,0
,2001,26-7,2,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0
,2000,22-14,8,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0
,1999,24-10,3,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0,0,0,0,0
,1998,34-4,1,1,1,1,1,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,0,0
