"","Season","TeamName","Seed","Coach","Wins","Losses","AdjEM","RankAdjEM","DataThrough","ConfOnly","eFG_Pct","RankeFG_Pct","TO_Pct","RankTO_Pct","OR_Pct","RankOR_Pct","FT_Rate","RankFT_Rate","DeFG_Pct","RankDeFG_Pct","DTO_Pct","RankDTO_Pct","DOR_Pct","RankDOR_Pct","DFT_Rate","RankDFT_Rate","OE","RankOE","DE","RankDE","Tempo","RankTempo","AdjOE","RankAdjOE","AdjDE","RankAdjDE","AdjTempo","RankAdjTempo"
"1",2017,"North Carolina",1,"Roy Williams",33,7,28.218,3,"End of season","false",51.6543,115,16.2325,39,41.2517,1,34.3324,208,48.1026,71,18.5968,168,24.9827,25,31.5653,82,115.379,13,97.7324,44,72.4375,48,120.675,9,92.4566,11,71.2891,40
"2",2018,"North Carolina",2,"Roy Williams",26,11,23.5883,8,"End of season","false",52.0273,124,16.7163,61,37.4359,3,28.0099,315,50.0871,135,16.2655,301,25.475,48,25.9904,23,113.325,24,102.247,120,71.7062,59,120.336,6,96.7477,38,71.2265,46
"3",2019,"North Carolina",1,"Roy Williams",29,7,27.6872,7,"End of season","false",52.8631,80,17.2076,84,35.3201,16,30.2075,255,48.9324,92,18.3036,177,22.8551,7,28.4253,64,112.661,16,96.6585,37,75.7909,5,119.698,8,92.0107,15,74.271,6
"4",2020,"North Carolina",0,"Roy Williams",14,19,9.357,84,"End of season","false",46.4286,309,18.0731,119,35.2713,12,33.4791,154,49.0995,148,16.0367,322,24.2028,37,29.1646,94,100.869,173,102.068,219,70.3843,106,107.708,77,98.3509,94,70.3903,67
"5",2021,"North Carolina",8,"Roy Williams",18,11,18.6195,34,"End of season","false",48.3023,251,20.3475,252,40.9132,1,34.1731,98,49.1061,128,19.0488,146,26.4045,112,26.8743,60,104.665,98,97.6775,73,71.6853,72,110.276,52,91.6568,27,71.5213,43
"6",2022,"North Carolina",8,"Hubert Davis",29,10,20.1328,16,"End of season","false",51.4736,105,16.4362,53,31.8603,59,30.303,175,48.6404,114,13.6186,356,21.5541,2,21.4286,8,109.6,29,100.051,132,70.3015,71,114.393,18,94.2598,35,70.2423,39
"7",2023,"North Carolina",0,"Hubert Davis",20,13,15.0105,43,"End of season","false",49.2238,242,15.2237,25,30.4455,119,37.0055,42,48.711,92,14.7949,344,23.2978,12,26.2766,47,107.656,80,100.256,96,69.3638,107,112.241,51,97.2304,46,68.8086,99
"8",2024,"North Carolina",1,"Hubert Davis",29,8,26.1893,9,"End of season","false",51.5067,132,14.0971,20,32.9686,59,36.2462,87,46.7339,19,14.8152,312,23.6598,10,28.2332,69,114.507,20,98.4514,29,71.2847,47,119.708,15,93.519,8,70.6419,41
"9",2025,"North Carolina",11,"Hubert Davis",23,14,20.3326,31,"End of season","false",54.1031,52,15.0684,41,29.1231,206,34.7534,125,49.5376,109,15.2961,304,26.9457,49,30.5152,118,113.475,41,104.857,148,70.7413,47,119.206,21,98.8736,47,70.6991,34
"10",2026,"North Carolina",6,"Hubert Davis",24,9,20.1801,32,"Sunday, March 22","false",54.3003,58,13.9177,19,31.1734,159,37.0992,127,48.3453,45,13.6104,344,27.7733,59,23.8369,3,115.317,56,104.112,73,68.7627,162,120.802,36,100.622,37,67.957,144
