"","year_a","champ_a","team1_a","team2_a","team3_a","year_b","champ_b","team1_b","team2_b","team3_b"
"1",2026,"Connecticut","Illinois","Arizona","Michigan",2005,"North Carolina","Illinois","Louisville","Michigan State"
"2",2025,"Florida","Houston","Duke","Auburn",2004,"Connecticut","Georgia Tech","Duke","Oklahoma State"
"3",2024,"UConn","Purdue","Alabama","NC State",2003,"Syracuse","Kansas","Marquette","Texas"
"4",2023,"UConn","San Diego State","Miami (FL)","Florida Atlantic",2002,"Maryland","Indiana","Kansas","Oklahoma"
"5",2022,"Kansas","North Carolina","Duke","Villanova",2001,"Duke","Arizona","Maryland","Michigan State"
"6",2021,"Baylor","Gonzaga","Houston","UCLA",2000,"Michigan State","Florida","North Carolina","Wisconsin"
"7",2020,"Wake Forest","Wake Forest","Wake Forest","Wake Forest",1999,"Connecticut","Duke","Michigan State","Ohio State"
"8",2019,"Virginia","Texas Tech","Auburn","Michigan State",1998,"Kentucky","Utah","North Carolina","Stanford"
"9",2018,"Villanova","Michigan","Kansas","Loyola-Chicago",1997,"Arizona","Kentucky","Minnesota","North Carolina"
"10",2017,"North Carolina","Gonzaga","Oregon","South Carolina",1996,"Kentucky","Syracuse","Mississippi State","UMass"
"11",2016,"Villanova","North Carolina","Oklahoma","Syracuse",1995,"UCLA","Arkansas","North Carolina","Oklahoma State"
"12",2015,"Duke","Wisconsin","Kentucky","Michigan State",1994,"Arkansas","Duke","Arizona","Florida"
"13",2014,"UConn","Kentucky","Florida","Wisconsin",1993,"North Carolina","Michigan","Kansas","Kentucky"
"14",2013,"Louisville","Michigan","Syracuse","Wichita State",1992,"Duke","Michigan","Cincinnati","Indiana"
"15",2012,"Kentucky","Kansas","Louisville","Ohio State",1991,"Duke","Kansas","North Carolina","UNLV"
"16",2011,"Connecticut","Butler","Kentucky","VCU",1990,"UNLV","Duke","Arkansas","Georgia Tech"
"17",2010,"Duke","Butler","Michigan State","West Virginia",1989,"Michigan","Seton Hall","Duke","Illinois"
"18",2009,"North Carolina","Michigan State","Connecticut","Villanova",1988,"Kansas","Oklahoma","Arizona","Duke"
"19",2008,"Kansas","Memphis","North Carolina","UCLA",1987,"Indiana","Syracuse","Providence","UNLV"
"20",2007,"Florida","Ohio State","Georgetown","UCLA",1986,"Louisville","Duke","Kansas","LSU"
"21",2006,"Florida","UCLA","George Mason","LSU",1985,"Villanova","Georgetown","Memphis","St. John's"
