"","ID","Date","Home","Away","Half_Status","Time","Game_Time","Game_Seconds","Home_Score","Away_Score","Event_Team","Event_Description","Player_1","Player_2","Event_Type","Event_Result","Shot_Value","Event_Length","Poss_Num","Poss_Team","Poss_Length","isTransition","Home.1","Home.2","Home.3","Home.4","Home.5","Away.1","Away.2","Away.3","Away.4","Away.5","Status","isGarbageTime","Sub_Deviate"
"1","6564880","03/29/2026","Duke","UConn",1,"20:00","00:00",0,0,0,"UConn","Tarris Reed Jr., jumpball won","TARRIS.REED",NA,"won Jumpball",NA,NA,0,1,"UConn",0,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"2","6564880","03/29/2026","Duke","UConn",1,"20:00","00:00",0,0,0,"Duke","Maliq Brown, jumpball lost","MALIQ.BROWN",NA,"lost Jumpball",NA,NA,0,1,"UConn",0,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"3","6564880","03/29/2026","Duke","UConn",1,"19:39","00:21",21,0,0,"Duke","Maliq Brown, foul personal shooting;2freethrow;","MALIQ.BROWN",NA,"Commits Foul",NA,NA,21,1,"UConn",21,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"4","6564880","03/29/2026","Duke","UConn",1,"19:39","00:21",21,0,0,"UConn","Tarris Reed Jr., foulon","TARRIS.REED",NA,"Draw Foul",NA,NA,0,1,"UConn",21,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"5","6564880","03/29/2026","Duke","UConn",1,"19:39","00:21",21,0,1,"UConn","Tarris Reed Jr., freethrow 1of2   made","TARRIS.REED",NA,"Free Throw","made",1,0,1,"UConn",21,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"6","6564880","03/29/2026","Duke","UConn",1,"19:39","00:21",21,0,2,"UConn","Tarris Reed Jr., freethrow 2of2   made","TARRIS.REED",NA,"Free Throw","made",1,0,1,"UConn",21,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"7","6564880","03/29/2026","Duke","UConn",1,"19:25","00:35",35,0,2,"Duke","Cameron Boozer, 2pt layup pointsinthepaint;blocked;  missed","CAMERON.BOOZER",NA,"Layup","missed",2,14,2,"Duke",14,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"8","6564880","03/29/2026","Duke","UConn",1,"19:25","00:35",35,0,2,"UConn","Tarris Reed Jr., block","TARRIS.REED",NA,"Blocked Shot",NA,NA,0,2,"Duke",14,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"9","6564880","03/29/2026","Duke","UConn",1,"19:23","00:37",37,0,2,"UConn","Silas Demary Jr., rebound defensive","SILAS.DEMARY",NA,"Defensive Rebound",NA,NA,2,2,"Duke",16,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"10","6564880","03/29/2026","Duke","UConn",1,"19:08","00:52",52,0,2,"UConn","Solo Ball, 3pt jumpshot   missed","SOLO.BALL",NA,"Three Point Jumper","missed",3,15,3,"UConn",15,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"11","6564880","03/29/2026","Duke","UConn",1,"19:05","00:55",55,0,2,"Duke","Maliq Brown, rebound defensive","MALIQ.BROWN",NA,"Defensive Rebound",NA,NA,3,3,"UConn",18,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"12","6564880","03/29/2026","Duke","UConn",1,"18:48","01:12",72,2,2,"Duke","Dame Sarr, 2pt drivinglayup pointsinthepaint;  made","DAME.SARR",NA,"Layup","made",2,17,4,"Duke",17,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"13","6564880","03/29/2026","Duke","UConn",1,"18:31","01:29",89,2,2,"UConn","Silas Demary Jr., turnover badpass","SILAS.DEMARY",NA,"Turnover",NA,NA,17,5,"UConn",17,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"14","6564880","03/29/2026","Duke","UConn",1,"18:31","01:29",89,2,2,"Duke","Cayden Boozer, steal","CAYDEN.BOOZER",NA,"Steal",NA,NA,0,5,"UConn",17,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"15","6564880","03/29/2026","Duke","UConn",1,"18:26","01:34",94,4,2,"Duke","Cameron Boozer, 2pt drivinglayup fromturnover;pointsinthepaint;fastbreak;  made - Dame Sarr, assist","CAMERON.BOOZER","DAME.SARR","Layup","made",2,5,6,"Duke",5,TRUE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"16","6564880","03/29/2026","Duke","UConn",1,"18:10","01:50",110,4,2,"UConn","Alex Karaban, 3pt jumpshot   missed","ALEX.KARABAN",NA,"Three Point Jumper","missed",3,16,7,"UConn",16,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"17","6564880","03/29/2026","Duke","UConn",1,"18:07","01:53",113,4,2,"Duke","Cayden Boozer, rebound defensive","CAYDEN.BOOZER",NA,"Defensive Rebound",NA,NA,3,7,"UConn",19,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"18","6564880","03/29/2026","Duke","UConn",1,"17:50","02:10",130,4,2,"Duke","Cameron Boozer, 3pt jumpshot   missed","CAMERON.BOOZER",NA,"Three Point Jumper","missed",3,17,8,"Duke",17,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"19","6564880","03/29/2026","Duke","UConn",1,"17:47","02:13",133,4,2,"Duke","Cayden Boozer, rebound offensive","CAYDEN.BOOZER",NA,"Offensive Rebound",NA,NA,3,8,"Duke",20,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"20","6564880","03/29/2026","Duke","UConn",1,"17:45","02:15",135,7,2,"Duke","Isaiah Evans, 3pt jumpshot 2ndchance;  made - Cayden Boozer, assist","ISAIAH.EVANS","CAYDEN.BOOZER","Three Point Jumper","made",3,2,8,"Duke",22,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
"21","6564880","03/29/2026","Duke","UConn",1,"17:18","02:42",162,7,4,"UConn","Tarris Reed Jr., 2pt drivinglayup pointsinthepaint;  made","TARRIS.REED",NA,"Layup","made",2,27,9,"UConn",27,FALSE,"MALIQ.BROWN","CAYDEN.BOOZER","CAMERON.BOOZER","DAME.SARR","ISAIAH.EVANS","SILAS.DEMARY","SOLO.BALL","ALEX.KARABAN","TARRIS.REED","BRAYLON.MULLINS","CLEAN",FALSE,2
