"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"1",2016,1,1,"Jared Goff","Rams","QB","California","California","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png"
"2",2016,2,2,"Carson Wentz","Eagles","QB","North Dakota State","North Dakota State","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png"
"3",2016,3,3,"Joey Bosa","Chargers","DE","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"4",2016,4,4,"Ezekiel Elliott","Cowboys","RB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"5",2016,5,5,"Jalen Ramsey","Jaguars","DB","Florida State","Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png"
"6",2016,6,6,"Ronnie Stanley","Ravens","T","Notre Dame","Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"7",2016,7,7,"DeForest Buckner","49ers","DE","Oregon","Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"8",2016,8,8,"Jack Conklin","Titans","T","Michigan State","Michigan State","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png"
"9",2016,9,9,"Leonard Floyd","Bears","LB","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"10",2016,10,10,"Eli Apple","Giants","DB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"11",2016,11,11,"Vernon Hargreaves","Buccaneers","DB","Florida","Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"12",2016,12,12,"Sheldon Rankins","Saints","DT","Louisville","Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png"
"13",2016,13,13,"Laremy Tunsil","Dolphins","T","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"14",2016,14,14,"Karl Joseph","Raiders","DB","West Virginia","West Virginia","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png"
"15",2016,15,15,"Corey Coleman","Browns","WR","Baylor","Baylor","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png"
"16",2016,16,16,"Taylor Decker","Lions","T","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"17",2016,17,17,"Keanu Neal","Falcons","DB","Florida","Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"18",2016,18,18,"Ryan Kelly","Colts","C","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"19",2016,19,19,"Shaq Lawson","Bills","DE","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"20",2016,20,20,"Darron Lee","Jets","LB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"21",2016,21,21,"Will Fuller","Texans","WR","Notre Dame","Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"22",2016,22,22,"Josh Doctson","Redskins","WR","Texas Christian","TCU","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"
"23",2016,23,23,"Laquon Treadwell","Vikings","WR","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"24",2016,24,24,"William Jackson","Bengals","DB","Houston","Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png"
"25",2016,25,25,"Artie Burns","Steelers","DB","Miami (FL)","Miami FL","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png"
"26",2016,26,26,"Paxton Lynch","Broncos","QB","Memphis","Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png"
"27",2016,27,27,"Kenny Clark","Packers","DT","UCLA","UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"28",2016,28,28,"Joshua Garnett","49ers","G","Stanford","Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"29",2016,29,29,"Robert Nkemdiche","Cardinals","DT","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
