#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
1,Connor Johnston,URI,22,43.2,8.24,3.3,2.5,1.03,18.20%,7.30%,10.90%,0.32,1.79,0.383,46.90%,9.89,5.71,4.19
2,Kurt Thomas,SPU,23,61.1,5.58,7.19,0.78,0.73,11.00%,14.20%,-3.20%,0.369,2.49,0.414,48.40%,11.01,7.15,3.85
3,Jordan Giacomini,NEV,,39.1,8.92,6.18,1.44,0.69,18.50%,12.80%,5.70%,0.322,2.08,0.403,49.60%,10.75,7.05,3.7
4,Hayden Tarsia,BING,21,42,8.14,4.07,2,2.14,18.40%,9.20%,9.20%,0.306,1.79,0.341,40.00%,10.5,7.02,3.48
5,Deaton Oak,BELL,23,55.2,4.04,2.75,1.47,0.97,9.20%,6.30%,2.90%,0.353,1.89,0.376,48.70%,9.38,6.01,3.36
6,Lucas Valencia,MVSU,,39.2,7.94,6.58,1.21,0.91,16.40%,13.60%,2.80%,0.364,2.42,0.434,53.60%,10.44,7.12,3.32
7,Reagan Rivera,IU,23,43.1,10.8,5.19,2.08,1.66,23.70%,11.40%,12.30%,0.29,1.82,0.365,46.20%,9.35,6.09,3.26
8,Adan Perez,PAC,24,42,7.07,4.07,1.74,0,16.80%,9.60%,7.10%,0.297,1.67,0.367,52.60%,7.71,4.6,3.12
9,Alec Johnson,LMU,,52.2,8.89,3.08,2.89,0.68,19.90%,6.90%,13.00%,0.321,1.78,0.398,47.70%,7.86,4.76,3.1
10,JP Podgorski,VILL,,44.1,5.28,3.25,1.63,0.41,12.70%,7.80%,4.90%,0.283,1.51,0.322,45.70%,8.53,5.44,3.08
11,Eddie Del Valle,DSU,,42,11.57,8.14,1.42,1.5,20.90%,14.70%,6.20%,0.311,2.48,0.391,44.00%,11.36,8.32,3.04
12,William Tarpley,AAMU,23,44.1,7.71,5.68,1.36,1.02,15.00%,11.10%,4.00%,0.385,2.53,0.451,52.70%,10.35,7.42,2.93
13,Luke Corcoran,COPP,,45.1,3.18,4.96,0.64,0.79,6.40%,10.00%,-3.60%,0.397,2.47,0.417,44.10%,10.92,8,2.92
14,Isaiah Shayter,PSU,20,44.2,7.25,5.84,1.24,1.41,14.40%,11.60%,2.80%,0.321,2.19,0.36,58.40%,9.47,6.58,2.89
15,Jordan Bright,NCAT,19,42.2,8.86,6.33,1.4,1.27,18.90%,13.50%,5.40%,0.339,2.18,0.413,53.00%,9.49,6.76,2.73
16,Riley Peterson,MILW,21,56.2,10.16,3.34,3.05,0.32,24.20%,8.00%,16.30%,0.284,1.52,0.387,49.40%,7.78,5.07,2.71
17,Brayden Ryan,MD,,47.2,7.93,2.83,2.8,1.7,17.90%,6.40%,11.50%,0.325,1.76,0.373,51.00%,8.5,5.88,2.62
